KINDNES	KINDNES	n1	KINDNES	kindness	0
,	,	,	,	,	0
saith	saith	vvz	says	say	0
the	the	dt	the	the	0
prouerbe	prouerbe	n1	proverb	proverb	0
,	,	,	,	,	0
wil	wil	vmb	will	will	0
creepe	creepe	vvi	creep	creep	0
where	where	c-crq	where	where	0
it	it	pn31	it	it	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
goe	goe	vvi	go	go	0
;	;	;	;	;	0
The	The	dt	The	the	0
meaning	meaning	n1	meaning	meaning	0
is	is	vbz	is	be	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
deceiued	deceiued	vvn	deceived	deceive	0
,	,	,	,	,	0
that	that	cst	that	that	0
such	such	d	such	such	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
force	force	n1	force	force	0
of	of	pp-f	of	of	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
can	can	vmb	can	can	0
not	not	xx	not	not	0
manifest	manifest	vvi	manifest	manifest	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
so	so	av	so	so	0
amply	amply	av-j	amply	ample	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
wold	wold	vmd	would	will	0
,	,	,	,	,	0
it	it	pn31	it	it	0
wil	wil	vmb	will	will	0
show	show	vvi	show	show	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
sort	sort	n1	sort	sort	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
;	;	;	;	;	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
now	now	av	now	now	0
verified	verified	vvn	verified	verify	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
;	;	;	;	;	0
For	For	c-acp	For	for	0
,	,	,	,	,	0
wheras	wheras	cs	whereas	whereas	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
neuer	neuer	av-x	never	never	0
hetherto	hetherto	av	hitherto	hitherto	0
had	had	vhd	had	have	0
the	the	dt	the	the	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
&	&	cc	&	and	0
oportunity	oportunity	n1	opportunity	opportunity	0
to	to	pc-acp	to	to	0
manifest	manifest	vvi	manifest	manifest	0
my	my	po11	my	my	0
affection	affection	n1	affection	affection	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
departure	departure	n1	departure	departure	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
my	my	po11	my	my	0
cuntry	cuntry	n1	country	country	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
infancy	infancy	n1	infancy	infancy	0
,	,	,	,	,	0
&	&	cc	&	and	0
my	my	po11	my	my	0
continual	continual	j	continual	continual	0
ab	ab	zz	ab	ab	0
∣	∣	sy	∣	∣	0
sence	sence	n1	sense	sense	0
euer	euer	av	ever	ever	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
three	three	crd	three	three	0
and	and	cc	and	and	0
twenty	twenty	crd	twenty	twenty	0
yeres	yeres	n2	years	year	0
)	)	)	)	)	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
no	no	av-dx	no	no	0
longer	longer	av-jc	longer	long	0
forbeare	forbeare	vvi	forbear	forbear	0
to	to	pc-acp	to	to	0
geue	geue	vvi	give	give	0
you	you	pn22	you	you	0
some	some	d	some	some	0
testimo	testimo	fw-la	testimo	testimo	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
particular	particular	j	particular	particular	0
addresse	addresse	vvi	address	address	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
treatise	treatise	n1	treatise	treatise	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
;	;	;	;	;	0
For	For	c-acp	For	for	0
,	,	,	,	,	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
intend	intend	vvb	intend	intend	0
it	it	pn31	it	it	0
generally	generally	av-j	generally	general	0
