WHEREAS	WHEREAS	cs	WHEREAS	whereas	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
hath	hath	vhz	hath	have	0
both	both	av-d	both	both	0
recorded	recorded	vvn	recorded	record	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sixt	sixt	ord	sixt	sixth	0
Chapter	Chapter	n1	Chapter	chapter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Epistle	Epistle	n1	Epistle	epistle	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Hebrewes	Hebrewes	njpg2	Hebrews	hebrew	0
,	,	,	,	,	0
that	that	cst	that	that	0
short	short	j	short	short	0
Cate	Cate	zz	Cate	cate	0
∣	∣	sy	∣	∣	0
chisme	chisme	n1	chisme	chisme	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Apostles	Apostles	n2	Apostles	apostle	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
dayes	dayes	n2	days	day	0
taught	taught	vvd	taught	teach	0
those	those	d	those	those	0
whom	whom	r-crq	whom	who	0
they	they	pns32	they	they	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
uerted	uerted	vvn	verted	vert	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
&	&	cc	&	and	0
also	also	av	also	also	0
left	left	vvd	left	leave	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Churches	Churches	n2	Churches	church	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
future	future	j-jn	future	future	0
times	times	n2	times	time	0
:	:	:	:	:	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
doubting	doubting	vvg	doubting	doubt	0
but	but	p-acp	but	but	0
that	that	d	that	that	0
the	the	dt	the	the	0
euidence	euidence	n1	evidence	evidence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
text	text	n1	text	text	0
,	,	,	,	,	0
Heb.	Heb.	np1	Heb.	Heb.	1
5.12	5.12	crd	5.12	5.12	0
.	.	.	.	.	0
and	and	cc	and	and	0
6.1	6.1	crd	6.1	6.1	0
.	.	.	.	.	1
Will	Will	n1	Will	will	0
iustifie	iustifie	vvi	justify	justify	0
this	this	d	this	this	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
the	the	dt	the	the	0
