(	(	(	(	(	0
RIGHT	RIGHT	j-jn	RIGHT	right	0
WORSHIPFVLL	WORSHIPFVLL	j	WORSHIPFUL	worshipful	0
)	)	)	)	)	0
I	I	pns11	I	i	0
Haue	Haue	vhb	Have	have	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
seale	seale	vvi	seal	seal	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Signet	Signet	n1	Signet	signet	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
names	names	n2	names	name	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
worthinesse	worthinesse	n1	worthiness	worthiness	0
might	might	vmd	might	may	0
giue	giue	vvi	give	give	0
lustre	lustre	n1	lustre	lustre	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
worthles	worthles	j	worthless	worthless	0
labor	labor	n1	labour	labour	0
:	:	:	:	:	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
induced	induced	vvn	induced	induce	0
by	by	p-acp	by	by	0
many	many	d	many	many	0
Allectiues	Allectiues	n2	Allectives	allective	0
to	to	pc-acp	to	to	0
gratifie	gratifie	vvi	gratify	gratify	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
small	small	j	small	small	0
remembrance	remembrance	n1	remembrance	remembrance	0
:	:	:	:	:	0
First	First	ord	First	first	0
,	,	,	,	,	0
your	your	po22	your	your	0
religious	religious	j	religious	religious	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
spect	spect	vvn	specked	speck	0
,	,	,	,	,	0
and	and	cc	and	and	0
affection	affection	n1	affection	affection	0
you	you	pn22	you	you	0
beare	beare	vvb	bear	bear	0
,	,	,	,	,	0
and	and	cc	and	and	0
embosome	embosome	vvi	embosomed	embosom	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
tribe	tribe	n1	tribe	tribe	0
of	of	pp-f	of	of	0
Leui.	Leui.	np1	Leui.	Leui.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
your	your	po22	your	your	0
Cordiall	Cordiall	j	Cordial	cordial	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
continuall	continuall	j	continual	continual	0
deuotion	deuotion	n1	devotion	devotion	0
you	you	pn22	you	you	0
manifest	manifest	vvi	manifest	manifest	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
Gos	Gos	vvz	Gos	go	0
∣	∣	sy	∣	∣	0
pel	pel	n1	pel	pel	0
.	.	.	.	.	1
Thirdly	Thirdly	ord	Thirdly	third	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
viue	viue	j	vive	vive	0
Image	Image	n1	Image	image	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
de	de	fw-la	de	de	0
∣	∣	sy	∣	∣	0
parted	parted	vvn	parted	part	0
father	father	n1	father	father	0
,	,	,	,	,	0
a	a	dt	a	a	0
Foster-father	Foster-father	n1	Foster-father	fosterfather	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Clergie	Clergie	n1	Clergy	clergy	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
now	now	av	now	now	0
resteth	resteth	vvz	rests	rest	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
of	of	pp-f	of	of	0
glorie	glorie	n1	glory	glory	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
receiued	receiued	vvd	received	receive	0
the	the	dt	the	the	0
