WORTHY	WORTHY	j	WORTHY	worthy	0
SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
GIve	GIve	vvb	GIve	give	0
mee	mee	pno11	me	i	0
leave	leave	vvi	leave	leave	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
many	many	d	many	many	0
favours	favours	n2	favours	favour	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
S.	S.	n1	S.	saint	0
Peters	Peters	npg1	Peters	Peter	0
Net	Net	n1	Net	net	0
:	:	:	:	:	0
his	his	po31	his	his	0
Net	Net	n1	Net	net	0
,	,	,	,	,	0
I	I	pns11	I	i	0
call	call	vvb	call	call	0
his	his	po31	his	his	0
Epistle	Epistle	n1	Epistle	epistle	0
so	so	av	so	so	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
if	if	cs	if	if	0
our	our	po12	our	our	0
SAVIOVR	SAVIOVR	n1	SAVIOVR	saviovr	0
made	made	vvd	made	make	0
him	him	pno31	him	he	0
a	a	dt	a	a	0
Fisher	Fisher	n1	Fisher	fisher	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
hee	hee	pns31	he	he	0
hath	hath	vhz	hath	have	0
caught	caught	vvn	caught	catch	0
many	many	d	many	many	0
;	;	;	;	;	0
and	and	cc	and	and	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
hath	hath	vhz	hath	have	0
had	had	vhn	had	have	0
any	any	d	any	any	0
profit	profit	n1	profit	profit	0
by	by	p-acp	by	by	0
these	these	d	these	these	0
labours	labours	n2	labours	labour	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
delivery	delivery	n1	delivery	delivery	0
,	,	,	,	,	0
if	if	cs	if	if	0
these	these	d	these	these	0
have	have	vhb	have	have	0
taken	taken	vvn	taken	take	0
some	some	d	some	some	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
Nett	Nett	n1	Net	net	0
caught	caught	vvd	caught	catch	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
I	I	pns11	I	i	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
give	give	vvi	give	give	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
briefe	briefe	j	brief	brief	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
end	end	n1	end	end	0
and	and	cc	and	and	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Worke	Worke	n1	Work	work	0
;	;	;	;	;	0
the	the	dt	the	the	0
end	end	n1	end	end	0
is	is	vbz	is	be	0
Religion	Religion	n1	Religion	religion	0
and	and	cc	and	and	0
Thank	Thank	vvb	Thank	thank	0
∣	∣	sy	∣	∣	0
fulnesse	fulnesse	n1	fullness	fullness	0
,	,	,	,	,	0
(	(	(	(	(	0
and	and	cc	and	and	0
indeed	indeed	av	indeed	indeed	0
Thankfulnesse	Thankfulnesse	n1	Thankfulness	thankfulness	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
:	:	:	:	:	0
)	)	)	)	)	0
Religion	Religion	n1	Religion	religion	0
towards	towards	p-acp	towards	towards	0
GOD	GOD	np1	GOD	God	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
setting	setting	vvg	setting	set	0
forth	forth	av	forth	forth	0
a	a	dt	a	a	0
Divine	Divine	j-jn	Divine	divine	0
Worke	Worke	n1	Work	work	0
;	;	;	;	;	0
Thank	Thank	vvb	Thank	thank	0
∣	∣	sy	∣	∣	0
fulnesse	fulnesse	n1	fullness	fullness	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
setting	setting	vvg	setting	set	0
it	it	pn31	it	it	0
forth	forth	av	forth	forth	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
name	name	n1	name	name	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
obligations	obligations	n2	obligations	obligation	0
are	are	vbr	are	be	0
so	so	av	so	so	0
strong	strong	j	strong	strong	0
upon	upon	p-acp	upon	upon	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
,	,	,	,	,	0
next	next	ord	next	next	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
honour	honour	vvi	honour	honour	0
you	you	pn22	you	you	0
:	:	:	:	:	0
these	these	d	these	these	0
are	are	vbr	are	be	0
the	the	av	the	then	0
End	End	vvb	End	end	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Manner	Manner	n1	Manner	manner	0
is	is	vbz	is	be	0
such	such	d	such	such	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
hit	hit	vvn	hit	hit	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
meane	meane	j	mean	mean	0
;	;	;	;	;	0
sure	sure	av-j	sure	sure	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
abhor	abhor	vvb	abhor	abhor	0
Barbarisme	Barbarisme	n1	Barbarism	barbarism	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
doate	doate	vvi	dote	dote	0
upon	upon	p-acp	upon	upon	0
Curiosity	Curiosity	n1	Curiosity	curiosity	0
.	.	.	.	.	1
My	My	po11	My	my	0
words	words	n2	words	word	0
are	are	vbr	are	be	0
those	those	d	those	those	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
every	every	d	every	every	0
dayes	dayes	ng1	days	day	0
discourse	discourse	n1	discourse	discourse	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
strive	strive	vvi	strive	strive	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
more	more	dc	more	more	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
sense	sense	n1	sense	sense	0
thā	thā	cs	than	than	0
sound	sound	n1	found	sound	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
part	part	n1	part	part	0
,	,	,	,	,	0
I	I	pns11	I	i	0
never	never	av-x	never	never	0
cared	cared	vvd	cared	care	0
how	how	c-crq	how	how	0
bigge	bigge	j	big	big	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
how	how	c-crq	how	how	0
expressing	expressing	vvg	expressing	express	0
;	;	;	;	;	0
'twere	'twere	pn31|vbdr	'twere	it|be	0
but	but	p-acp	but	but	0
folly	folly	n1	folly	folly	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
a	a	dt	a	a	0
golden	golden	j	golden	golden	0
Key	Key	n1	Key	key	0
that	that	cst	that	that	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
open	open	vvi	open	open	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
cast	cast	vvi	cast	cast	0
away	away	av	away	away	0
a	a	dt	a	a	0
Leaden	Leaden	j	Leaden	leaden	0
one	one	pi	one	one	0
that	that	cst	that	that	0
would	would	vmd	would	will	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
S.	S.	n1	S.	saint	0
Aust.	Aust.	np1	Aust.	Aust.	0
not	not	xx	not	not	0
leaden	leaden	j	leaden	leaden	0
similitude	similitude	n1	similitude	similitude	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
never	never	av-x	never	never	0
bee	bee	vbi	be	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
that	that	cst	that	that	0
Religion	Religion	n1	Religion	religion	0
and	and	cc	and	and	0
Wit	Wit	n1	Wit	wit	0
must	must	vmb	must	must	0
needs	needs	av	needs	needs	0
bee	bee	vbi	be	be	0
at	at	p-acp	at	at	0
odds	odds	n2	odds	odds	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Mistris	Mistris	n1	Mistress	mistress	0
can	can	vmb	can	can	0
never	never	av-x	never	never	0
agree	agree	vvi	agree	agree	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Hand-maid	Hand-maid	n1	Handmaid	handmaid	0
,	,	,	,	,	0
that	that	cst	that	that	0
those	those	d	those	those	0
Preachers	Preachers	n2	Preachers	preacher	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
new	new	j	new	new	0
language	language	n1	language	language	0
are	are	vbr	are	be	0
Dawbers	Dawbers	np1	Dawbers	Dawbers	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
Down-right	Down-right	j	Downright	downright	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
Partition	Partition	n1	Partition	partition	0
of	of	pp-f	of	of	0
Preachers	Preachers	n2	Preachers	preacher	0
,	,	,	,	,	0
&	&	cc	&	and	0
those	those	d	those	those	0
termes	termes	n2	terms	term	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
cōtradi	cōtradi	n1	contradi	contradi	0
∣	∣	sy	∣	∣	0
stinct	stinct	n1	stinct	stinct	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
a	a	dt	a	a	0
good	good	j	good	good	0
one	one	pi	one	one	0
,	,	,	,	,	0
that	that	cst	that	that	0
neither	neither	dx	neither	neither	0
the	the	dt	the	the	0
dawber	dawber	n1	dauber	dauber	0
cā	cā	vmb	can	can	0
be	be	vbi	be	be	0
down-right	down-right	j	downright	downright	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
the	the	dt	the	the	0
down	down	n1	down	down	0
∣	∣	sy	∣	∣	0
right	right	av-jn	right	right	0
a	a	dt	a	a	0
dawber	dawber	n1	dauber	dauber	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
,	,	,	,	,	0
is	is	vbz	is	be	0
Wit	Wit	n1	Wit	wit	0
,	,	,	,	,	0
is	is	vbz	is	be	0
Elegancie	Elegancie	n1	Elegancy	elegancy	0
dawbing	dawbing	vvg	daubing	daub	0
?	?	?	?	?	1
Are	Are	vbr	Are	be	0
Esay	Esay	np1	Esay	Easie	0
,	,	,	,	,	0
Iob	Iob	np1	Iob	Job	0
,	,	,	,	,	0
Solomon	Solomon	np1	Solomon	Solomon	0
,	,	,	,	,	0
Moses	Moses	np1	Moses	Moses	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Songs	Songs	n2	Songs	song	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
dawbers	dawbers	n2	daubers	dauber	0
now	now	av	now	now	0
?	?	?	?	?	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
invēted	invēted	vvn	invented	invent	0
more	more	av-dc	more	more	0
witty	witty	j	witty	witty	0
than	than	cs	than	than	0
their	their	po32	their	their	0
writings	writings	n2	writings	write	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
sublimely	sublimely	av-j	sublimely	sublime	0
Elegant	Elegant	j	Elegant	elegant	0
.	.	.	.	.	1
Oh	Oh	uh	O	oh	0
holy	holy	j	holy	holy	0
Dawbers	Dawbers	np1	Dawbers	Dawbers	0
!	!	!	!	!	0
oh	oh	uh	o	oh	0
prophane	prophane	j	profane	profane	0
Down-right	Down-right	j	Downright	downright	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
bee	bee	vbb	be	be	0
opposed	opposed	vvn	opposed	oppose	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Dawbing	Dawbing	vvg	Daubing	daub	0
!	!	!	!	!	1
But	But	p-acp	But	but	0
why	why	q-crq	why	why	0
doe	doe	vdb	do	do	0
I	I	pns11	I	i	0
pleade	pleade	vvi	plead	plead	0
for	for	p-acp	for	for	0
Wit	Wit	n1	Wit	wit	0
and	and	cc	and	and	0
Elegan	Elegan	np1	Elegan	Elegan	0
∣	∣	sy	∣	∣	0
cy	cy	n1	cy	cy	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
al	al	d	all	all	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
forcible	forcible	j	forcible	forcible	0
reasons	reasons	n2	reasons	reason	0
,	,	,	,	,	0
they	they	pns32	they	they	0
who	who	r-crq	who	who	0
speake	speake	vvb	speak	speak	0
against	against	p-acp	against	against	0
it	it	pn31	it	it	0
,	,	,	,	,	0
will	will	vmb	will	will	0
