PLutarke	PLutarke	np1	PLutarke	PLutarke	0
wryteth	wryteth	vvz	writes	write	0
/	/	/	/	/	0
whan	whan	c-crq	when	when	0
Alexander	Alexander	np1	Alexander	Alexander	0
had	had	vhd	had	have	0
discō	discō	vvn	discon	discon	0
∣	∣	sy	∣	∣	0
fyte	fyte	n1	fyte	fyte	0
Darius	Darius	np1	Darius	Darius	0
the	the	dt	the	the	0
kynge	kynge	n1	king	king	0
of	of	pp-f	of	of	0
Perse	Perse	np1	Perse	Perse	0
/	/	/	/	/	0
amonge	amonge	p-acp	among	among	0
other	other	j-jn	other	other	0
iewels	iewels	n2	jewels	jewel	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
kynges	kynges	n2	kings	king	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
founde	founde	vvn	found	find	0
a	a	dt	a	a	0
curyous	curyous	j	curious	curious	0
lyttell	lyttell	j	little	little	0
cheste	cheste	n1	chest	chest	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
value	value	n1	valve	value	0
/	/	/	/	/	0
whiche	whiche	r-crq	which	which	0
the	the	dt	the	the	0
noble	noble	j	noble	noble	0
kynge	kynge	n1	king	king	0
Alexander	Alexander	np1	Alexander	Alexander	0
beholdynge	beholdynge	vvg	beholding	behold	0
/	/	/	/	/	0
sayde	sayde	vvd	said	say	0
:	:	:	:	:	0
This	This	d	This	this	0
same	same	d	same	same	0
shall	shall	vmb	shall	shall	0
serue	serue	vvi	serve	serve	0
for	for	p-acp	for	for	0
Homere	Homere	np1	Homere	Homer	0
.	.	.	.	.	0
whiche	whiche	r-crq	which	which	0
is	is	vbz	is	be	0
noted	noted	vvn	noted	note	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
great	great	j	great	great	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
fauour	fauour	vvi	favour	favour	0
/	/	/	/	/	0
that	that	cst	that	that	0
Alex	Alex	np1	Alex	Alex	0
∣	∣	sy	∣	∣	0
ander	ander	fw-mi	ander	ander	0
had	had	vhn	had	have	0
vnto	vnto	p-acp	unto	unto	0
lernynge	lernynge	n1	learning	learning	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
this	this	d	this	this	0
I	I	pns11	I	i	0
thynke	thynke	vvb	think	think	0
veryly	veryly	av-j	verily	very	0
/	/	/	/	/	0
that	that	cst	that	that	0
his	his	po31	his	his	0
loue	loue	n1	love	love	0
and	and	cc	and	and	0
fauour	fauour	vvi	favour	favour	0
therto	therto	av	thereto	thereto	0
/	/	/	/	/	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
great	great	j	great	great	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
gracis	gracis	fw-la	gracis	gracis	0
:	:	:	:	:	0
whiche	whiche	r-crq	which	which	0
