sweetest	sweetest	js	sweetest	sweet	0
Influence	Influence	n1	Influence	influence	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
,	,	,	,	,	0
the	the	dt	the	the	0
feare	feare	n1	fear	fear	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
due	due	j-jn	due	due	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
greatnesse	greatnesse	n1	greatness	greatness	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
;	;	;	;	;	0
is	is	vbz	is	be	0
turned	turned	vvn	turned	turn	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
reverence	reverence	n1	reverence	reverence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Majesty	Majesty	n1	Majesty	majesty	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
vertues	vertues	n2	virtues	virtue	0
.	.	.	.	.	1
With	With	p-acp	With	with	0
this	this	d	this	this	0
reverence	reverence	n1	reverence	reverence	0
,	,	,	,	,	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
pre	pre	fw-es	pre	pre	0
∣	∣	sy	∣	∣	0
sent	sent	n1	sent	scent	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Royall	Royall	j	Royal	royal	0
hands	hands	n2	hands	hand	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
informe	informe	vvb	inform	inform	0
you	you	pn22	you	you	0
of	of	pp-f	of	of	0
nothing	nothing	pix	nothing	nothing	0
,	,	,	,	,	0
you	you	pn22	you	you	0
knew	knew	vvd	knew	know	0
not	not	xx	not	not	0
before	before	a-acp	before	before	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
put	put	vvi	put	put	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
mind	mind	n1	mind	mind	0
of	of	pp-f	of	of	0
something	something	pi	something	something	0
,	,	,	,	,	0
you	you	pn22	you	you	0
might	might	vmd	might	may	0
