NEver	NEver	av-x	NEver	never	0
more	more	av-dc	more	more	0
subtily	subtily	av-j	subtly	subtle	0
inten	inten	j	inten	inten	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
the	the	dt	the	the	0
Gibeonits	Gibeonits	njp2	Gibeonits	gibeonits	0
vnder	vnder	p-acp	under	under	0
pretence	pretence	n1	pretence	pretence	0
of	of	pp-f	of	of	0
olde	olde	j	old	old	0
Furni	Furni	np1	Furni	Furni	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
,	,	,	,	,	0
&	&	cc	&	and	0
comming	comming	vvg	coming	come	0
from	from	p-acp	from	from	0
a-farre	a-farre	j	afar	afar	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
deceiue	deceiue	vvi	deceive	deceive	0
the	the	dt	the	the	0
Lordes	Lordes	ng1	Lords	lord	0
People	People	n1	People	people	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
like	like	j	like	like	0
pretence	pretence	n1	pretence	pretence	0
of	of	pp-f	of	of	0
Antiquitie	Antiquitie	n1	Antiquity	antiquity	0
novv	novv	av	now	now	0
,	,	,	,	,	0
doeth	doeth	vdz	doth	do	0
Ba	Ba	uh	Ba	ba	0
∣	∣	sy	∣	∣	0
bels	bels	n2	bells	bell	0
brood	brood	n1	brood	brood	0
intende	intende	vvb	intend	intend	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	p-acp	to	to	0
Bethels	Bethels	n2	Bethels	bethel	0
Children	Children	n2	Children	child	0
.	.	.	.	.	1
Nei	Nei	np1	Nei	Nei	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
more	more	av-dc	more	more	0
braggingly	braggingly	av-vvg	braggingly	brag	0
did	did	vdd	did	do	0
ever	ever	av	ever	ever	0
the	the	dt	the	the	0
carnall	carnall	j	carnal	carnal	0
Iewes	Iewes	np2	Iewes	Jew	0
,	,	,	,	,	0
dissenting	dissenting	vvg	dissenting	dissent	0
frō	frō	p-acp	from	from	0
his	his	po31	his	his	0
Faith	Faith	n1	Faith	faith	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
claime	claime	vvb	claim	claim	0
a	a	dt	a	a	0
corporal	corporal	j	corporal	corporal	0
descent	descent	n1	descent	descent	0
from	from	p-acp	from	from	0
Abraham	Abraham	np1	Abraham	Abraham	0
their	their	po32	their	their	0
fa	fa	fw-it	fa	fa	0
∣	∣	sy	∣	∣	0
ther	ther	a-acp	there	there	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
doe	doe	vdb	do	do	0
the	the	dt	the	the	0
craftie	craftie	j	crafty	crafty	0
Iesuits	Iesuits	np2	Iesuits	Jesuit	0
,	,	,	,	,	0
dissenting	dissenting	vvg	dissenting	dissent	0
frō	frō	p-acp	from	from	0
their	their	po32	their	their	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
claime	claime	vvb	claim	claim	0
a	a	dt	a	a	0
full	full	j	full	full	0
consent	consent	n1	consent	consent	0
vvith	vvith	p-acp	with	with	0
orthodox	orthodox	n1	orthodox	orthodox	0
Antiquitie	Antiquitie	n1	Antiquity	antiquity	0
:	:	:	:	:	0
accusing	accusing	vvg	accusing	accuse	0
vs	vs	pno12	us	we	0
of	of	pp-f	of	of	0
Noveltie	Noveltie	n1	Novelty	novelty	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Christs	Christs	npg1	Christs	Christ	0
ovvn	ovvn	d	own	own	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
&	&	cc	&	and	0
His	His	po31	His	his	0
Apostles	Apostles	n2	Apostles	apostle	0
,	,	,	,	,	0
vvas	vvas	vbds	was	be	0
before	before	p-acp	before	before	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
seene	seene	vvn	seen	see	0
true	true	j	true	true	0
vvhich	vvhich	r-crq	which	which	0
Sainct	Sainct	n1	Saint	saint	0
Peter	Peter	np1	Peter	Peter	0
fore-prophecied	fore-prophecied	j	foreprophecied	foreprophecied	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
vvit	vvit	n1	wit	wit	0
,	,	,	,	,	0
That	That	cst	That	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
latter	latter	d	latter	latter	0
times	times	n2	times	time	0
there	there	a-acp	there	there	0
should	should	vmd	should	shall	0
come	come	vvi	come	come	0
false	false	j	false	false	0
prophets	prophets	n2	prophets	prophet	0
,	,	,	,	,	0
Marke	Marke	vvb	Mark	mark	0
1.27	1.27	crd	1.27	1.27	0
.	.	.	.	.	1
Acts	Acts	np1	Acts	Acts	0
17.19	17.19	crd	17.19	17.19	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	1
Pet.	Pet.	np1	Pet.	Pet.	0
1.2	1.2	crd	1.2	1.2	0
.	.	.	.	.	0
vvho	vvho	q-crq	who	who	0
privilie	privilie	av-j	privily	privy	0
should	should	vmd	should	shall	0
bring	bring	vvi	bring	bring	0
in	in	p-acp	in	in	0
damnable	damnable	j	damnable	damnable	0
heresies	heresies	n2	heresies	heresy	0
;	;	;	;	;	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
rea	rea	fw-la	rea	rea	0
∣	∣	sy	∣	∣	0
son	son	n1	son	son	0
of	of	pp-f	of	of	0
