AMongest	AMongest	p-acp	Amongst	amongst	0
those	those	d	those	those	0
seuen	seuen	crd	seuen	seven	0
speciall	speciall	j	special	special	0
Sages	Sages	n2-jn	Sages	sage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gréeks	Gréeks	njp2	Greeks	greek	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
one	one	pi	one	one	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
béeinge	béeinge	vbg	being	be	0
desirous	desirous	j	desirous	desirous	0
to	to	pc-acp	to	to	0
leaue	leaue	vvi	leave	leave	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
certayne	certayne	j	certain	certain	0
follower	follower	n1	follower	follower	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
sect	sect	n1	sect	sect	0
,	,	,	,	,	0
some	some	d	some	some	0
speciall	speciall	j	special	special	0
token	token	n1	token	token	0
woorthy	woorthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
remembraunce	remembraunce	n1	remembrance	remembrance	0
:	:	:	:	:	0
commen	commen	j	come	common	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
vnto	vnto	p-acp	unto	unto	0
him	him	pno31	him	he	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
special	special	j	special	special	0
∣	∣	sy	∣	∣	0
lest	lest	zz	lest	lest	0
thing	thing	n1	thing	thing	0
yt	yt	pn31	that	it	0
hée	hée	pns31	he	he	0
could	could	vmd	could	can	0
deuise	deuise	vvi	devise	devise	0
)	)	)	)	)	0
this	this	d	this	this	0
Symbole	Symbole	n1	Symbol	symbol	0
(	(	(	(	(	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
)	)	)	)	)	0
Follow	Follow	vvb	Follow	follow	0
thou	thou	pns21	thou	thou	0
God	God	np1	God	God	0
.	.	.	.	.	1
Wherby	Wherby	c-crq	Whereby	whereby	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
bée	bée	vbi	been	be	0
perceiued	perceiued	vvn	perceived	perceive	0
,	,	,	,	,	0
that	that	cst	that	that	0
euen	euen	av-j	even	even	0
the	the	dt	the	the	0
very	very	j	very	very	0
heathens	heathens	n2-jn	heathens	heathen	0
,	,	,	,	,	0
indowed	indowed	vvd	endowed	endow	0
onely	onely	av-j	only	only	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
lighte	lighte	j	light	light	0
,	,	,	,	,	0
and	and	cc	and	and	0
wisdome	wisdome	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
pearce	pearce	vvi	pierce	pierce	0
farther	farther	av-jc	farther	far	0
,	,	,	,	,	0
than	than	cs	than	than	0
their	their	po32	their	their	0
reasoninges	reasoninges	n2	reasonings	reasoning	0
,	,	,	,	,	0
and	and	cc	and	and	0
argumentes	argumentes	n2	arguments	argument	0
taken	taken	vvn	taken	take	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
visible	visible	j	visible	visible	0
creatures	creatures	n2	creatures	creature	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
saw	saw	vvd	saw	see	0
,	,	,	,	,	0
and	and	cc	and	and	0
perceyued	perceyued	vvd	perceived	perceive	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
senses	senses	n2	senses	sense	0
)	)	)	)	)	0
would	would	vmd	would	will	0
stretch	stretch	vvi	stretch	stretch	0
:	:	:	:	:	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
conclude	conclude	vvi	conclude	conclude	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
God	God	np1	God	God	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
woorkemayster	woorkemayster	n1	woorkemayster	woorkemayster	0
,	,	,	,	,	0
and	and	cc	and	and	0
disposer	disposer	n1	disposer	disposer	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
those	those	d	those	those	0
thinges	thinges	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
hée	hée	pns31	he	he	0
was	was	vbds	was	be	0
im	im	pno31	im	he	0
∣	∣	sy	∣	∣	0
mortall	mortall	j-jn	mortal	mortal	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
feared	feared	vvn	feared	fear	0
,	,	,	,	,	0
and	and	cc	and	and	0
