RIght	RIght	av-jn	RIght	right	0
Honourable	Honourable	j	Honourable	honourable	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
safetie	safetie	n1	safety	safety	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Shippe	Shippe	n1	Ship	ship	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
good	good	j	good	good	0
Pilotes	Pilotes	n2	Pilots	pilot	0
,	,	,	,	,	0
the	the	dt	the	the	0
strength	strength	n1	strength	strength	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
palace	palace	n1	palace	palace	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
sure	sure	j	sure	sure	0
Pil	Pil	n1	Pil	pil	0
∣	∣	sy	∣	∣	0
lars	lars	fw-la	lars	lars	0
,	,	,	,	,	0
the	the	dt	the	the	0
securitie	securitie	n1	security	security	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
body	body	n1	body	body	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
cleare	cleare	j	clear	clear	0
eyes	eyes	n2	eyes	eye	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
safeguard	safeguard	n1	safeguard	safeguard	0
of	of	pp-f	of	of	0
sheepe	sheepe	n1	sheep	sheep	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
vigilant	vigilant	j	vigilant	vigilant	0
shephards	shephards	ng1	shepherds	shepherd	0
:	:	:	:	:	0
So	So	av	So	so	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
safe	safe	j	safe	safe	0
∣	∣	sy	∣	∣	0
tie	tie	n1	tie	tie	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Countrie	Countrie	n1	Country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
safegard	safegard	n1	safeguard	safeguard	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
King	King	n1	King	king	0
∣	∣	sy	∣	∣	0
dome	dome	n1	dome	dome	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
many	many	d	many	many	0
wise	wise	j	wise	wise	0
and	and	cc	and	and	0
watchfull	watchfull	j	watchful	watchful	0
Counsellors	Counsellors	n2	Counsellors	counselor	0
.	.	.	.	.	1
Is	Is	vbz	Is	be	0
this	this	d	this	this	0
ship	ship	n1	ship	ship	0
tossed	tossed	vvn	tossed	toss	0
?	?	?	?	?	1
These	These	np1	These	Theise	0
Pilots	Pilots	n2	Pilots	pilot	0
will	will	vmb	will	will	0
guide	guide	vvi	guide	guide	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Is	Is	vbz	Is	be	0
this	this	d	this	this	0
palace	palace	n1	palace	palace	0
sha	sha	vmb	sha	shall	0
∣	∣	sy	∣	∣	0
ken	ken	n1	ken	ken	0
?	?	?	?	?	1
These	These	np1	These	Theise	0
Pillars	Pillars	n2	Pillars	pillar	0
will	will	vmb	will	will	0
vphold	vphold	vvi	uphold	uphold	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Is	Is	vbz	Is	be	0
this	this	d	this	this	0
body	body	n1	body	body	0
in	in	p-acp	in	in	0
perill	perill	n1	peril	peril	0
?	?	?	?	?	1
These	These	np1	These	Theise	0
eyes	eyes	n2	eyes	eye	0
will	will	vmb	will	will	0
ouersee	ouersee	vvi	oversee	oversee	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Are	Are	vbr	Are	be	0
these	these	d	these	these	0
