NO	NO	dx	NO	no	0
man	man	n1	man	man	0
right	right	j-jn	right	right	0
Honorable	Honorable	j	Honourable	honourable	0
,	,	,	,	,	0
fin	fin	n1	fin	fin	0
∣	∣	sy	∣	∣	0
deth	deth	n1	death	death	0
a	a	dt	a	a	0
precious	precious	j	precious	precious	0
stone	stone	n1	stone	stone	0
,	,	,	,	,	0
bearing	bearing	vvg	bearing	bear	0
the	the	dt	the	the	0
splendor	splendor	n1	splendour	splendour	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
rich	rich	j	rich	rich	0
mar	mar	vvb	mar	mar	0
∣	∣	sy	∣	∣	0
garite	garite	vvb	garite	garite	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
straight	straight	av	straight	straight	0
hasteth	hasteth	vvz	hastes	haste	0
vn	vn	p-acp	un	unto	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
best	best	js	best	best	0
lapidiste	lapidiste	n1	lapidiste	lapidiste	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
happy	happy	j	happy	happy	0
allowance	allowance	n1	allowance	allowance	0
thereof	thereof	av	thereof	thereof	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
getteth	getteth	vvz	gets	get	0
a	a	dt	a	a	0
rare	rare	j	rare	rare	0
affectation	affectation	n1	affectation	affectation	0
,	,	,	,	,	0
and	and	cc	and	and	0
inestimable	inestimable	j	inestimable	inestimable	0
valew	valew	n1	value	value	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
gem	gem	n1	gem	gem	0
:	:	:	:	:	0
so	so	av	so	so	0
standeth	standeth	vvz	stands	stand	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
,	,	,	,	,	0
the	the	dt	the	the	0
curious	curious	j	curious	curious	0
Lapidiste	Lapidiste	n1	Lapidiste	lapidiste	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
wits	wits	n2	wits	wit	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whose	whose	rg-crq	whose	who	0
touch	touch	n1	touch	touch	0
euery	euery	d	every	every	0
refined	refined	j-vvn	refined	refine	0
tong	tong	n1	tonge	tongue	0
offereth	offereth	vvz	offereth	offer	0
the	the	dt	the	the	0
