CAlling	CAlling	vvg	CAlling	call	0
to	to	p-acp	to	to	0
mind	mind	n1	mind	mind	0
(	(	(	(	(	0
Honorable	Honorable	j	Honourable	honourable	0
and	and	cc	and	and	0
right	right	j-jn	right	right	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
)	)	)	)	)	0
your	your	po22	your	your	0
manifold	manifold	j	manifold	manifold	0
and	and	cc	and	and	0
singular	singular	j	singular	singular	0
fauors	fauors	n2	favors	favor	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
ward	ward	vvi	ward	ward	0
,	,	,	,	,	0
(	(	(	(	(	0
on	on	p-acp	on	on	0
my	my	po11	my	my	0
part	part	n1	part	part	0
altogether	altogether	av	altogether	altogether	0
vndeserued	vndeserued	j	undeserved	undeserved	0
)	)	)	)	)	0
I	I	pns11	I	i	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
thought	thought	vvd	thought	think	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
testifie	testifie	vvb	testify	testify	0
the	the	dt	the	the	0
thankfullnesse	thankfullnesse	n1	thankfulness	thankfulness	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
Ingratm	Ingratm	np1	Ingratm	Ingratm	0
si	si	fw-mi	si	si	0
dixeris	dixeris	fw-la	dixeris	dixeris	0
,	,	,	,	,	0
omnia	omnia	fw-la	omnia	omnia	0
dixeris	dixeris	fw-la	dixeris	dixeris	0
.	.	.	.	.	0
and	and	cc	and	and	0
so	so	av	so	so	0
be	be	vbi	be	be	0
freed	freed	vvn	freed	free	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
capitall	capitall	j	capital	capital	0
crime	crime	n1	crime	crime	0
of	of	pp-f	of	of	0
ingrati	ingrati	fw-la	ingrati	ingrati	0
∣	∣	sy	∣	∣	0
tude	tude	n1	tude	tude	0
,	,	,	,	,	0
so	so	av	so	so	0
odious	odious	j	odious	odious	0
both	both	av-d	both	both	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
and	and	cc	and	and	0
man	man	n1	man	man	0
.	.	.	.	.	1
Hauing	Hauing	vhg	Having	have	0
