WHOME	WHOME	ro-crq	WHOM	who	0
∣	∣	sy	∣	∣	0
to	to	a-acp	to	to	0
can	can	vmb	can	can	0
so	so	av	so	so	0
rightlie	rightlie	av-jn	rightly	right	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
pertain	pertain	vvb	pertain	pertain	0
this	this	d	this	this	0
booke	booke	n1	book	book	0
of	of	pp-f	of	of	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
structiones	structiones	fw-la	structiones	structiones	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Prince	Prince	n1	Prince	prince	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
points	points	n2	points	point	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
calling	calling	n-vvg	calling	call	0
,	,	,	,	,	0
aswell	aswell	av	aswell	aswell	0
generall	generall	j	general	general	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Christi	Christi	np1	Christi	Christi	0
∣	∣	sy	∣	∣	0
an	an	zz	an	an	0
towards	towards	p-acp	towards	towards	0
God	God	np1	God	God	0
;	;	;	;	;	0
as	as	p-acp	as	as	0
parti	parti	fw-la	parti	parti	0
∣	∣	sy	∣	∣	0
cular	cular	j-jn	cular	cular	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
King	King	n1	King	king	0
towardes	towardes	p-acp	towards	towards	0
his	his	po31	his	his	0
people	people	n1	people	people	0
?	?	?	?	?	1
Whome-to	Whome-to	j	Whome-to	whome-to	0
,	,	,	,	,	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
,	,	,	,	,	0
can	can	vmb	can	can	0
it	it	pn31	it	it	0
so	so	av	so	so	0
justly	justly	av-j	justly	just	0
appertaine	appertaine	vvi	appertain	appertain	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
my	my	po11	my	my	0
dearest	dearest	js-jn	dearest	dear	0
Sonne	Sonne	n1	Son	son	0
?	?	?	?	?	1
Since	Since	p-acp	Since	since	0
J	J	pns11	J	i	0
the	the	dt	the	the	0
authour	authour	n1	author	author	0
thereof	thereof	av	thereof	thereof	0
as	as	p-acp	as	as	0
your	your	po22	your	your	0
naturall	naturall	j	natural	natural	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
careful	careful	j	careful	careful	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
god	god	n1	god	god	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
education	education	n1	education	education	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
eldest	eldest	js-jn	eldest	elder	0
Sonne	Sonne	n1	Son	son	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
first	first	ord	first	first	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
blessing	blessing	n1	blessing	blessing	0
towards	towards	p-acp	towards	towards	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
posterity	posterity	n1	posterity	posterity	0
:	:	:	:	:	0
and	and	cc	and	and	0
