¶	¶	¶	¶	¶	0
To	To	pc-acp	To	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
honorable	honorable	j	honourable	honourable	0
,	,	,	,	,	0
Syr	Syr	n1	Sir	sir	0
Ambrose	Ambrose	np1	Ambrose	Ambrose	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
,	,	,	,	,	0
Lorde	Lorde	n1	Lord	lord	0
Maior	Maior	n1	Mayor	mayor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
LONDON	LONDON	np1	LONDON	London	0
:	:	:	:	:	0
To	To	p-acp	To	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
vvorshipfull	vvorshipfull	j	worshipful	worshipful	0
maister	maister	n1	master	master	0
VVilliam	VVilliam	np1	VVilliam	William	0
Fleetewood	Fleetewood	np1	Fleetewood	Fleetewood	0
esquire	esquire	n1	esquire	esquire	0
,	,	,	,	,	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
corder	corder	n1	corder	corder	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
To	To	p-acp	To	to	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
wor	wor	zz	wor	wor	0
¦	¦	sy	¦	¦	0
shipful	shipful	j	shipful	shipful	0
maister	maister	n1	master	master	0
Edward	Edward	np1	Edward	Edward	0
Osborne	Osborne	np1	Osborne	Osborne	0
,	,	,	,	,	0
&	&	cc	&	and	0
maister	maister	n1	master	master	0
VVoolston	VVoolston	np1	VVoolston	VVoolston	0
Dixie	Dixie	np1	Dixie	Dixie	0
esquires	esquires	n2	esquires	esquire	0
,	,	,	,	,	0
and	and	cc	and	and	0
Sheriffes	Sheriffes	n2	Sheriffs	sheriff	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
To	To	p-acp	To	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
vvorshipful	vvorshipful	j	worshipful	worshipful	0
their	their	po32	their	their	0
brethren	brethren	n2	brothers	brethren	0
the	the	dt	the	the	0
Aldermen	Aldermen	n2	Aldermen	alderman	0
:	:	:	:	:	0
To	To	p-acp	To	to	0
the	the	dt	the	the	0
worshipful	worshipful	j	worshipful	worshipful	0
mai	mai	fw-gr	mai	mai	0
∣	∣	sy	∣	∣	0
ster	ster	vvz	ster	star	0
Norton	Norton	np1	Norton	Norton	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
priuie	priuie	j	privy	privy	0
counsell	counsell	n1	counsel	counsel	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
renowmed	renowmed	j-vvn	renowned	renown	0
and	and	cc	and	and	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thy	thy	po21	thy	thy	0
gouernment	gouernment	n1	government	government	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
euery	euery	d	every	every	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
grace	grace	n1	grace	grace	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
