FOrasmuche	FOrasmuche	av	Forasmuch	forasmuch	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
Princesse	Princesse	n1	Princess	princess	0
and	and	cc	and	and	0
soueraigne	soueraigne	j-jn	sovereign	sovereign	0
Lady	Lady	n1	Lady	lady	0
,	,	,	,	,	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
Diuinitie	Diuinitie	n1	Divinity	divinity	0
,	,	,	,	,	0
Phisike	Phisike	n1	Physic	physic	0
,	,	,	,	,	0
and	and	cc	and	and	0
Philosophie	Philosophie	n1	Philosophy	philosophy	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
manifest	manifest	j	manifest	manifest	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
proued	proued	vvn	proved	prove	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faithfull	faithfull	j	faithful	faithful	0
,	,	,	,	,	0
Christi	Christi	fw-la	Christi	christi	0
∣	∣	sy	∣	∣	0
an	an	dt	and	a	0
,	,	,	,	,	0
and	and	cc	and	and	0
Catholike	Catholike	jp	Catholic	catholic	0
certainly	certainly	av-j	certainly	certain	0
beleeued	beleeued	vvn	believed	believe	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
youre	youre	po22	your	your	0
highnes	highnes	n1	highness	highness	0
mightily	mightily	av-j	mightily	mighty	0
main	main	j	main	main	0
∣	∣	sy	∣	∣	0
tained	tained	j	tained	tained	0
,	,	,	,	,	0
defended	defended	vvn	defended	defend	0
,	,	,	,	,	0
and	and	cc	and	and	0
deliuered	deliuered	vvn	delivered	deliver	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
goodnesse	goodnesse	n1	goodness	goodness	0
,	,	,	,	,	0
power	power	n1	power	power	0
,	,	,	,	,	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
life	life	n1	life	life	0
,	,	,	,	,	0
health	health	n1	health	health	0
,	,	,	,	,	0
