TWo	TWo	crd	TWo	two	0
mēbers	mēbers	n2	members	member	0
hath	hath	vhz	hath	have	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
giuen	giuen	vvn	given	give	0
Man	Man	n1	Man	man	0
(	(	(	(	(	0
Right	Right	av-jn	Right	right	0
Wor	Wor	zz	Wor	wor	0
∣	∣	sy	∣	∣	0
shipfull	shipfull	j	shipfull	shipfull	0
,	,	,	,	,	0
and	and	cc	and	and	0
Beloued	Beloued	j-vvn	Beloved	belove	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
very	very	av	very	very	0
helpefull	helpefull	j	helpful	helpful	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
the	the	dt	the	the	0
Eye	Eye	n1	Eye	eye	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Eare.	Eare.	n1	Eare.	ear	1
The	The	dt	The	the	0
Eare	Eare	n1	Ear	ear	0
heareth	heareth	vvz	hears	hear	0
the	the	dt	the	the	0
word	word	n1	word	word	0
preached	preached	vvd	preached	preach	0
:	:	:	:	:	0
the	the	dt	the	the	0
Eye	Eye	n1	Eye	eye	0
lookes	lookes	vvz	looks	look	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
word	word	n1	word	word	0
written	written	vvn	written	write	0
.	.	.	.	.	1
Varietie	Varietie	n1	Variety	variety	0
of	of	pp-f	of	of	0
Obiects	Obiects	n2	Objects	object	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
kindes	kindes	n2	kinds	kind	0
haue	haue	vhb	have	have	0
both	both	d	both	both	0
these	these	d	these	these	0
Senses	Senses	n2	Senses	sense	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
times	times	n2	times	time	0
of	of	pp-f	of	of	0
knowledge	knowledge	n1	knowledge	knowledge	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
multitude	multitude	n1	multitude	multitude	0
of	of	pp-f	of	of	0
Sermons	Sermons	n2	Sermons	sermon	0
,	,	,	,	,	0
and	and	cc	and	and	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
Books	Books	n2	Books	book	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
man	man	n1	man	man	0
now	now	av	now	now	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
,	,	,	,	,	0
may	may	vmb	may	may	0
happely	happely	av-j	happily	happy	0
seem	seem	vvi	seem	seem	0
needlesse	needlesse	j	needless	needless	0
&	&	cc	&	and	0
but	but	p-acp	but	but	0
like	like	j	like	like	0
the	the	dt	the	the	0
adding	adding	vvg	adding	add	0
of	of	pp-f	of	of	0
water	water	n1	water	water	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Ocean	Ocean	n1	Ocean	ocean	0
:	:	:	:	:	0
And	And	cc	And	and	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
an	an	dt	and	a	0
one	one	crd	one	one	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
(	(	(	(	(	0
whose	whose	rg-crq	whose	who	0
yeres	yeres	n2	years	year	0
are	are	vbr	are	be	0
but	but	p-acp	but	but	0
few	few	d	few	few	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
learning	learning	n1	learning	learning	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
small	small	j	small	small	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
iudgement	iudgement	n1	judgement	judgement	0
but	but	p-acp	but	but	0
weak	weak	j	weak	weak	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
leasure	leasure	n1	leisure	leisure	0
but	but	p-acp	but	but	0
little	little	j	little	little	0
,	,	,	,	,	0
and	and	cc	and	and	0
employmēts	employmēts	n2	employments	employment	0
many	many	av-d	many	many	0
)	)	)	)	)	0
may	may	vmb	may	may	0
seem	seem	vvi	seem	seem	0
strange	strange	j	strange	strange	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
both	both	d	both	both	0
Obiections	Obiections	n2	Objections	objection	0
(	(	(	(	(	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
without	without	p-acp	without	without	0
offence	offence	n1	offence	offence	0
)	)	)	)	)	0
may	may	vmb	may	may	0
easily	easily	av-j	easily	easy	0
be	be	vbi	be	be	0
answe	answe	vvn	answer	answer	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
first	first	ord	first	first	0
:	:	:	:	:	0
Of	Of	pp-f	Of	of	0
a	a	dt	a	a	0
good	good	j	good	good	0
Subiect	Subiect	n-jn	Subject	subject	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
too	too	av	too	too	0
much	much	av-d	much	much	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
spoken	spoken	vvn	spoken	speak	0
,	,	,	,	,	0
so	so	av	so	so	0
too	too	av	too	too	0
much	much	av-d	much	much	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
written	written	vvn	written	write	0
;	;	;	;	;	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
