AS	AS	p-acp	AS	as	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
(	(	(	(	(	0
bles	bles	vvz	bles	ble	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
be	be	vbb	be	be	0
God	God	np1	God	God	0
,	,	,	,	,	0
)	)	)	)	)	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
controuersie	controuersie	n1	controversy	controversy	0
,	,	,	,	,	0
so	so	av	so	so	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
doubt	doubt	n1	doubt	doubt	0
(	(	(	(	(	0
deare	deare	j-jn	deer	dear	0
brethren	brethren	n2	brothers	brethren	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
controuerted	controuerted	vvn	controverted	controvert	0
points	points	n2	points	point	0
of	of	pp-f	of	of	0
Policie	Policie	n1	Policy	policy	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
would	would	vmd	would	will	0
soone	soone	av	soon	soon	0
agree	agree	vvi	agree	agree	0
,	,	,	,	,	0
if	if	cs	if	if	0
wee	wee	pns12	we	we	0
did	did	vdd	did	do	0
consider	consider	vvi	consider	consider	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
matters	matters	n2	matters	matter	0
,	,	,	,	,	0
the	the	dt	the	the	0
extent	extent	n1	extent	extent	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
power	power	n1	power	power	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
obedi	obedi	n1	obedi	obedi	0
∣	∣	sy	∣	∣	0
ence	ence	av	ence	ence	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
due	due	j-jn	due	due	0
thereto	thereto	av	thereto	thereto	0
:	:	:	:	:	0
therefore	therefore	av	therefore	therefore	0
concerning	concerning	vvg	concerning	concern	0
these	these	d	these	these	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
this	this	d	this	this	0
short	short	j	short	short	0
Preface	Preface	n1	Preface	preface	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
The	The	dt	The	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
.	.	.	.	.	1
Albeit	Albeit	cs	Albeit	albeit	0
all	all	d	all	all	0
things	things	n2	things	thing	0
necessarie	necessarie	j	necessary	necessary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
worship	worship	n1	worship	worship	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
mans	mans	ng1	men	man	0
saluation	saluation	n1	salvation	salvation	0
,	,	,	,	,	0
bee	bee	vbb	be	be	0
eyther	eyther	d	either	either	0
expressely	expressely	av-j	expressly	express	0
,	,	,	,	,	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
ne	ne	fw-fr	ne	ne	0
∣	∣	sy	∣	∣	0
cessarie	cessarie	j	cessarie	cessarie	0
consequence	consequence	n1	consequence	consequence	0
,	,	,	,	,	0
contayned	contayned	vvn	contained	contain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
