WRITERS	WRITERS	n2	WRITERS	writer	0
of	of	pp-f	of	of	0
bookes	bookes	n2	books	book	0
(	(	(	(	(	0
most	most	av-ds	most	most	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
Ladie	Ladie	n1	Lady	lady	0
)	)	)	)	)	0
are	are	vbr	are	be	0
spirituall	spirituall	j	spiritual	spiritual	0
parents	parents	n2	parents	parent	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
bookes	bookes	n2	books	book	0
are	are	vbr	are	be	0
their	their	po32	their	their	0
broods	broods	ng1	brood's	brood	0
,	,	,	,	,	0
&	&	cc	&	and	0
young-ones	young-ones	j	young-ones	young-ones	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
carnall	carnall	j	carnal	carnal	0
parents	parents	n2	parents	parent	0
haue	haue	vhb	have	have	0
no	no	av-dx	no	no	0
sooner	sooner	av-c	sooner	soon	0
a	a	dt	a	a	0
child	child	n1	child	child	0
borne	borne	vvn	born	bear	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
looke	looke	vvb	look	look	0
about	about	p-acp	about	about	0
them	them	pno32	them	they	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
secondarie	secondarie	j	secondary	secondary	0
Father	Father	n1	Father	father	0
or	or	cc	or	or	0
Mother	Mother	n1	Mother	mother	0
(	(	(	(	(	0
whom	whom	r-crq	whom	who	0
they	they	pns32	they	they	0
stile	stile	n1	style	stile	0
Godfather	Godfather	n1	Godfather	godfather	0
and	and	cc	and	and	0
Godmother	Godmother	n1	Godmother	godmother	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
whose	whose	rg-crq	whose	who	0
name	name	n1	name	name	0
the	the	dt	the	the	0
child	child	n1	child	child	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
graced	graced	vvn	graced	grace	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
whose	whose	rg-crq	whose	who	0
authoritie	authoritie	n1	authority	authority	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
protected	protected	vvn	protected	protect	0
:	:	:	:	:	0
So	So	av	So	so	0
writers	writers	n2	writers	writer	0
of	of	pp-f	of	of	0
books	books	n2	books	book	0
are	are	vbr	are	be	0
no	no	dx	no	no	0
sooner	sooner	av-c	sooner	soon	0
deli	deli	j	deli	deli	0
∣	∣	sy	∣	∣	0
uered	uered	n-vvn	uered	uer	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
their	their	po32	their	their	0
young	young	j	young	young	0
∣	∣	sy	∣	∣	0
ones	ones	pi2	ones	one	0
,	,	,	,	,	0
the	the	dt	the	the	0
broods	broods	ng1	brood's	brood	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
braines	braines	n2	brains	brain	0
,	,	,	,	,	0
and	and	cc	and	and	0
fruitfull	fruitfull	j	fruitful	fruitful	0
vnder	vnder	p-acp	under	under	0
∣	∣	sy	∣	∣	0
standings	standings	n2-vvg	standings	stand	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
by	by	p-acp	by	by	0
and	and	cc	and	and	0
by	by	a-acp	by	by	0
thinke	thinke	vvb	think	think	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Patron	Patron	n1	Patron	patron	0
or	or	cc	or	or	0
Pa	Pa	wd	Pa	pa	0
∣	∣	sy	∣	∣	0
tronesse	tronesse	n1	tronesse	tronesse	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
commend	commend	vvi	commend	commend	0
them	them	pno32	them	they	0
:	:	:	:	:	0
whose	whose	rg-crq	whose	who	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
amples	amples	n2	amples	ample	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
common	common	j	common	common	0
,	,	,	,	,	0
I	I	pns11	I	i	0
being	being	vbg	being	be	0
not	not	xx	not	not	0
vnwil	vnwil	n1	vnwil	vnwil	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
to	to	p-acp	to	to	0
follow	follow	vvi	follow	follow	0
,	,	,	,	,	0
had	had	vhd	had	have	0
no	no	av-dx	no	no	0
sooner	sooner	av-c	sooner	soon	0
finished	finished	vvn	finished	finish	0
this	this	d	this	this	0
litle	litle	j	little	little	0
Pamphlet	Pamphlet	n1	Pamphlet	pamphlet	0
of	of	pp-f	of	of	0
meditations	meditations	n2	meditations	meditation	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
B.	B.	np1	B.	B.	1
Sa	Sa	uh	Sa	sa	0
∣	∣	sy	∣	∣	0
crament	crament	n1	crament	crament	0
(	(	(	(	(	0
my	my	po11	my	my	0
young	young	j	young	young	0
Benia	Benia	np1	Benia	Benia	0
∣	∣	sy	∣	∣	0
min	min	fw-mi	min	min	0
borne	borne	j-vvn	born	bear	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
old	old	j	old	old	0
age	age	n1	age	age	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
bethought	bethought	vvd	bethought	bethink	0
myself	myself	px11	myself	myself	0
to	to	pc-acp	to	to	0
whose	whose	rg-crq	whose	who	0
Patronage	Patronage	n1	Patronage	patronage	0
,	,	,	,	,	0
and	and	cc	and	and	0
tui	tui	fw-la	tui	tui	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
,	,	,	,	,	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
best	best	av-js	best	best	0
commend	commend	vvi	commend	commend	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
my	my	po11	my	my	0
cogitation	cogitation	n1	cogitation	cogitation	0
did	did	vdd	did	do	0
presentlie	presentlie	av-j	presently	present	0
light	light	vvi	light	light	0
,	,	,	,	,	0
and	and	cc	and	and	0
hitt	hitt	vvi	hit	hit	0
vpon	vpon	p-acp	upon	upon	0
