I	I	pns11	I	i	0
Thynke	Thynke	vvb	Think	think	0
ther	ther	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
man	man	n1	man	man	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
estrasiged	estrasiged	vvn	estrasiged	estrasige	0
from	from	p-acp	from	from	0
ciuile	ciuile	j	civil	civil	0
humanite	humanite	n1	humanity	humanity	0
,	,	,	,	,	0
whiche	whiche	r-crq	which	which	0
knowethe	knowethe	vvz	knoweth	know	0
not	not	xx	not	not	0
,	,	,	,	,	0
howe	howe	c-crq	how	how	0
moche	moche	d	much	much	0
euery	euery	d	every	every	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
vs	vs	pno12	us	we	0
is	is	vbz	is	be	0
endetted	endetted	vvn	endetted	endet	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
natiue	natiue	j-jn	native	native	0
coū	coū	n1	coum	coum	0
∣	∣	sy	∣	∣	0
trey	trey	n1	trey	trey	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
all	all	d	all	all	0
be	be	vbb	be	be	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
duty	duty	n1	duty	duty	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
owe	owe	vvb	owe	owe	0
to	to	p-acp	to	to	0
oure	oure	po12	our	our	0
parentes	parentes	n2	parents	parent	0
,	,	,	,	,	0
Howe	Howe	c-crq	How	how	0
great	great	j	great	great	0
¦	¦	sy	¦	¦	0
ly	ly	vvb	lie	lie	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
bo	bo	zz	bo	bo	0
¦	¦	sy	¦	¦	0
unde	unde	fw-la	unde	unde	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
countrey	countrey	n1	country	country	0
.	.	.	.	.	0
kynnesfolke	kynnesfolke	n1	kynnesfolke	kynnesfolke	0
,	,	,	,	,	0
frendes	frendes	n2	friends	friend	0
&c	&c	av	etc.	etc	0
,	,	,	,	,	0
be	be	vbb	be	be	0
great	great	j	great	great	0
euē	euē	av	even	even	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
very	very	j	very	very	0
lawe	lawe	n1	law	law	0
&	&	cc	&	and	0
instincte	instincte	n1	instinct	instinct	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
det	det	n1	debt	debt	0
,	,	,	,	,	0
wher	wher	c-crq	where	where	0
wt	wt	p-acp	with	with	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
obliged	obliged	vvn	obliged	oblige	0
to	to	p-acp	to	to	0
oure	oure	po12	our	our	0
contre	contre	fw-fr	contre	contre	0
,	,	,	,	,	0
semeth	semeth	vvz	seemeth	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
greater	greater	jc	greater	great	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
moche	moche	d	much	much	0
more	more	dc	more	more	0
valour	valour	n1	valour	valour	0
,	,	,	,	,	0
than	than	cs	than	than	0
we	we	pns12	we	we	0
maye	maye	vmb	may	may	0
at	at	p-acp	at	at	0
ony	ony	av-j	only	only	0
time	time	n1	time	time	0
be	be	vbb	be	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
francke	francke	j	frank	frank	0
&	&	cc	&	and	0
fre	fre	p-acp	from	from	0
from	from	p-acp	from	from	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Our	Our	po12	Our	our	0
parētes	parētes	n2	parents	parent	0
onely	onely	av-j	only	only	0
gyue	gyue	vvi	gyve	give	0
vs	vs	pno12	us	we	0
this	this	d	this	this	0
grosse	grosse	j	gross	gross	0
,	,	,	,	,	0
rude	rude	j	rude	rude	0
and	and	cc	and	and	0
moortall	moortall	j-jn	moortall	moortall	0
body	body	n1	body	body	0
.	.	.	.	.	1
Our	Our	po12	Our	our	0
countrey	countrey	n1	country	country	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
receaue	receaue	vvi	receive	receive	0
and	and	cc	and	and	0
ioyfully	ioyfully	av-j	joyfully	joyful	0
sustē	sustē	vvb	susten	susten	0
¦	¦	sy	¦	¦	0
tate	tate	n1	tate	tate	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
opulently	opulently	av-j	opulently	opulent	0
adourne	adourne	vvi	adorn	adorn	0
&	&	cc	&	and	0
garnysh	garnysh	vvi	garnish	garnish	0
both	both	d	both	both	0
that	that	d	that	that	0
and	and	cc	and	and	0
the	the	dt	the	the	0
mynde	mynde	n1	mind	mind	0
wyth	wyth	p-acp	with	with	0
moost	moost	ds	most	most	0
goodly	goodly	j	goodly	goodly	0
and	and	cc	and	and	0
godly	godly	j	godly	godly	0
ver	ver	p-acp	for	for	0
∣	∣	sy	∣	∣	0
tues	tues	n2	tues	tue	0
.	.	.	.	.	1
It	It	pn31	It	it	0
engraffethe	engraffethe	vvz	engraffeth	engraff	0
in	in	p-acp	in	in	0
vs	vs	pno12	us	we	0
the	the	dt	the	the	0
true	true	j	true	true	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
,	,	,	,	,	0
Our	Our	po12	Our	our	0
coun	coun	vvi	con	con	0
∣	∣	sy	∣	∣	0
trey	trey	n1	trey	trey	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
more	more	dc	more	more	0
regar	regar	n1	regar	regar	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
thē	thē	pno32	them	they	0
oure	oure	po12	our	our	0
parentes	parentes	n2	parents	parent	0
.	.	.	.	.	0
