ALBEIT	ALBEIT	cs	ALBEIT	albeit	0
(	(	(	(	(	0
Moste	Moste	ds	Most	most	0
deare	deare	j-jn	deer	dear	0
Brethren	Brethren	n2	Brothers	brethren	0
)	)	)	)	)	0
GOD	GOD	np1	GOD	God	0
hath	hath	vhz	hath	have	0
aboue	aboue	p-acp	above	above	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
mortall	mortall	j-jn	mortal	mortal	0
creatu	creatu	fw-la	creatu	creatu	0
∣	∣	sy	∣	∣	0
res	res	fw-la	res	res	0
greately	greately	av-j	greatly	great	0
garnished	garnished	vvn	garnished	garnish	0
mankynds	mankynds	ng1	mankinds	mankinds	0
with	with	p-acp	with	with	0
di	di	dt	di	the	0
∣	∣	sy	∣	∣	0
uers	uers	zz	uers	uers	0
and	and	cc	and	and	0
manifold	manifold	j	manifold	manifold	0
benefites	benefites	n2	benefits	benefit	0
:	:	:	:	:	0
Psal.	Psal.	np1	Psal.	Psal.	1
8.	8.	crd	8.	8.	1
Heb.	Heb.	np1	Heb.	Heb.	0
2.	2.	crd	2.	2.	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
knowe	knowe	vvb	know	know	0
not	not	xx	not	not	0
(	(	(	(	(	0
his	his	po31	his	his	0
sonne	sonne	n1	son	son	0
CHRIST	CHRIST	np1	CHRIST	Christ	0
onely	onely	av-j	only	only	0
excepted	excepted	vvn	excepted	except	0
)	)	)	)	)	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
bestowed	bestowed	vvn	bestowed	bestow	0
vppon	vppon	p-acp	upon	upon	0
vs	vs	pno12	us	we	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
148.	148.	crd	148.	148.	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
excellent	excellent	j	excellent	excellent	0
gyfte	gyfte	n1	gift	gift	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
gift	gift	n1	gift	gift	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
blessed	blessed	j-vvn	blessed	bless	0
and	and	cc	and	and	0
holy	holy	j	holy	holy	0
worde	worde	n1	word	word	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
as	as	c-acp	as	as	0
concerning	concerning	vvg	concerning	concern	0
