REturning	REturning	vvg	REturning	return	0
right	right	j-jn	right	right	0
worship	worship	n1	worship	worship	0
∣	∣	sy	∣	∣	0
ful	ful	av-j	full	full	0
,	,	,	,	,	0
home	home	av-an	home	home	0
into	into	p-acp	into	into	0
Englande	Englande	np1	Englande	England	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
not	not	xx	not	not	0
pressed	pressed	vvn	pressed	press	0
with	with	p-acp	with	with	0
the	the	pno32	thee	they	0
for	for	c-acp	for	for	0
∣	∣	sy	∣	∣	0
mer	mer	uh	mere	mer	0
toiles	toiles	n2	toils	toil	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
olde	olde	j	old	old	0
trade	trade	n1	trade	trade	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
the	the	dt	the	the	0
tyme	tyme	n1	time	time	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
country	country	n1	country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
auoyde	auoyde	vvi	avoid	avoid	0
idlenes	idlenes	n1	idleness	idleness	0
;	;	;	;	;	0
I	I	pns11	I	i	0
tooke	tooke	vvd	took	take	0
in	in	p-acp	in	in	0
hande	hande	n1	hand	hand	0
to	to	pc-acp	to	to	0
translate	translate	vvi	translate	translate	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Spanish	Spanish	jp	Spanish	spanish	0
into	into	p-acp	into	into	0
English	English	jp	English	english	0
,	,	,	,	,	0
the	the	dt	the	the	0
three	three	crd	three	three	0
bookes	bookes	n2	books	book	0
of	of	pp-f	of	of	0
Doctor	Doctor	n1	Doctor	doctor	0
Monardes	Monardes	npg1	Monardes	monardes	0
of	of	pp-f	of	of	0
Seuil	Seuil	np1	Seuil	Seville	0
,	,	,	,	,	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
Phisition	Phisition	n1	Physician	physician	0
,	,	,	,	,	0
treating	treating	vvg	treating	treat	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
singular	singular	j	singular	singular	0
and	and	cc	and	and	0
rare	rare	j	rare	rare	0
vertues	vertues	n2	virtues	virtue	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
Hearbes	Hearbes	n2	Herbs	herb	0
,	,	,	,	,	0
Trees	Trees	n2	Trees	tree	0
,	,	,	,	,	0
Oyles	Oyles	n2	Oils	oil	0
,	,	,	,	,	0
Plants	Plants	n2	Plants	plant	0
,	,	,	,	,	0
Stoner	Stoner	np1	Stoner	Stoner	0
,	,	,	,	,	0
&	&	cc	&	and	0
Drugges	Drugges	n2	Drug	drug	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indias	Indias	npg1	Indias	India	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
the	the	dt	the	the	0
same	same	d	same	same	0
booke	booke	n1	book	book	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
high	high	j	high	high	0
commendation	commendation	n1	commendation	commendation	0
in	in	p-acp	in	in	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
and	and	cc	and	and	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
countries	countries	n2	countries	country	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
sorte	sorte	n1	sort	sort	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
deede	deede	n1	deed	deed	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
bring	bring	vvi	bring	bring	0
in	in	p-acp	in	in	0
tyme	tyme	n1	time	time	0
rare	rare	j	rare	rare	0
profite	profite	n1	profit	profit	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
Country	Country	n1	Country	country	0
folkes	folkes	n2	folks	folk	0
of	of	pp-f	of	of	0
Englande	Englande	np1	Englande	England	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
wonderful	wonderful	j	wondered	wonderful	0
cures	cures	n2	cures	cure	0
of	of	pp-f	of	of	0
sund	sund	n1	sund	sund	0
great	great	j	great	great	0
diseases	diseases	n2	diseases	disease	0
,	,	,	,	,	0
that	that	cst	that	that	0
otherwise	otherwise	av	otherwise	otherwise	0
then	then	av	then	then	0
by	by	p-acp	by	by	0
these	these	d	these	these	0
redies	redies	n2	redies	redy	0
,	,	,	,	,	0
