COurteous	COurteous	j	COurteous	courteous	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
be	be	vbb	be	be	0
intreated	intreated	vvn	entreated	entreat	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
fauorable	fauorable	j	favourable	favourable	0
construction	construction	n1	construction	construction	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
forwardnes	forwardnes	n1	forwardness	forwardness	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
publishing	publishing	vvg	publishing	publish	0
these	these	d	these	these	0
inseuing	inseuing	vvg	inseuing	inseue	0
discourses	discourses	n2	discourses	discourse	0
,	,	,	,	,	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
carrying	carrying	vvg	carrying	carry	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
those	those	d	those	those	0
forraigne	forraigne	j	foreign	foreign	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
amongst	amongst	p-acp	among	among	0
those	those	d	those	those	0
people	people	n1	people	people	0
that	that	cst	that	that	0
as	as	c-acp	as	as	0
yet	yet	av	yet	yet	0
haue	haue	vhi	have	have	0
had	had	vhn	had	have	0
no	no	dx	no	no	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
tast	tast	n1	taste	taste	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
procure	procure	vvi	procure	procure	0
vnto	vnto	p-acp	unto	unto	0
themselues	themselues	px32	themselves	themselves	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
a	a	pp-f	a	of	0
quiet	quiet	j-jn	quiet	quiet	0
and	and	cc	and	and	0
comfortable	comfortable	j	comfortable	comfortable	0
habytation	habytation	n1	habytation	habytation	0
:	:	:	:	:	0
amongst	amongst	p-acp	among	among	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
the	the	dt	the	the	0
inducements	inducements	n2	inducements	inducement	0
(	(	(	(	(	0
vnto	vnto	p-acp	unto	unto	0
these	these	d	these	these	0
vndertakers	vndertakers	n2	undertakers	undertaker	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
then	then	av	then	then	0
hopefull	hopefull	j	hopeful	hopeful	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
experimentally	experimentally	av-j	experimentally	experimental	0
knowne	knowne	vvn	known	know	0
good	good	j	good	good	0
enterprice	enterprice	n1	enterprise	enterprise	0
for	for	p-acp	for	for	0
plantation	plantation	n1	plantation	plantation	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
New	New	j	New	new	0
England	England	np1	England	England	0
