OF	OF	pp-f	OF	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
faultes	faultes	n2	faults	fault	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
fall	fall	vvb	fallen	fall	0
into	into	p-acp	into	into	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
dayes	dayes	n2	days	day	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
vanity	vanity	n1	vanity	vanity	0
,	,	,	,	,	0
(	(	(	(	(	0
right	right	av-jn	right	right	0
honorable	honorable	j	honourable	honourable	0
&	&	cc	&	and	0
my	my	po11	my	my	0
very	very	j	very	very	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
none	none	pi	none	none	0
that	that	cst	that	that	0
de	de	zz	de	de	0
¦	¦	sy	¦	¦	0
serue	serue	vvb	serve	serve	0
greater	greater	jc	greater	great	0
blame	blame	n1	blame	blame	0
,	,	,	,	,	0
than	than	cs	than	than	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
vnthankfull	vnthankfull	j	unthankful	unthankful	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
receaued	receaued	vvn	received	receive	0
benefites	benefites	n2	benefits	benefit	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
yt	yt	pn31	that	it	0
I	I	pns11	I	i	0
hauing	hauing	vhg	having	have	0
takē	takē	vvn	taken	take	0
some	some	d	some	some	0
paines	paines	n2	pains	pain	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
fitable	fitable	j	fitable	fitable	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bolde	bolde	j	bold	bold	0
vnder	vnder	p-acp	under	under	0
your	your	po22	your	your	0
honours	honours	ng1	honours	honour	0
name	name	n1	name	name	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
)	)	)	)	)	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
leaue	leaue	vvi	leave	leave	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
lieu	lieu	n1	lieu	lieu	0
of	of	pp-f	of	of	0
thankefulnesse	thankefulnesse	n1	thankfulness	thankfulness	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
testimony	testimony	n1	testimony	testimony	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
honours	honours	ng1	honours	honour	0
loue	loue	n1	love	love	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
humble	humble	j	humble	humble	0
duety	duety	n1	duty	duty	0
againe	againe	av	again	again	0
towards	towards	p-acp	towards	towards	0
your	your	po22	your	your	0
ho	ho	uh	ho	ho	0
∣	∣	sy	∣	∣	0
nor	nor	ccx	nor	nor	0
and	and	cc	and	and	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
posteritie	posteritie	n1	posterity	posterity	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
who	who	q-crq	who	who	0
am	am	vbm	am	be	0
I	I	pns11	I	i	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
,	,	,	,	,	0
whiles	whiles	cs	while	while	0
life	life	n1	life	life	0
lasteth	lasteth	vvz	lasteth	last	0
,	,	,	,	,	0
liue	liue	vvb	live	live	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
fite	fite	n1	fite	fite	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
?	?	?	?	?	0
and	and	cc	and	and	0
who	who	q-crq	who	who	0
are	are	vbr	are	be	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
auctority	auctority	n1	authority	authority	0
,	,	,	,	,	0
wealth	wealth	n1	wealth	wealth	0
,	,	,	,	,	0
and	and	cc	and	and	0
libertie	libertie	n1	liberty	liberty	0
,	,	,	,	,	0
&	&	cc	&	and	0
