RJght	RJght	av-jn	RJght	rjght	0
Honorable	Honorable	j	Honourable	honourable	0
,	,	,	,	,	0
my	my	po11	my	my	0
singular	singular	j	singular	singular	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Lady	Lady	n1	Lady	lady	0
;	;	;	;	;	0
your	your	po22	your	your	0
Ho	Ho	uh	Ho	ho	0
∣	∣	sy	∣	∣	0
nours	nours	ng1	nours	nours	0
both	both	d	both	both	0
hauing	hauing	j-vvg	having	have	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
ceedingly	ceedingly	av-vvg	ceedingly	ceed	0
comforted	comforted	vvn	comforted	comfort	0
,	,	,	,	,	0
and	and	cc	and	and	0
encouraged	encouraged	vvd	encouraged	encourage	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
kind	kind	n1	kind	kind	0
,	,	,	,	,	0
J	J	pns11	J	i	0
rest	rest	vvb	rest	rest	0
assured	assured	vvn	assured	assure	0
,	,	,	,	,	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
gladly	gladly	av-j	gladly	glad	0
accept	accept	vvi	accept	accept	0
and	and	cc	and	and	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
tect	tect	n1	tect	tect	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
vtmost	vtmost	j	utmost	utmost	0
,	,	,	,	,	0
this	this	d	this	this	0
sermon	sermon	n1	sermon	sermon	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
published	published	vvn	published	publish	0
,	,	,	,	,	0
my	my	po11	my	my	0
good	good	j	good	good	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mand	mand	vvn	manned	man	0
.	.	.	.	.	1
Whereas	Whereas	cs	Whereas	whereas	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
and	and	cc	and	and	0
iudgment	iudgment	n1	judgement	judgement	0
,	,	,	,	,	0
moued	moued	vvn	moved	move	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
it	it	pn31	it	it	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
further	further	jc	further	further	0
good	good	j	good	good	0
to	to	p-acp	to	to	0
Gods	Gods	npg1	Gods	God	0
Church	Church	n1	Church	church	0
;	;	;	;	;	0
and	and	cc	and	and	0
whereas	whereas	cs	whereas	whereas	0
also	also	av	also	also	0
your	your	po22	your	your	0
Lord	Lord	n1	Lord	lord	0
∣	∣	sy	∣	∣	0
ship	ship	n1	ship	ship	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
honourable	honourable	j	honourable	honourable	0
and	and	cc	and	and	0
reli	reli	fw-la	reli	reli	0
∣	∣	sy	∣	∣	0
gious	gious	j	gious	gious	0
care	care	n1	care	care	0
,	,	,	,	,	0
procured	procured	vvd	procured	procure	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
