SIr	SIr	n1	SIr	sir	0
,	,	,	,	,	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
you	you	pn22	you	you	0
consider	consider	vvb	consider	consider	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
an	an	dt	and	a	0
especiall	especiall	j	especial	especial	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
word	word	n1	word	word	0
,	,	,	,	,	0
carefully	carefully	av-j	carefully	careful	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
waied	waied	vvd	weighed	weigh	0
:	:	:	:	:	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
this	this	d	this	this	0
,	,	,	,	,	0
Mat.	Mat.	np1	Mat.	Mat	1
25.	25.	crd	25.	25.	1
1,2,3,4,5,6,7,8,9,10,11,12	1,2,3,4,5,6,7,8,9,10,11,12	crd	1,2,3,4,5,6,7,8,9,10,11,12	1,2,3,4,5,6,7,8,9,10,11,12	0
.	.	.	.	.	1
Luk.	Luk.	np1	Luk.	Luk.	0
13.	13.	crd	13.	13.	0
24.	24.	crd	24.	24.	1
Many	Many	av-d	Many	many	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
fessors	fessors	zz	fessors	fessors	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
perswade	perswade	vvi	persuade	persuade	0
themselues	themselues	px32	themselves	themselves	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
estate	estate	n1	estate	estate	0
of	of	pp-f	of	of	0
grace	grace	n1	grace	grace	0
;	;	;	;	;	0
and	and	cc	and	and	0
so	so	av	so	so	0
the	the	dt	the	the	0
true	true	j	true	true	0
Church	Church	n1	Church	church	0
esteemeth	esteemeth	vvz	esteems	esteem	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
too	too	av	too	too	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
grace	grace	n1	grace	grace	0
is	is	vbz	is	be	0
past	past	j	past	past	0
,	,	,	,	,	0
they	they	pns32	they	they	0
contrariwise	contrariwise	av	contrariwise	contrariwise	0
shall	shall	vmb	shall	shall	0
finde	finde	vvi	find	find	0
