CHristian	CHristian	njp	CHristian	christian	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
day	day	n1	day	day	0
foure	foure	crd	foure	four	0
seuerall	seuerall	j	several	several	0
opini	opini	fw-la	opini	opini	0
∣	∣	sy	∣	∣	0
ons	ons	pp-f|pno12	ons	of|we	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
Gods	Gods	ng1	Gods	god	0
di	di	zz	di	di	0
∣	∣	sy	∣	∣	0
uine	uine	n1	vine	vine	0
Predestination	Predestination	n1	Predestination	predestination	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
old	old	j	old	old	0
and	and	cc	and	and	0
newe	newe	j	new	new	0
Pelagians	Pelagians	n2	Pelagians	pelagian	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
place	place	n1	place	place	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Predesti	Predesti	n1	Peredesti	peredesti	0
∣	∣	sy	∣	∣	0
nation	nation	n1	nation	nation	0
in	in	p-acp	in	in	0
man	man	n1	man	man	0
:	:	:	:	:	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
hold	hold	vvb	hold	hold	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
did	did	vdd	did	do	0
ordeine	ordeine	vvi	ordain	ordain	0
men	men	n2	men	man	0
either	either	av-d	either	either	0
to	to	p-acp	to	to	0
life	life	n1	life	life	0
or	or	cc	or	or	0
death	death	n1	death	death	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
fore	fore	a-acp	before	fore	0
∣	∣	sy	∣	∣	0
see	see	vvb	see	see	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
naturall	naturall	j	natural	natural	0
free	free	j	free	free	0
will	will	n1	will	will	0
,	,	,	,	,	0
ei	ei	fw-la	ei	ei	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
reiect	reiect	vvi	reject	reject	0
or	or	cc	or	or	0
receiue	receiue	vvi	receive	receive	0
grace	grace	n1	grace	grace	0
offered	offered	vvn	offered	offer	0
.	.	.	.	.	1
The	The	dt	The	the	0
second	second	ord	second	second	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
)	)	)	)	)	0
