VNDER	VNDER	p-acp	UNDER	under	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
highnes	highnes	n1	highness	highness	0
gratious	gratious	j	gracious	gracious	0
and	and	cc	and	and	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
customed	customed	j-vvn	customed	custom	0
fauor	fauor	n1	favour	favour	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
presumed	presumed	vvn	presumed	presume	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
here	here	av	here	here	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
Plutarkes	Plutarkes	npg1	Plutarkes	Plutarch	0
lyues	lyues	n2	lives	life	0
translated	translated	vvn	translated	translate	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
booke	booke	n1	book	book	0
fit	fit	j	fit	fit	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
protected	protected	vvn	protected	protect	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
highnes	highnes	n1	highness	highness	0
,	,	,	,	,	0
and	and	cc	and	and	0
meete	meete	vvb	meet	meet	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
set	set	vvn	set	set	0
forth	forth	av	forth	forth	0
in	in	p-acp	in	in	0
Englishe	Englishe	jp	English	english	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
vvho	vvho	r-crq	who	who	0
is	is	vbz	is	be	0
fit	fit	j	fit	fit	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
to	to	p-acp	to	to	0
giue	giue	vvi	give	give	0
countenance	countenance	n1	countenance	countenance	0
to	to	p-acp	to	to	0
so	so	av	so	so	0
many	many	d	many	many	0
great	great	j	great	great	0
states	states	n2	states	state	0
,	,	,	,	,	0
than	than	cs	than	than	0
such	such	d	such	such	0
an	an	dt	and	a	0
highe	highe	j	high	high	0
and	and	cc	and	and	0
mightie	mightie	j	mighty	mighty	0
Princesse	Princesse	n1	Princess	princess	0
?	?	?	?	?	0
vvho	vvho	q-crq	who	who	0
is	is	vbz	is	be	0
fitter	fitter	jc	fitter	fit	0
to	to	pc-acp	to	to	0
reuiue	reuiue	vvi	revive	revive	0
the	the	dt	the	the	0
dead	dead	j	dead	dead	0
memorie	memorie	n1	memory	memory	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
fame	fame	n1	fame	fame	0
,	,	,	,	,	0
than	than	cs	than	than	0
she	she	pns31	she	she	0
that	that	cst	that	that	0
beareth	beareth	vvz	bears	bear	0
the	the	dt	the	the	0
liuely	liuely	j	lively	lively	0
image	image	n1	image	image	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
vertues	vertues	n2	virtues	virtue	0
?	?	?	?	?	0
vvho	vvho	q-crq	who	who	0
is	is	vbz	is	be	0
fitter	fitter	jc	fitter	fit	0
to	to	pc-acp	to	to	0
authorize	authorize	vvi	authorise	authorise	0
a	a	dt	a	a	0
vvorke	vvorke	n1	work	work	0
