MAster	MAster	n1	MAster	master	0
Doctor	Doctor	n1	Doctor	doctor	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
my	my	po11	my	my	0
louing	louing	j-vvg	loving	love	0
friends	friends	n2	friends	friend	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
insolete	insolete	j	insolete	insolete	0
nor	nor	ccx	nor	nor	0
vnwarrantable	vnwarrantable	j	unwarrantable	unwarrantable	0
course	course	n1	course	course	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
publishers	publishers	n2	publishers	publisher	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Labours	Labours	n2	Labours	labour	0
of	of	pp-f	of	of	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
a	a	dt	a	a	0
hand	hand	n1	hand	hand	0
in	in	p-acp	in	in	0
bring	bring	vvb	bring	bring	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
them	them	pno32	them	they	0
forth	forth	av	forth	forth	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
death	death	n1	death	death	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Authors	Authors	n2	Authors	author	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
ei	ei	vvi	ei	ei	0
∣	∣	sy	∣	∣	0
ther	ther	dt	there	the	0
consider	consider	vvi	consider	consider	0
the	the	dt	the	the	0
examples	examples	n2	examples	example	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
seruants	seruants	n2	servants	servant	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
holy	holy	j	holy	holy	0
writ	writ	n1	writ	writ	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
Hezekiah	Hezekiah	np1	Hezekiah	Hezekiah	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
diuers	diuers	j	diverse	diverse	0
of	of	pp-f	of	of	0
Solomons	Solomons	np1	Solomons	Solomons	0
Prouerbes	Prouerbes	n2	Proverbs	proverb	0
Inscript	Inscript	n1	Inscript	inscript	0
.	.	.	.	.	0
cap	cap	n1	cap	cap	0
.	.	.	.	.	1
25.	25.	crd	25.	25.	1
Prouerb	Prouerb	n1	Proverb	proverb	0
.	.	.	.	.	1
;	;	;	;	;	0
secondly	secondly	ord	secondly	second	0
of	of	pp-f	of	of	0
Solomon	Solomon	np1	Solomon	Solomon	0
,	,	,	,	,	0
or	or	cc	or	or	0
some	some	d	some	some	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
words	words	n2	words	word	0
of	of	pp-f	of	of	0
Ager	Ager	np1	Ager	Ager	0
Inscript	Inscript	n1	Inscript	inscript	0
.	.	.	.	.	0
cap	cap	n1	cap	cap	0
.	.	.	.	.	1
30.	30.	crd	30.	30.	1
Prouerb	Prouerb	n1	Proverb	proverb	0
.	.	.	.	.	1
;	;	;	;	;	0
and	and	cc	and	and	0
thirdly	thirdly	ord	thirdly	three	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Solomon	Solomon	np1	Solomon	Solomon	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
words	words	n2	words	word	0
and	and	cc	and	and	0
counsell	counsell	n1	counsel	counsel	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
