Worthy	Worthy	j	Worthy	worthy	0
Ladies	Ladies	n2	Ladies	lady	0
:	:	:	:	:	0
AS	AS	p-acp	AS	as	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
v	v	crd	v	five	0
∣	∣	sy	∣	∣	0
nited	nited	j-vvn	nited	nit	0
you	you	pn22	you	you	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bondes	bondes	n2	bonds	bond	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
and	and	cc	and	and	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
liance	liance	n1	liance	liance	0
;	;	;	;	;	0
so	so	av	so	so	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
bolde	bolde	j	bold	bold	0
to	to	pc-acp	to	to	0
ioyne	ioyne	vvi	join	join	0
you	you	pn22	you	you	0
all	all	d	all	all	0
toge	toge	n1	toga	toge	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
de	de	zz	de	de	0
∣	∣	sy	∣	∣	0
dication	dication	n1	dication	dication	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
.	.	.	.	.	1
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
worthy	worthy	j	worthy	worthy	0
the	the	dt	the	the	0
acceptance	acceptance	n1	acceptance	acceptance	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
seeing	seeing	vvg	seeing	see	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
God	God	np1	God	God	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
you	you	pn22	you	you	0
all	all	d	all	all	0
instruments	instruments	n2	instruments	instrument	0
of	of	pp-f	of	of	0
much	much	d	much	much	0
good	good	j	good	good	0
and	and	cc	and	and	0
comfort	comfort	vvi	comfort	comfort	0
vnto	vnto	p-acp	unto	unto	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
not	not	xx	not	not	0
whe	whe	c-crq	when	when	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
euer	euer	av	ever	ever	0
haue	haue	vhi	have	have	0
opportunity	opportunity	n1	opportunity	opportunity	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
lish	lish	uh	lish	lish	0
seuerall	seuerall	j	several	several	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
euery	euery	d	every	every	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
names	names	n2	names	name	0
in	in	p-acp	in	in	0
particular	particular	j	particular	particular	0
:	:	:	:	:	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
good	good	j	good	good	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
this	this	d	this	this	0
occasion	occasion	n1	occasion	occasion	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
manifest	manifest	vvi	manifest	manifest	0
my	my	po11	my	my	0
thankefull	thankefull	j	thankful	thankful	0
acknowledgement	acknowledgement	n1	acknowledgement	acknowledgement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kindenesse	kindenesse	n1	kindness	kindness	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
generall	generall	n1	general	general	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
extended	extended	vvn	extended	extend	0
,	,	,	,	,	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
onely	onely	av-j	only	only	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	p-acp	to	to	0
many	many	d	many	many	0
others	others	n2-jn	others	other	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
calling	calling	n-vvg	calling	call	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
truly	truly	av-j	truly	true	0
giue	giue	vvi	give	give	0
this	this	d	this	this	0
testimony	testimony	n1	testimony	testimony	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
all	all	d	all	all	0
shewed	shewed	vvd	showed	show	0
great	great	j	great	great	0
loue	loue	n1	love	love	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
Ministers	Ministers	np1	Ministers	Ministers	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
haue	haue	vhb	have	have	0
resorted	resorted	vvn	resorted	resort	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
according	according	p-acp	according	according	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Apostles	Apostles	n2	Apostles	apostle	0
precept	precept	n1	precept	precept	0
,	,	,	,	,	0
Phil	Phil	np1	Phil	Phil	0
2.29	2.29	crd	2.29	2.29	0
.	.	.	.	.	0
recei	recei	fw-it	recei	recei	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
gladnesse	gladnesse	n1	gladness	gladness	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
much	much	d	much	much	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
The	The	dt	The	the	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Ser	Ser	n1	Sir	sir	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
is	is	vbz	is	be	0
concerning	concerning	vvg	concerning	concern	0
affliction	affliction	n1	affliction	affliction	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
all	all	d	all	all	0
had	had	vhd	had	have	0
your	your	po22	your	your	0
portion	portion	n1	portion	portion	0
more	more	av-dc	more	more	0
or	or	cc	or	or	0
lesse	lesse	av-dc	less	less	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
the	the	dt	the	the	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
tained	tained	vvn	tained	tain	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
fitly	fitly	av-j	fitly	fit	0
appertaine	appertaine	vvi	appertain	appertain	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
all	all	d	all	all	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
especially	especially	av-j	especially	especial	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
my	my	po11	my	my	0
good	good	j	good	good	0
Ladie	Ladie	n1	Lady	lady	0
Scot	Scot	np1	Scot	Scot	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
caused	caused	vvn	caused	cause	0
to	to	pc-acp	to	to	0
drinke	drinke	vvi	drink	drink	0
deeper	deeper	avc-jn	deeper	deep	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
cuppe	cuppe	n1	cup	cup	0
then	then	av	then	then	0
many	many	d	many	many	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
God	God	np1	God	God	0
,	,	,	,	,	0
hither	hither	av	hither	hither	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
to	to	pc-acp	to	to	0
support	support	vvi	support	support	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
grace	grace	n1	grace	grace	0
and	and	cc	and	and	0
patience	patience	n1	patience	patience	0
:	:	:	:	:	0
so	so	av	so	so	0
I	I	pns11	I	i	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
