St.	St.	n1	St.	saint	0
MORRIS	MORRIS	n1	MORRIS	morris	0
ABBOT	ABBOT	n1	ABBOT	abbot	0
,	,	,	,	,	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
Alderman	Alderman	n1	Alderman	alderman	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
LONDON	LONDON	np1	LONDON	London	0
,	,	,	,	,	0
and	and	cc	and	and	0
Governour	Governour	n1	Governor	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Company	Company	n1	Company	company	0
of	of	pp-f	of	of	0
English	English	jp	English	english	0
MERCHANTS	MERCHANTS	n2	MERCHANTS	merchant	0
,	,	,	,	,	0
trading	trading	vvg	trading	trade	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
East-INDIES	East-INDIES	np2	East-INDIES	east-indy	0
▪	▪	▪	▪	▪	0
And	And	cc	And	and	0
HENRY	HENRY	np1	HENRY	Henry	0
GARRAWAY	GARRAWAY	np1	GARRAWAY	Garraway	0
,	,	,	,	,	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Alderman	Alderman	n1	Alderman	alderman	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
LONDON	LONDON	np1	LONDON	London	0
,	,	,	,	,	0
and	and	cc	and	and	0
Governour	Governour	n1	Governor	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Company	Company	n1	Company	company	0
of	of	pp-f	of	of	0
English	English	jp	English	english	0
MERCHANTS	MERCHANTS	n2	MERCHANTS	merchant	0
trading	trading	vvg	trading	trade	0
the	the	dt	the	the	0
Levant	Levant	np1	Levant	Levant	0
Seas	Seas	n2	Seas	sea	0
.	.	.	.	.	1
YOur	YOur	po22	YOur	your	0
excellent	excellent	j	excellent	excellent	0
skill	skill	n1	skill	skill	0
,	,	,	,	,	0
(	(	(	(	(	0
much	much	d	much	much	0
honour'd	honour'd	j-vvn	honoured	honour	0
SIRS	SIRS	n2	SIRS	sir	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
the	the	dt	the	the	0
particular	particular	j	particular	particular	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
Merchandizing	Merchandizing	vvg	Merchandizing	merchandize	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
skil	skil	n1	skill	skill	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
excellencie	excellencie	n1	excellency	excellency	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Universall	Universall	j	Universal	universal	0
Commerce	Commerce	n1	Commerce	commerce	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
