ALL	ALL	av-d	ALL	all	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
sciences	sciences	n2	sciences	science	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
uented	uented	vvd	vented	vent	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
world	world	n1	world	world	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
IESVS	IESVS	np1	IESVS	IESVS	0
CHRIST	CHRIST	np1	CHRIST	Christ	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
whom	whom	ro-crq	whom	who	0
remission	remission	n1	remission	remission	0
of	of	pp-f	of	of	0
sinnes	sinnes	n2	sins	sin	0
is	is	vbz	is	be	0
obtained	obtained	vvn	obtained	obtain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
miserable	miserable	j	miserable	miserable	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
are	are	vbr	are	be	0
but	but	cc-acp	but	but	0
vaine	vaine	j	vain	vain	0
and	and	cc	and	and	0
vnprofitable	vnprofitable	j-u	unprofitable	profitable	0
.	.	.	.	.	1
The	The	dt	The	the	0
Apostle	Apostle	n1	Apostle	apostle	0
reckoning	reckoning	vvg	reckoning	reckon	0
,	,	,	,	,	0
out	out	av	out	out	0
his	his	po31	his	his	0
pre	pre	fw-la	pre	pre	0
∣	∣	sy	∣	∣	0
rogatiues	rogatiues	n2	rogatiues	rogatiue	0
,	,	,	,	,	0
Philip	Philip	np1	Philip	Philip	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	0
4.	4.	crd	4.	4.	0
5.	5.	crd	5.	5.	0
6.	6.	crd	6.	6.	0
7.	7.	crd	7.	7.	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
many	many	d	many	many	0
,	,	,	,	,	0
counts	counts	vvz	counts	count	0
them	them	pno32	them	they	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
excellency	excellency	n1	excellency	excellency	0
and	and	cc	and	and	0
knovvledge	knovvledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
but	but	p-acp	but	but	0
losse	losse	n1	loss	loss	0
and	and	cc	and	and	0
dung	dung	n1	dung	dung	0
:	:	:	:	:	0
Euen	Euen	av	Even	even	0
so	so	av	so	so	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
sciences	sciences	n2	sciences	science	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
seuered	seuered	vvn	severed	sever	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
uailes	uailes	n2	vails	vail	0
it	it	pn31	it	it	0
a	a	av	a	a	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
knowe	knowe	vvi	know	know	0
the	the	dt	the	the	0
height	height	n1	height	height	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Heauens	Heauens	n2	Heavens	heaven	0
,	,	,	,	,	0
the	the	dt	the	the	0
courses	courses	n2	courses	course	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Starres	Starres	n2	Stars	star	0
,	,	,	,	,	0
the	the	dt	the	the	0
breadth	breadth	n1	breadth	breadth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
if	if	cs	if	if	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
mean-tyme	mean-tyme	n1	mean-tyme	mean-tyme	0
his	his	po31	his	his	0
conscience	conscience	n1	conscience	conscience	0
accuse	accuse	vvi	accuse	accuse	0
him	him	pno31	him	he	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
sinnes	sinnes	n2	sins	sin	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
vnworthie	vnworthie	j	unworthy	unworthy	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
Heauen	Heauen	n1	Heaven	heaven	0
and	and	cc	and	and	0
earth	earth	n1	earth	earth	0
?	?	?	?	?	1
What	What	q-crq	What	what	0
auailes	auailes	vvz	avails	avail	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
seeke	seeke	vvi	seek	seek	0
by	by	p-acp	by	by	0
Physick	Physick	n1	Physic	physic	0
to	to	pc-acp	to	to	0
prolong	prolong	vvi	prolong	prolong	0
afraile	afraile	j	afraile	afraile	0
temporall	temporall	j	temporal	temporal	0
life	life	n1	life	life	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
bodie	bodie	n1	body	body	0
,	,	,	,	,	0
if	if	cs	if	if	0
his	his	po31	his	his	0
conscience	conscience	n1	conscience	conscience	0
tell	tell	vvi	tell	tell	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
mean-tyme	mean-tyme	n1	mean-tyme	mean-tyme	0
that	that	cst	that	that	0
his	his	po31	his	his	0
soule	soule	n1	soul	soul	0
shall	shall	vmb	shall	shall	0
perish	perish	vvi	perish	perish	0
for	for	p-acp	for	for	0
euer	euer	av	ever	ever	0
?	?	?	?	?	1
What	What	q-crq	What	what	0
auailes	auailes	vvz	avails	avail	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
brag	brag	vvi	brag	brag	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lawe	Lawe	n1	Law	law	0
,	,	,	,	,	0
if	if	cs	if	if	0
his	his	po31	his	his	0
conscience	conscience	n1	conscience	conscience	0
accuse	accuse	vvi	accuse	accuse	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
most	most	av-ds	most	most	0
vnjust	vnjust	j	unjust	unjust	0
and	and	cc	and	and	0
worthie	worthie	j	worthy	worthy	0
of	of	pp-f	of	of	0
eternal	eternal	j	eternal	eternal	0
dam	dam	n1	dam	dam	0
∣	∣	sy	∣	∣	0
nation	nation	n1	nation	nation	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
these	these	d	these	these	0
and	and	cc	and	and	0
such	such	d	such	such	0
like	like	j	like	like	0
things	things	n2	things	thing	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
world	world	n1	world	world	0
doe	doe	vdb	do	do	0
glorie	glorie	vvi	glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
not	not	xx	not	not	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
the	the	dt	the	the	0
bet	bet	n1	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
.	.	.	.	.	1
The	The	dt	The	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
knowledge	knowledge	n1	knowledge	knowledge	0
that	that	cst	that	that	0
preserues	preserues	vvz	preserves	preserve	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
and	and	cc	and	and	0
makes	makes	vvz	makes	make	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
for	for	p-acp	for	for	0
euer	euer	av	ever	ever	0
,	,	,	,	,	0
Ioh.	Ioh.	np1	Ioh.	Ioh.	1
5.	5.	crd	5.	5.	0
39	39	crd	39	39	0
as	as	p-acp	as	as	0
our	our	po12	our	our	0
Sauiour	Sauiour	n1	Saviour	saviour	0
sayes	sayes	vvz	says	say	0
,	,	,	,	,	0
Search	Search	vvb	Search	search	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
ye	ye	pn22	you	you	0
thinke	thinke	vvb	think	think	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
eternall	eternall	j	eternal	eternal	0
lyfe	lyfe	n1	life	life	0
,	,	,	,	,	0
Ioh.	Ioh.	np1	Ioh.	Ioh.	1
17.	17.	crd	17.	17.	0
3	3	crd	3	3	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
they	they	pns32	they	they	0
vvhich	vvhich	r-crq	which	which	0
testifie	testifie	vvb	testify	testify	0
of	of	pp-f	of	of	0
me	me	pno11	me	i	0
.	.	.	.	.	1
And	And	cc	And	and	0
againe	againe	av	again	again	0
,	,	,	,	,	0
This	This	d	This	this	0
is	is	vbz	is	be	0
life	life	n1	life	life	0
eternall	eternall	j	eternal	eternal	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
knovv	knovv	vvb	know	know	0
thee	thee	pno21	thee	thou	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
onely	onely	j	only	only	0
verie	verie	j	very	very	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
vvhom	vvhom	r-crq	whom	who	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
sent	sent	vvn	sent	send	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
Then	Then	cs	Then	than	0
this	this	d	this	this	0
science	science	n1	science	science	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
sought	sought	vvn	sought	seek	0
,	,	,	,	,	0
praised	praised	vvn	praised	praise	0
,	,	,	,	,	0
and	and	cc	and	and	0
preferred	preferred	vvd	preferred	prefer	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
others	others	n2-jn	others	other	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
respects	respects	n2	respects	respect	0
Look	Look	vvb	Look	look	0
how	how	c-crq	how	how	0
highly	highly	av-j	highly	high	0
PAVL	PAVL	np1	PAVL	PAVL	0
commends	commends	vvz	commends	commend	0
it	it	pn31	it	it	0
:	:	:	:	:	0
1.	1.	crd	1.	1.	1
Cor.	Cor.	np1	Cor.	Cor.	0
2.	2.	crd	2.	2.	0
6.	6.	crd	6.	6.	0
7.	7.	crd	7.	7.	0
8.	8.	crd	8.	8.	0
9.	9.	crd	9.	9	1
Wespeake	Wespeake	vvb	Wespeake	wespeake	0
,	,	,	,	,	0
sayes	sayes	vvz	says	say	0
he	he	pns31	he	he	0
,	,	,	,	,	0
vvisdome	vvisdome	n1	wisdom	wisdom	0
,	,	,	,	,	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
perfite	perfite	j	perfect	perfect	0
:	:	:	:	:	0
Not	Not	xx	Not	not	0
the	the	dt	the	the	0
vvisdome	vvisdome	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
vvorld	vvorld	n1	world	world	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Princes	Princes	n2	Princes	prince	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
vvorld	vvorld	n1	world	world	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
nought	nought	pix	nought	nought	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
vve	vve	pns12	we	we	0
speake	speake	vvb	speak	speak	0
the	the	dt	the	the	0
vvisdome	vvisdome	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
mi	mi	fw-mi	mi	mi	0
∣	∣	sy	∣	∣	0
sterie	sterie	n1	sterie	sterie	0
,	,	,	,	,	0
euen	euen	av-j	even	even	0
the	the	dt	the	the	0
hid	hid	j-vvn	hid	hide	0
vvisdome	vvisdome	n1	wisdom	wisdom	0
,	,	,	,	,	0
vvhich	vvhich	r-crq	which	which	0
God	God	np1	God	God	0
had	had	vhd	had	have	0
determined	determined	vvn	determined	determine	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
vvorld	vvorld	n1	world	world	0
vnto	vnto	p-acp	unto	unto	0
our	our	po12	our	our	0
glory	glory	n1	glory	glory	0
:	:	:	:	:	0
Which	Which	r-crq	Which	which	0
none	none	pi	none	none	0
