TRuly	TRuly	av-j	TRuly	true	0
Honorable	Honorable	j	Honourable	honourable	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Father	Father	n1	Father	father	0
is	is	vbz	is	be	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
whose	whose	rg-crq	whose	who	0
Inheritance	Inheritance	n1	Inheritance	inheritance	0
a	a	dt	a	a	0
Kingdome	Kingdome	n1	Kingdom	kingdom	0
;	;	;	;	;	0
the	the	dt	the	the	0
diuers	diuers	j	diverse	diverse	0
sparks	sparks	n2	sparks	spark	0
of	of	pp-f	of	of	0
holy	holy	j	holy	holy	0
fire	fire	n1	fire	fire	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
haue	haue	vhb	have	have	0
issued	issued	vvn	issued	issue	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
that	that	cst	that	that	0
baptizeth	baptizeth	vvz	baptizeth	baptize	0
with	with	p-acp	with	with	0
fire	fire	n1	fire	fire	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
gathered	gathered	vvn	gathered	gather	0
together	together	av	together	together	0
;	;	;	;	;	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
vnited	vnited	j-vvn	united	unite	0
heate	heate	n1	heat	heat	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
kindle	kindle	vvi	kindle	kindle	0
a	a	dt	a	a	0
flame	flame	n1	flame	flame	0
where	where	q-crq	where	where	0
is	is	vbz	is	be	0
none	none	pix	none	none	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
crease	crease	n1	crease	crease	0
it	it	pn31	it	it	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
alreadie	alreadie	av	already	already	0
kindled	kindled	vvn	kindled	kindle	0
.	.	.	.	.	1
This	This	d	This	this	0
blessing	blessing	n1	blessing	blessing	0
must	must	vmb	must	must	0
come	come	vvi	come	come	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
haue	haue	vhb	have	have	0
I	I	pns11	I	i	0
desired	desired	vvd	desired	desire	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
surely	surely	av-j	surely	sure	0
the	the	dt	the	the	0
best	best	js	best	best	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
ye	ye	pn22	you	you	0
well	well	av	well	well	0
know	know	vvi	know	know	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
turnes	turnes	n2	turns	turn	0
of	of	pp-f	of	of	0
winter	winter	n1	winter	winter	0
,	,	,	,	,	0
euen	euen	av	even	even	0
vp	vp	p-acp	up	up	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
their	their	po32	their	their	0
hottest	hottest	js	hottest	hot	0
zeale	zeale	n1	zeal	zeal	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
woe	woe	n1	woe	woe	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
alone	alone	j	alone	alone	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
how	how	q-crq	how	how	0
should	should	vmd	should	shall	0
he	he	pns31	he	he	0
