R.	R.	np1	R.	R.	0
REVEREND	REVEREND	n-jn	REVEREND	reverend	0
:	:	:	:	:	0
YOu	YOu	pn22	YOu	you	0
cannot	cannot	vmbx	cannot	can	0
but	but	cc-acp	but	but	0
haue	haue	vhb	have	have	0
obserued	obserued	vvn	observed	observe	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
when	when	c-crq	when	when	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
ignorance	ignorance	n1	ignorance	ignorance	0
,	,	,	,	,	0
errour	errour	n1	error	error	0
,	,	,	,	,	0
and	and	cc	and	and	0
transgressi	transgressi	n1	transgressi	transgressi	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
,	,	,	,	,	0
a	a	dt	a	a	0
Riddle	Riddle	n1	Riddle	riddle	0
was	was	vbds	was	be	0
proposed	proposed	vvn	proposed	propose	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Court	Court	n1	Court	court	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
Darius	Darius	np1	Darius	Darius	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
was	was	vbds	was	be	0
grea	grea	zz	grea	grea	0
∣	∣	sy	∣	∣	0
test	test	n1	test	test	0
and	and	cc	and	and	0
strongest	strongest	js	strongest	strong	0
:	:	:	:	:	0
there	there	pc-acp	there	there	0
were	were	vbdr	were	be	0
who	who	r-crq	who	who	0
stood	stood	vvd	stood	stand	0
for	for	p-acp	for	for	0
Wine	Wine	n1	Wine	wine	0
,	,	,	,	,	0
some	some	d	some	some	0
for	for	p-acp	for	for	0
Kings	Kings	n2	Kings	king	0
,	,	,	,	,	0
a	a	dt	a	a	0
third	third	ord	third	three	0
sort	sort	n1	sort	sort	0
for	for	p-acp	for	for	0
Women	Women	n2	Women	woman	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
Zorobabel	Zorobabel	np1	Zorobabel	Zorobabel	0
inlightened	inlightened	vvn	enlightened	enlighten	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
gaue	gaue	vvd	gave	give	0
his	his	po31	his	his	0
verdict	verdict	n1	verdict	verdict	0
for	for	p-acp	for	for	0
Truth	Truth	n1	Truth	truth	0
:	:	:	:	:	0
That	That	cst	That	that	0
Truth	Truth	n1	Truth	truth	0
was	was	vbds	was	be	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
grea	grea	zz	grea	grea	0
∣	∣	sy	∣	∣	0
test	test	n1	test	test	0
and	and	cc	and	and	0
strongest	strongest	js	strongest	strong	0
:	:	:	:	:	0
Which	Which	r-crq	Which	which	0
his	his	po31	his	his	0
opinion	opinion	n1	opinion	opinion	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
then	then	av	then	then	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
plauded	plauded	vvn	plauded	plaud	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
approued	approued	vvn	approved	approve	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Senators	Senators	n2	Senators	senator	0
of	of	pp-f	of	of	0
State	State	n1	State	state	0
,	,	,	,	,	0
honored	honored	vvn	honoured	honour	0
and	and	cc	and	and	0
rewarded	rewarded	vvn	rewarded	reward	0
by	by	p-acp	by	by	0
King	King	n1	King	king	0
Darius	Darius	np1	Darius	Darius	0
himselfe	himselfe	px31	himself	himself	0
;	;	;	;	;	0
we	we	pns12	we	we	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
beleeue	beleeue	vvb	believe	believe	0
the	the	dt	the	the	0
manifestation	manifestation	n1	manifestation	manifestation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Word-Truth	Word-Truth	n1	Word-Truth	word-truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
il	il	j-jn	ill	ill	0
∣	∣	sy	∣	∣	0
lightning	lightning	n1	lightning	lightning	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Word	Word	n1	Word	word	0
of	of	pp-f	of	of	0
Truth	Truth	n1	Truth	truth	0
;	;	;	;	;	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
maruell	maruell	vvi	marvel	marvel	0
to	to	pc-acp	to	to	0
obserue	obserue	vvi	observe	observe	0
that	that	d	that	that	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
last	last	ord	last	last	0
houre	houre	n1	hour	hour	0
(	(	(	(	(	0
iustified	iustified	vvn	justified	justify	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
