YF	YF	cs	IF	if	0
S.	S.	n1	S.	saint	0
Paul	Paul	np1	Paul	Paul	0
(	(	(	(	(	0
Most	Most	np1	Most	Most	0
Grati	Grati	np1	Grati	Grati	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
Soueraigne	Soueraigne	n-jn	Sovereign	sovereign	0
)	)	)	)	)	0
being	being	vbg	being	be	0
accused	accused	vvn	accused	accuse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Synagog	Synagog	n1	Synagogue	synagogue	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Iewes	Iewes	np2	Iewes	Jew	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
Orator	Orator	n1	Orator	orator	0
Tertul	Tertul	np1	Tertul	Tertul	0
∣	∣	sy	∣	∣	0
lus	lus	crd	lus	lus	0
of	of	pp-f	of	of	0
diuers	diuers	j	diverse	diverse	0
heynous	heynous	j	heinous	heinous	0
crimes	crimes	n2	crimes	crime	0
,	,	,	,	,	0
both	both	d	both	both	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
Gods	Gods	n2	Gods	god	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Princes	Princes	ng1	Princes	prince	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
found	found	vvd	found	find	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
such	such	d	such	such	0
equitie	equitie	n1	equity	equity	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
heathen	heathen	j-jn	heathen	heathen	0
President	President	n1	President	precedent	0
Festus	Festus	np1	Festus	Festus	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
answered	answered	vvd	answered	answer	0
his	his	po31	his	his	0
aduersaries	aduersaries	n2	adversaries	adversary	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
Romans	Romans	njp2	Roman	roman	0
custome	custome	n1	custom	custom	0
to	to	pc-acp	to	to	0
cō	cō	vvi	con	con	0
∣	∣	sy	∣	∣	0
demne	demne	vvb	demne	demne	0
Act.	Act.	n1	Act.	act	0
2	2	crd	2	2	0
any	any	d	any	any	0
man	man	n1	man	man	0
before	before	c-acp	before	before	0
he	he	pns31	he	he	0
haue	haue	vhb	have	have	0
his	his	po31	his	his	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cusers	cusers	n2	cusers	cuser	0
present	present	j	present	present	0
,	,	,	,	,	0
and	and	cc	and	and	0
place	place	n1	place	place	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
his	his	po31	his	his	0
answer	answer	n1	answer	answer	0
:	:	:	:	:	0
and	and	cc	and	and	0
also	also	av	also	also	0
such	such	d	such	such	0
fauour	fauour	n1	favour	favour	0
at	at	p-acp	at	at	0
the	the	pno32	thee	they	0
The	The	dt	The	the	0
like	like	j	like	like	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
porteth	porteth	vvz	porteth	port	0
Plutarch	Plutarch	np1	Plutarch	Plutarch	0
of	of	pp-f	of	of	0
K.	K.	n1	K.	king	0
Alexan.	Alexan.	np1	Alexan.	Alexan.	0
the	the	dt	the	the	0
great	great	j	great	great	0
.	.	.	.	.	1
Act.	Act.	n1	Act.	act	0
26.	26.	crd	26.	26.	1
Iewish	Iewish	jp	Jewish	jewish	0
King	King	n1	King	king	0
Agrippa	Agrippa	np1	Agrippa	Agrippa	0
his	his	po31	his	his	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
both	both	av-d	both	both	0
licenced	licenced	vvd	licenced	licence	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
speake	speake	vvi	speak	speak	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
&	&	cc	&	and	0
afforded	afforded	vvd	afforded	afford	0
him	him	pno31	him	he	0
fauorable	fauorable	j	favourable	favourable	0
audi	audi	fw-la	audi	audi	0
∣	∣	sy	∣	∣	0
ence	ence	n1	ence	ence	0
.	.	.	.	.	1
Much	Much	av-d	Much	much	0
more	more	dc	more	more	0
cause	cause	n1	cause	cause	0
haue	haue	vhb	have	have	0
your	your	po22	your	your	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
Catholique	Catholique	jp	Catholic	catholique	0
Subiects	Subiects	n2-jn	Subjects	subject	0
,	,	,	,	,	0
being	being	vbg	being	be	0
accused	accused	vvn	accused	accuse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ministers	ministers	n2	ministers	minister	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
hyred	hyred	j-vvn	hired	hire	0
spokesman	spokesman	n1	spokesman	spokesman	0
Bel	Bel	np1	Bel	Bell	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
expect	expect	vvi	expect	expect	0
the	the	dt	the	the	0
like	like	j	like	like	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
greater	greater	jc	greater	great	0
fauor	fauor	n1	favour	favour	0
&	&	cc	&	and	0
equitie	equitie	n1	equity	equity	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
Graces	Graces	ng1	Graces	grace	0
handes	handes	n2	hands	hand	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Romans	Romans	njp2	Roman	roman	0
though	though	c-acp	though	though	0
Heathens	Heathens	n2-jn	Heathens	heathens	0
,	,	,	,	,	0
thought	thought	vvd	thought	think	0
it	it	pn31	it	it	0
iniustice	iniustice	n1	injustice	injustice	0
to	to	pc-acp	to	to	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
demne	demne	vvb	demne	demne	0
any	any	d	any	any	0
particular	particular	j	particular	particular	0
man	man	n1	man	man	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
cla	cla	n1	cla	cla	0
∣	∣	sy	∣	∣	0
mors	mors	fw-la	mors	mors	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
whole	whole	j-jn	whole	whole	0
nation	nation	n1	nation	nation	0
,	,	,	,	,	0
before	before	p-acp	before	before	0
his	his	po31	his	his	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cusers	cusers	n2	cusers	cuser	0
were	were	vbdr	were	be	0
present	present	j	present	present	0
and	and	cc	and	and	0
his	his	po31	his	his	0
defence	defence	n1	defence	defence	0
were	were	vbdr	were	be	0
heard	heard	vvn	herd	hear	0
?	?	?	?	?	1
And	And	cc	And	and	0
if	if	cs	if	if	0
King	King	n1	King	king	0
Agrippa	Agrippa	np1	Agrippa	Agrippa	0
,	,	,	,	,	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
beit	beit	cs	beit	beit	0
He	He	pns31	He	he	0
killed	killed	vvd	killed	kill	0
S.	S.	np1	S.	S.	0
Iames	Iames	np1	Iames	Iames	0
and	and	cc	and	and	0
emprisoned	emprisoned	vvn	imprisoned	imprison	0
S.	S.	n1	S.	saint	0
Peter	Peter	np1	Peter	Peter	0
.	.	.	.	.	1
Act.	Act.	n1	Act.	act	0
12.	12.	crd	12.	12.	0
a	a	pp-f	a	of	0
Iew	Iew	np1	Iew	Jew	0
&	&	cc	&	and	0
persecutor	persecutor	n1	persecutor	persecutor	0
of	of	pp-f	of	of	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
deemed	deemed	vvd	deemed	deem	0
it	it	pn31	it	it	0
notwithstanding	notwithstanding	p-acp	notwithstanding	notwithstanding	0
a	a	dt	a	a	0
Princes	Princes	ng1	Princes	prince	0
part	part	n1	part	part	0
to	to	p-acp	to	to	0
geuē	geuē	vvn	given	give	0
audience	audience	n1	audience	audience	0
to	to	p-acp	to	to	0
one	one	pi	one	one	0
accused	accused	vvn	accused	accuse	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
Religion	Religion	n1	Religion	religion	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
both	both	av-d	both	both	0
hated	hated	vvn	hated	hate	0
and	and	cc	and	and	0
persecuted	persecuted	vvn	persecuted	persecute	0
:	:	:	:	:	0
How	How	c-crq	How	how	0
much	much	av-d	much	much	0
more	more	av-dc	more	more	0
wil	wil	vmb	will	will	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
Prince	Prince	n1	Prince	prince	0
forbeare	forbeare	vvb	forbear	forbear	0
to	to	pc-acp	to	to	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
demne	demne	vvi	demne	demne	0
the	the	dt	the	the	0
vniuersal	vniuersal	j-u	universal	iversal	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Ca	Ca	zz	Ca	ca	0
∣	∣	sy	∣	∣	0
tholique	tholique	j	tholique	tholique	0
subiects	subiects	n2-jn	subjects	subject	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
slaunders	slaunders	n2	slanders	slander	0
and	and	cc	and	and	0
outcries	outcries	n2	outcries	outcry	0
of	of	pp-f	of	of	0
ministers	ministers	n2	ministers	minister	0
&	&	cc	&	and	0
one	one	crd	one	one	0
hyred	hyred	vvn	hired	hire	0
Pro	Pro	np1	Pro	Pro	0
∣	∣	sy	∣	∣	0
ctor	ctor	n1	ctor	ctor	0
,	,	,	,	,	0
before	before	p-acp	before	before	0
their	their	po32	their	their	0
accusers	accusers	n2	accusers	accuser	0
be	be	vbb	be	be	0
brought	brought	vvn	brought	bring	0
face	face	n1	face	face	0
to	to	p-acp	to	to	0
face	face	n1	face	face	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
time	time	n1	time	time	0
and	and	cc	and	and	0
place	place	n1	place	place	0
graunted	graunted	vvd	granted	grant	0
to	to	pc-acp	to	to	0
answer	answer	vvi	answer	answer	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
selues	selues	n2	selves	self	0
?	?	?	?	?	0
wherein	wherein	c-crq	wherein	wherein	0
we	we	pns12	we	we	0
shal	shal	vmb	shall	shall	0
account	account	vvi	account	account	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
more	more	av-dc	more	more	0
happy	happy	j	happy	happy	0
then	then	cs	then	than	0
S.	S.	n1	S.	saint	0
Paul	Paul	np1	Paul	Paul	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	vvb	cause	cause	0
we	we	pns12	we	we	0
shal	shal	vmb	shall	shall	0
plead	plead	vvi	plead	plead	0
our	our	po12	our	our	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	p-acp	before	before	0
a	a	dt	a	a	0
Iewish	Iewish	jp	Jewish	jewish	0
,	,	,	,	,	0
