RIghte	RIghte	av-jn	Right	right	0
Reuerende	Reuerende	n-jn	Reverend	reverend	0
in	in	p-acp	in	in	0
CHRIST	CHRIST	np1	CHRIST	Christ	0
,	,	,	,	,	0
Saluia	Saluia	np1	Saluia	Saluia	0
:	:	:	:	:	0
Massil	Massil	np1	Massil	Massil	0
.	.	.	.	.	0
de	de	fw-fr	de	de	0
guber	guber	n1	guber	guber	0
∣	∣	sy	∣	∣	0
nat	nat	n1	nat	nat	0
.	.	.	.	.	1
Dei	Dei	fw-la	Dei	dei	0
.	.	.	.	.	0
the	the	dt	the	the	0
anger	anger	n1	anger	anger	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
&	&	cc	&	and	0
his	his	po31	his	his	0
fearefull	fearefull	j	fearful	fearful	0
pu	pu	fw-fr	pu	pu	0
∣	∣	sy	∣	∣	0
nishments	nishments	n2	nishments	nishment	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
Iradiui	Iradiui	fw-la	Iradiui	iradiui	0
∣	∣	sy	∣	∣	0
nitatis	nitatis	fw-la	nitatis	nitatis	0
est	est	fw-la	est	est	0
poena	poena	fw-la	poena	poena	0
peccantis	peccantis	fw-la	peccantis	peccantis	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
heauie	heauie	j	heavy	heavy	0
vpon	vpon	p-acp	upon	upon	0
vs	vs	pno12	us	we	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
almost	almost	av	almost	almost	0
sixe	sixe	crd	sixe	six	0
yeares	yeares	n2	years	year	0
.	.	.	.	.	1
The	The	dt	The	the	0
cause	cause	n1	cause	cause	0
doubtlesse	doubtlesse	av-j	doubtless	doubtless	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
sinnes	sinnes	n2	sins	sin	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
time	time	n1	time	time	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
haue	haue	vhb	have	have	0
defi	defi	n2	defi	defi	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
the	the	dt	the	the	0
Land	Land	n1	Land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
prouoked	prouoked	vvd	provoked	provoke	0
God	God	np1	God	God	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
such	such	d	such	such	0
plagues	plagues	n2	plagues	plague	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
purge	purge	vvi	purge	purge	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
purge	purge	vvi	purge	purge	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
sinnes	sinnes	n2	sins	sin	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
sinnes	sinnes	n2	sins	sin	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
touched	touched	vvn	touched	touch	0
diuers	diuers	j	diverse	diverse	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Ser	Ser	zz	Ser	ser	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
following	following	j-vvg	following	follow	0
,	,	,	,	,	0
so	so	av	so	so	0
none	none	pix	none	none	0
seemeth	seemeth	vvz	seems	seem	0
to	to	p-acp	to	to	0
mee	mee	pno11	me	i	0
