WEre	WEre	vbdr	WEre	be	0
there	there	a-acp	there	there	0
nothing	nothing	pix	nothing	nothing	0
else	else	av	else	else	0
to	to	pc-acp	to	to	0
proue	proue	vvi	prove	prove	0
that	that	cst	that	that	0
the	the	dt	the	the	0
death	death	n1	death	death	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
righte	righte	j-jn	right	right	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
euery	euery	d	every	every	0
beleeuing	beleeuing	vvg	believing	believe	0
and	and	cc	and	and	0
repentant	repentant	j	repentant	repentant	0
sinner	sinner	n1	sinner	sinner	0
,	,	,	,	,	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
blessing	blessing	n1	blessing	blessing	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
euen	euen	av	even	even	0
this	this	d	this	this	0
were	were	vbdr	were	be	0
sufficient	sufficient	j	sufficient	sufficient	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
pretious	pretious	j	precious	precious	0
in	in	p-acp	in	in	0
Gods	Gods	ng1	Gods	god	0
sight	sight	n1	sighed	sight	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
what	what	q-crq	what	what	0
can	can	vmb	can	can	0
befall	befall	vvi	befall	befall	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
deare	deare	j-jn	deer	dear	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
excellent	excellent	j	excellent	excellent	0
blessing	blessing	n1	blessing	blessing	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
if	if	cs	if	if	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
one	one	crd	one	one	0
bee	bee	n1	bee	bee	0
not	not	xx	not	not	0
such	such	d	such	such	0
a	a	dt	a	a	0
blessing	blessing	n1	blessing	blessing	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
preti	preti	fw-la	preti	preti	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
sight	sight	n1	sighed	sight	0
?	?	?	?	?	1
Of	Of	pp-f	Of	of	0
all	all	d	all	all	0
terrible	terrible	j	terrible	terrible	0
things	things	n2	things	thing	0
,	,	,	,	,	0
death	death	n1	death	death	0
seemes	seemes	vvz	seems	seem	0
most	most	av-ds	most	most	0
terrible	terrible	j	terrible	terrible	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
indeed	indeed	av	indeed	indeed	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
many	many	d	many	many	0
things	things	n2	things	thing	0
happen	happen	vvi	happen	happen	0
more	more	av-dc	more	more	0
bitter	bitter	j	bitter	bitter	0
and	and	cc	and	and	0
heauy	heauy	j	heavy	heavy	0
than	than	cs	than	than	0
death	death	n1	death	death	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
This	This	d	This	this	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
being	being	vbg	being	be	0
a	a	dt	a	a	0
little	little	j	little	little	0
enlarged	enlarged	vvn	enlarged	enlarge	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
yond	yond	av-d	yond	yond	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
deliuered	deliuered	vvn	delivered	deliver	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
lat	lat	zz	lat	lat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
points	points	n2	points	point	0
of	of	pp-f	of	of	0
