HAuing	HAuing	vhg	Having	have	0
a	a	dt	a	a	0
desire	desire	n1	desire	desire	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
Honorable	Honorable	j	Honourable	honourable	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
our	our	po12	our	our	0
noble	noble	j	noble	noble	0
Ilande	Ilande	n1	Island	island	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bowels	bowels	n2	bowels	bowel	0
wherof	wherof	c-crq	whereof	whereof	0
as	as	p-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
womb	womb	n1	womb	womb	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
mother	mother	n1	mother	mother	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
both	both	d	both	both	0
bread	bread	n1	bred	bread	0
and	and	cc	and	and	0
borne	borne	vvn	born	bear	0
,	,	,	,	,	0
and	and	cc	and	and	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
liued	liued	vvn	lived	live	0
euen	euen	av	even	even	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
present	present	j	present	present	0
day	day	n1	day	day	0
)	)	)	)	)	0
I	I	pns11	I	i	0
tooke	tooke	vvd	took	take	0
my	my	po11	my	my	0
gelding	gelding	n1	gelding	gelding	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
Annunciation	Annunciation	n1	Annunciation	annunciation	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	1
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
last	last	n1	last	last	0
past	past	j	past	past	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
trauayling	trauayling	vvg	travailing	travail	0
from	from	p-acp	from	from	0
place	place	n1	place	place	0
to	to	p-acp	to	to	0
place	place	n1	place	place	0
,	,	,	,	,	0
within	within	p-acp	within	within	0
one	one	crd	one	one	0
quarter	quarter	n1	quarter	quarter	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
yere	yere	n1	year	year	0
(	(	(	(	(	0
or	or	cc	or	or	0
a	a	dt	a	a	0
little	little	j	little	little	0
more	more	n1	more	moor	0
)	)	)	)	)	0
I	I	pns11	I	i	0
performed	performed	vvd	performed	perform	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
Gods	Gods	npg1	Gods	God	0
good	good	j	good	good	0
prouidence	prouidence	n1	providence	providence	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
blessed	blessed	j-vvn	blessed	bless	0
protection	protection	n1	protection	protection	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
purposed	purposed	vvd	purposed	purpose	0
,	,	,	,	,	0
compassing	compassing	vvg	compassing	compass	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
realme	realme	n1	realm	realm	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
effect	effect	n1	effect	effect	0
)	)	)	)	)	0
round	round	av-j	round	round	0
about	about	p-acp	about	about	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
long	long	j	long	long	0
and	and	cc	and	and	0
wearysome	wearysome	j	wearisome	wearisome	0
iorney	iorney	n1	journey	journey	0
,	,	,	,	,	0
(	(	(	(	(	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
beit	beit	cs	beit	beit	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
great	great	j	great	great	0
charges	charges	n2	charges	charge	0
,	,	,	,	,	0
and	and	cc	and	and	0
paynes	paynes	n2	pains	pain	0
)	)	)	)	)	0
I	I	pns11	I	i	0
vndertooke	vndertooke	vvd	undertook	undertake	0
,	,	,	,	,	0
partly	partly	av	partly	partly	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
priuate	priuate	j	private	private	0
plea	plea	n1	plea	plea	0
∣	∣	sy	∣	∣	0
sure	sure	j	sure	sure	0
and	and	cc	and	and	0
recreation	recreation	n1	recreation	recreation	0
,	,	,	,	,	0
partly	partly	av	partly	partly	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
auoy	auoy	n1	avoy	avoy	0
∣	∣	sy	∣	∣	0
dance	dance	n1	dance	dance	0
(	(	(	(	(	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
please	please	vvi	please	please	0
God	God	np1	God	God	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
ge	ge	zz	ge	ge	0
∣	∣	sy	∣	∣	0
nerall	nerall	n1	nerall	nerall	0
infection	infection	n1	infection	infection	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
plague	plague	n1	plague	plague	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
now	now	av	now	now	0
raigneth	raigneth	vvz	reigneth	reign	0
and	and	cc	and	and	0
rageth	rageth	vvz	rages	rage	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
in	in	p-acp	in	in	0
