MOst	MOst	ds	MOst	most	0
Potent	Potent	j	Potent	potent	0
and	and	cc	and	and	0
Powerfull	Powerfull	j	Powerful	powerful	0
Imposture	Imposture	n1	Imposture	imposture	0
,	,	,	,	,	0
take	take	vvb	take	take	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
amisse	amisse	av	amiss	amiss	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
a	a	dt	a	a	0
poore	poore	j	poor	poor	0
worme	worme	n1	worm	worm	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
own	own	d	own	own	0
breeding	breeding	n-vvg	breeding	breed	0
,	,	,	,	,	0
doe	doe	n1	doe	doe	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
waie	waie	n1	way	way	0
of	of	pp-f	of	of	0
retribution	retribution	n1	retribution	retribution	0
)	)	)	)	)	0
giue	giue	vvb	give	give	0
you	you	pn22	you	you	0
here	here	av	here	here	0
the	the	dt	the	the	0
encrease	encrease	n1	increase	increase	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Tallent	Tallent	n1	Talent	talent	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
almost	almost	av	almost	almost	0
60	60	crd	60	60	0
yeeres	yeeres	n2	years	year	0
a	a	dt	a	a	0
gathering	gathering	n-vvg	gathering	gather	0
.	.	.	.	.	1
It	It	pn31	It	it	0
was	was	vbds	was	be	0
told	told	vvn	told	tell	0
me	me	pno11	me	i	0
that	that	d	that	that	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
first	first	ord	first	first	0
came	came	vvd	came	come	0
to	to	pc-acp	to	to	0
visit	visit	vvi	visit	visit	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
cri'd	cri'd	vvd	cried	cry	0
and	and	cc	and	and	0
Waw'ld	Waw'ld	vvd	Waw'ld	waw'ld	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
leaue	leaue	vvb	leave	leave	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
sigh	sigh	vvi	sighs	sigh	0
and	and	cc	and	and	0
grone	grone	vvi	groan	groan	0
:	:	:	:	:	0
and	and	cc	and	and	0
euer	euer	av	ever	ever	0
since	since	c-acp	since	since	0
I	I	pns11	I	i	0
knew	knew	vvd	knew	know	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
loued	loued	vvn	loved	love	0
you	you	pn22	you	you	0
so	so	av	so	so	0
well	well	av	well	well	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
good	good	j	good	good	0
parts	parts	n2	parts	part	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
seen	seen	vvn	seen	see	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
verie	verie	av	very	very	0
willingly	willingly	av-j	willingly	willing	0
be	be	vbi	be	be	0
glad	glad	j	glad	glad	0
to	to	pc-acp	to	to	0
change	change	vvi	change	change	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
bet	bet	n1	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
