Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
Maister	Maister	n1	Master	master	0
,	,	,	,	,	0
Good	Good	j	Good	good	0
∣	∣	sy	∣	∣	0
man	man	n1	man	man	0
,	,	,	,	,	0
Gaffer	Gaffer	n1	Gaffer	gaffer	0
,	,	,	,	,	0
or	or	cc	or	or	0
Knaue	Knaue	n1	Knave	knave	0
,	,	,	,	,	0
Lady	Lady	n1	Lady	lady	0
,	,	,	,	,	0
Mistresse	Mistresse	n1	Mistress	mistress	0
,	,	,	,	,	0
Good	Good	j	Good	good	0
∣	∣	sy	∣	∣	0
wife	wife	n1	wife	wife	0
,	,	,	,	,	0
Gammer	Gammer	n1	Gammer	gammer	0
,	,	,	,	,	0
or	or	cc	or	or	0
Whore	Whore	n1	Whore	whore	0
,	,	,	,	,	0
Readers	Readers	n2	Readers	reader	0
.	.	.	.	.	1
I	I	pns11	I	i	0
Would	Would	vmd	Would	will	0
not	not	xx	not	not	0
haue	haue	vhi	have	have	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
me	me	pno11	me	i	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
Bawde	Bawde	n1	Bawd	bawd	0
or	or	cc	or	or	0
a	a	dt	a	a	0
Pander	Pander	n1	Pander	pander	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
send	send	vvb	send	send	0
a	a	dt	a	a	0
Whore	Whore	n1	Whore	whore	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
my	my	po11	my	my	0
pleasure	pleasure	n1	pleasure	pleasure	0
to	to	pc-acp	to	to	0
call	call	vvi	call	call	0
her	her	pno31	her	she	0
so	so	av	so	so	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
perusing	perusing	vvg	perusing	peruse	0
of	of	pp-f	of	of	0
her	her	pno31	her	she	0
,	,	,	,	,	0
and	and	cc	and	and	0
conuersing	conuersing	vvg	conversing	converse	0
with	with	p-acp	with	with	0
her	her	pno31	her	she	0
;	;	;	;	;	0
shall	shall	vmb	shall	shall	0
finde	finde	vvi	find	find	0
her	her	pno31	her	she	0
honester	honester	jc	honester	honest	0
then	then	cs	then	than	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Wiues	Wiues	n2	Wives	wife	0
or	or	cc	or	or	0
Mothers	Mothers	ng1	Mother's	mother	0
:	:	:	:	:	0
indeede	indeede	av	indeed	indeed	0
shee	shee	pns31	she	she	0
hath	hath	vhz	hath	have	0
no	no	dx	no	no	0
great	great	j	great	great	0
Kindred	Kindred	n1	Kindred	kindred	0
to	to	pc-acp	to	to	0
boast	boast	vvi	boast	boast	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
braine	braine	n1	brain	brain	0
like	like	av-j	like	like	0
Ioue	Ioue	np1	Ioue	Jove	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
and	and	cc	and	and	0
mother	mother	n1	mother	mother	0
that	that	cst	that	that	0
begat	begat	vvd	begat	beget	0
and	and	cc	and	and	0
bare	bare	vvd	bore	bear	0
her	her	pno31	her	she	0
like	like	av-j	like	like	0
a	a	dt	a	a	0
new	new	j	new	new	0
Pall	Pall	n1	Pall	pall	0
as	as	a-acp	as	as	0
And	And	cc	And	and	0
my	my	po11	my	my	0
Pen	Pen	n1	Pen	pen	0
the	the	dt	the	the	0
Midwife	Midwife	n1	Midwife	midwife	0
that	that	cst	that	that	0
first	first	ord	first	first	0
wrap'd	wrap'd	vvd	wrapped	wrap	0
her	her	pno31	her	she	0
inragged	inragged	vvn	inragged	inrag	0
verses	verses	n2	verses	verse	0
in	in	p-acp	in	in	0
stead	stead	n1	stead	stead	0
of	of	pp-f	of	of	0
cloutes	cloutes	n2	clouts	clout	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
Printer	Printer	np1	Printer	Printer	0
hath	hath	vhz	hath	have	0
vs'd	vs'd	vvn	used	use	0
her	her	pno31	her	she	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
loth	loth	j	loath	loath	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
vs'd	vs'd	vvn	used	use	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
publish'd	publish'd	vvn	published	publish	0
and	and	cc	and	and	0
proclaim'd	proclaim'd	vvn	proclaimed	proclaim	0
all	all	d	all	all	0
her	her	po31	her	her	0
faults	faults	n2	faults	fault	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
Whores	Whores	ng1	Whores	whore	0
paine	paine	n1	pain	pain	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
past	past	j	past	past	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
now	now	av	now	now	0
she	she	pns31	she	she	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
examin'd	examin'd	vvn	examined	examine	0
a	a	dt	a	a	0
thousand	thousand	crd	thousand	thousand	0
wayes	wayes	n2	ways	way	0
,	,	,	,	,	0
&	&	cc	&	and	0
tortur'd	tortur'd	vvn	tortured	torture	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
Rack	Rack	n1	Rack	rack	0
of	of	pp-f	of	of	0
censure	censure	n1	censure	censure	0
,	,	,	,	,	0
and	and	cc	and	and	0
amongst	amongst	p-acp	among	among	0
all	all	d	all	all	0
that	that	cst	that	that	0
shal	shal	vmb	shall	shall	0
view	view	vvi	view	view	0
and	and	cc	and	and	0
handle	handle	vvi	handle	handle	0
her	her	pno31	her	she	0
,	,	,	,	,	0
the	the	dt	the	the	0
hot	hot	j	hight	hot	0
whoremaister	whoremaister	n1	whoremaster	whoremaster	0
will	will	vmb	will	will	0
deale	deale	vvi	deal	deal	0
most	most	av-ds	most	most	0
discourteously	discourteously	av-j	discourteously	discourteous	0
with	with	p-acp	with	with	0
her	her	pno31	her	she	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
perceiues	perceiues	vvz	perceives	perceive	0
her	her	po31	her	her	0
honesty	honesty	n1	honesty	honesty	0
too	too	av	too	too	0
hard	hard	av-j	hard	hard	0
for	for	c-acp	for	for	0
his	his	po31	his	his	0
Knauery	Knauery	n1	Knavery	knavery	0
,	,	,	,	,	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
∣	∣	sy	∣	∣	0
ger	ger	pno31	her	she	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
three	three	crd	three	three	0
tushes	tushes	n2	tusks	tusk	0
,	,	,	,	,	0
foure	foure	crd	foure	four	0
pishes	pishes	n2	pishes	pish	0
,	,	,	,	,	0
fiue	fiue	crd	fiue	five	0
mewes	mewes	n2	mews	mew	0
,	,	,	,	,	0
six	six	crd	six	six	0
wry	wry	j	wry	wry	0
mouthes	mouthes	n2	mouths	mouth	0
,	,	,	,	,	0
and	and	cc	and	and	0
seuen	seuen	crd	seuen	seven	0
suruy	suruy	j	suruy	suruy	0
faces	faces	n2	faces	face	0
,	,	,	,	,	0
teare	teare	vvb	tear	tear	0
her	her	pno31	her	she	0
and	and	cc	and	and	0
pull	pull	vvi	pull	pull	0
her	her	po31	her	her	0
worse	worse	jc	worse	worse	0
then	then	cs	then	than	0
the	the	dt	the	the	0
Rusticall	Rusticall	j	Rustical	rustical	0
Rabblement	Rabblement	n1	Rabblement	rabblement	0
did	did	vdd	did	do	0
