WORSHIPFVLL	WORSHIPFVLL	j	WORSHIPFUL	worshipful	0
,	,	,	,	,	0
The	The	dt	The	the	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
dutie	dutie	n1	duty	duty	0
which	which	r-crq	which	which	0
euery	euery	d	every	every	0
Christan	Christan	njp	Christan	christian	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
Conscience	Conscience	n1	Conscience	conscience	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
performe	performe	vvi	perform	perform	0
,	,	,	,	,	0
name	name	n1	name	name	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
To	To	pc-acp	To	to	0
aduance	aduance	vvi	advance	advance	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
by	by	p-acp	by	by	0
whom	whom	ro-crq	whom	who	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
created	created	vvn	created	create	0
,	,	,	,	,	0
and	and	cc	and	and	0
vpon	vpon	p-acp	upon	upon	0
whom	whom	ro-crq	whom	who	0
he	he	pns31	he	he	0
wholy	wholy	av-jn	wholly	whole	0
dependeth	dependeth	vvz	dependeth	depend	0
;	;	;	;	;	0
and	and	cc	and	and	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
further	further	av-jc	further	further	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Bro	Bro	np1	Bro	Bro	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
the	the	dt	the	the	0
Image	Image	n1	Image	image	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
fellow	fellow	n1	fellow	fellow	0
mem	mem	n1	man	man	0
∣	∣	sy	∣	∣	0
ber	ber	zz	ber	ber	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
misticall	misticall	j	mystical	mystical	0
bodie	bodie	n1	body	body	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
compelled	compelled	vvd	compelled	compel	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
the	the	dt	the	the	0
Translation	Translation	n1	Translation	translation	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
two	two	crd	two	two	0
Sermons	Sermons	n2	Sermons	sermon	0
following	following	vvg	following	follow	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
good	good	j	good	good	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
(	(	(	(	(	0
hauing	hauing	vhg	having	have	0
opportunitie	opportunitie	n1	opportunity	opportunity	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
and	and	cc	and	and	0
place	place	n1	place	place	0
to	to	pc-acp	to	to	0
accomplish	accomplish	vvi	accomplish	accomplish	0
)	)	)	)	)	0
might	might	vmd	might	may	0
in	in	p-acp	in	in	0
no	no	dx	no	no	0
wise	wise	n1	wise	wise	0
omit	omit	vvi	omit	omit	0
.	.	.	.	.	1
They	They	pns32	They	they	0
were	were	vbdr	were	be	0
first	first	ord	first	first	0
preached	preached	vvn	preached	preach	0
and	and	cc	and	and	0
published	published	vvn	published	publish	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Netherlandish	Netherlandish	j	Netherlandish	netherlandish	0
Dutch	Dutch	jp	Dutch	dutch	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
bene	bene	fw-la	bene	bene	0
∣	∣	sy	∣	∣	0
fit	fit	n1	fit	fit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
being	being	vbg	being	be	0
also	also	av	also	also	0
my	my	po11	my	my	0
desire	desire	n1	desire	desire	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
place	place	n1	place	place	0
,	,	,	,	,	0
I	I	pns11	I	i	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
slender	slender	j	slender	slender	0
ability	ability	n1	ability	ability	0
haue	haue	vhb	have	have	0
tran	tran	vvd	tran	tran	0
∣	∣	sy	∣	∣	0
slated	slated	vvn	slated	slate	0
and	and	cc	and	and	0
published	published	vvn	published	publish	0
them	them	pno32	them	they	0
here	here	av	here	here	0
;	;	;	;	;	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
respect	respect	n1	respect	respect	0
I	I	pns11	I	i	0
beare	beare	vvb	bear	bear	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
worth	worth	n1	worth	worth	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
thanks	thanks	n2	thanks	thank	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
many	many	d	many	many	0
fauourable	fauourable	j	favourable	favourable	0
fruites	fruites	n2	fruits	fruit	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
am	am	vbm	am	be	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
tender	tender	vvi	tender	tender	0
them	them	pno32	them	they	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
acceptance	acceptance	n1	acceptance	acceptance	0
,	,	,	,	,	0
and	and	cc	and	and	0
commit	commit	vvi	commit	commit	0
them	them	pno32	them	they	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Patronage	Patronage	n1	Patronage	patronage	0
.	.	.	.	.	1
They	They	pns32	They	they	0
may	may	vmb	may	may	0
fitly	fitly	av-j	fitly	fit	0
be	be	vbi	be	be	0
tearmed	tearmed	vvn	termed	term	0
the	the	dt	the	the	0
Anato	Anato	np1	Anato	Anato	0
∣	∣	sy	∣	∣	0
mizing	mizing	n-vvg	mizing	mize	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
body	body	n1	body	body	0
of	of	pp-f	of	of	0
sinne	sinne	n1	sin	sin	0
,	,	,	,	,	0
a	a	dt	a	a	0
touch	touch	n1	touch	touch	0
stone	stone	n1	stone	stone	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
Christian	Christian	njp	Christian	christian	0
,	,	,	,	,	0
or	or	cc	or	or	0
,	,	,	,	,	0
a	a	dt	a	a	0
Receipt	Receipt	n1	Receipt	receipt	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
sicke	sicke	j	sick	sick	0
soule	soule	n1	soul	soul	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
(	(	(	(	(	0
ioyntly	ioyntly	av-j	jointly	joint	0
)	)	)	)	)	0
containe	containe	vvi	contain	contain	0
matter	matter	n1	matter	matter	0
suting	suting	vvg	suiting	suit	0
vnto	vnto	p-acp	unto	unto	0
these	these	d	these	these	0
three	three	crd	three	three	0
titles	titles	n2	titles	title	0
,	,	,	,	,	0
and	and	cc	and	and	0
vse	vse	vvi	use	use	0
full	full	j	full	full	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
sortes	sortes	n2	sorts	sort	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
those	those	d	those	those	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
name	name	n1	name	name	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
liue	liue	vvb	live	live	0
but	but	p-acp	but	but	0
are	are	vbr	are	be	0
dead	dead	j	dead	dead	0
,	,	,	,	,	0
hauing	hauing	vhg	having	have	0
a	a	dt	a	a	0
shew	shew	n1	show	show	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
want	want	vvb	want	want	0
substance	substance	n1	substance	substance	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
Christians	Christians	np1	Christians	Christians	0
indeed	indeed	av	indeed	indeed	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
Whose	Whose	rg-crq	Whose	who	0
prayse	prayse	n1	praise	praise	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
but	but	p-acp	but	but	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
being	being	vbg	being	be	0
loath	loath	j	loath	loath	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
too	too	av	too	too	0
troublesome	troublesome	j	troublesome	troublesome	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
abundance	abundance	n1	abundance	abundance	0
of	of	pp-f	of	of	0
words	words	n2	words	word	0
,	,	,	,	,	0
I	I	pns11	I	i	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
ferre	ferre	av-j	far	far	0
you	you	pn22	you	you	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
booke	booke	n1	book	book	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
being	being	vbg	being	be	0
iealous	iealous	j	jealous	jealous	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
errors	errors	n2	errors	error	0
and	and	cc	and	and	0
insufficiencie	insufficiencie	n1	insufficiency	insufficiency	0
,	,	,	,	,	0
I	I	pns11	I	i	0
submit	submit	vvb	submit	submit	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
judici	judici	fw-la	judici	judici	0
∣	∣	sy	∣	∣	0
ous	ous	j	ous	ous	0
censure	censure	n1	censure	censure	0
)	)	)	)	)	0
euer	euer	av	ever	ever	0
consecrating	consecrating	vvg	consecrating	consecrate	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
seruice	seruice	n1	service	service	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
or	or	cc	or	or	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
performe	performe	vvi	perform	perform	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
pray	pray	n1	prey	prey	0
∣	∣	sy	∣	∣	0
ers	ers	uh	ers	ers	0
vnto	vnto	p-acp	unto	unto	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
safetie	safetie	n1	safety	safety	0
and	and	cc	and	and	0
protec	protec	fw-la	protec	protec	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
in	in	p-acp	in	in	0
bodie	bodie	n1	body	body	0
and	and	cc	and	and	0
soule	soule	n1	soul	soul	0
:	:	:	:	:	0
and	and	cc	and	and	0
thus	thus	av	thus	thus	0
I	I	pns11	I	i	0
hum	hum	uh	hum	humh	0
∣	∣	sy	∣	∣	0
bly	bly	zz	bly	bly	0
take	take	vvb	take	take	0
my	my	po11	my	my	0
leaue	leaue	n1	leave	leave	0
,	,	,	,	,	1
