SETting	SETting	vvg	SETting	set	0
aside	aside	av	aside	aside	0
more	more	av-dc	more	more	0
serious	serious	j	serious	serious	0
studies	studies	n2	studies	study	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
desirous	desirous	j	desirous	desirous	0
to	to	pc-acp	to	to	0
recreate	recreate	vvi	recreate	recreate	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
books	books	n2	books	book	0
of	of	pp-f	of	of	0
medi	medi	fw-la	medi	medi	0
∣	∣	sy	∣	∣	0
tation	tation	n1	tation	tation	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
my	my	po11	my	my	0
good	good	j	good	good	0
hap	hap	n1	hap	hap	0
to	to	pc-acp	to	to	0
meet	meet	vvi	meet	meet	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
litle	litle	j	little	little	0
tract	tract	n1	tract	tract	0
Of	Of	pp-f	Of	of	0
the	the	dt	the	the	0
Imitation	Imitation	n1	Imitation	imitation	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
:	:	:	:	:	0
And	And	cc	And	and	0
having	having	vhg	having	have	0
lookt	lookt	vvn	looked	look	0
over	over	p-acp	over	over	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
began	began	vvd	began	begin	0
to	to	pc-acp	to	to	0
admire	admire	vvi	admire	admire	0
both	both	d	both	both	0
the	the	dt	the	the	0
plainnesse	plainnesse	n1	plainness	plainness	0
and	and	cc	and	and	0
the	the	dt	the	the	0
pythinesse	pythinesse	n1	pythinesse	pythinesse	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
;	;	;	;	;	0
being	being	vbg	being	be	0
so	so	av	so	so	0
well	well	av	well	well	0
fitted	fitted	vvn	fitted	fit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
capacity	capacity	n1	capacity	capacity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ignorant	ignorant	j	ignorant	ignorant	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
not	not	xx	not	not	0
unworthy	unworthy	j	unworthy	unworthy	0
the	the	dt	the	the	0
perusall	perusall	n1	perusal	perusal	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
,	,	,	,	,	0
insomuch	insomuch	av	insomuch	insomuch	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
finde	finde	vvb	find	find	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
true	true	j	true	true	0
by	by	p-acp	by	by	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
experience	experience	n1	experience	experience	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
high	high	j	high	high	0
cōmendations	cōmendations	n2	commendations	commendation	0
so	so	av	so	so	0
ma	ma	n1	ma	man	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
have	have	vhb	have	have	0
given	given	vvn	given	give	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
without	without	p-acp	without	without	0
just	just	j	just	just	0
cause	cause	n1	cause	cause	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
confesse	confesse	vvi	confess	confess	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
and	and	cc	and	and	0
mine	mine	po11	mine	my	0
own	own	d	own	own	0
com	com	vvb	come	come	0
∣	∣	sy	∣	∣	0
fort	fort	n1	fort	fort	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
profited	profited	vvn	profited	profit	0
more	more	av-dc	more	more	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
Chri	Chri	np1	Chri	Chri	0
∣	∣	sy	∣	∣	0
stianity	stianity	n1	stianity	stianity	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
perusall	perusall	n1	perusal	perusal	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
one	one	crd	one	one	0
small	small	j	small	small	0
book	book	n1	book	book	0
of	of	pp-f	of	of	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
votion	votion	n1	votion	votion	0
,	,	,	,	,	0
then	then	av	then	then	0
by	by	p-acp	by	by	0
turning	turning	vvg	turning	turn	0
over	over	p-acp	over	over	0
many	many	d	many	many	0
volumes	volumes	n2	volumes	volume	0
of	of	pp-f	of	of	0
contro	contro	n1	contro	contro	0
∣	∣	sy	∣	∣	0
versies	versies	n2	versies	versy	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
I	I	pns11	I	i	0
found	found	vvd	found	find	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
great	great	j	great	great	0
motives	motives	n2	motives	motive	0
to	to	p-acp	to	to	0
selfe-deni	selfe-deni	j	selfe-deni	selfe-deni	0
∣	∣	sy	∣	∣	0
all	all	av-d	all	all	0
,	,	,	,	,	0
humility	humility	n1	humility	humility	0
,	,	,	,	,	0
obedience	obedience	n1	obedience	obedience	0
and	and	cc	and	and	0
devotion	devotion	n1	devotion	devotion	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
humility	humility	n1	humility	humility	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
obedience	obedience	n1	obedience	obedience	0
towards	towards	p-acp	towards	towards	0
superiors	superiors	n2-jn	superiors	superior	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
devotion	devotion	n1	devotion	devotion	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
God	God	np1	God	God	0
.	.	.	.	.	1
I	I	pns11	I	i	0
then	then	av	then	then	0
began	began	vvd	began	begin	0
to	to	pc-acp	to	to	0
enquire	enquire	vvi	inquire	inquire	0
whether	whether	cs	whither	whether	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
translated	translated	vvn	translated	translate	0
or	or	cc	or	or	0
no	no	uh-dx	no	no	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
finde	finde	vvb	find	find	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
translated	translated	vvn	translated	translate	0
into	into	p-acp	into	into	0
all	all	d	all	all	0
lan	lan	zz	lan	lan	0
∣	∣	sy	∣	∣	0
guages	guages	n1	guages	guages	0
,	,	,	,	,	0
and	and	cc	and	and	0
into	into	p-acp	into	into	0
english	english	jp	english	english	0
se	se	fw-la	se	se	0
∣	∣	sy	∣	∣	0
verall	verall	j	verall	verall	0
times	times	av	times	time	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
could	could	vmd	could	can	0
none	none	pi	none	none	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
altogether	altogether	av	altogether	altogether	0
please	please	vvb	please	please	0
me	me	pno11	me	i	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
perceaved	perceaved	vvd	perceived	perceive	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
stick	stick	vvi	stick	stick	0
too	too	av	too	too	0
close	close	av-j	close	close	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
letter	letter	n1	letter	letter	0
,	,	,	,	,	0
&	&	cc	&	and	0
others	others	n2-jn	others	other	0
fly	fly	vvb	fly	fly	0
too	too	av	too	too	0
farre	farre	av-j	far	far	0
off	off	a-acp	off	off	0
:	:	:	:	:	0
