MAnie	MAnie	av-d	Many	many	0
and	and	cc	and	and	0
most	most	ds	most	most	0
euident	euident	j	evident	evident	0
haue	haue	vhb	have	have	0
our	our	po12	our	our	0
declarations	declarations	n2	declarations	declaration	0
bin	bin	vbn	been	be	0
concer	concer	fw-fr	concer	concer	0
∣	∣	sy	∣	∣	0
ning	ning	j	ning	ning	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
gouer	gouer	av	gouer	gouer	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Christ	Christ	np1	Christ	Christ	0
hath	hath	vhz	hath	have	0
pre	pre	fw-es	pre	pre	0
∣	∣	sy	∣	∣	0
scribed	scribed	vvn	scribed	scribe	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
word	word	n1	word	word	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
ruling	ruling	n-vvg	ruling	rule	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
manife	manife	n1	manife	manife	0
∣	∣	sy	∣	∣	0
sted	sted	n1	stead	stead	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
both	both	av-d	both	both	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
writinges	writinges	n2-vvg	writings	write	0
&	&	cc	&	and	0
speches	speches	n2	speeches	speech	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
occasion	occasion	n1	occasion	occasion	0
hath	hath	vhz	hath	have	0
bin	bin	vbn	been	be	0
offe	offe	zz	offe	offe	0
∣	∣	sy	∣	∣	0
red	red	vvn	read	read	0
:	:	:	:	:	0
neuer	neuer	av	never	never	0
hath	hath	vhz	hath	have	0
any	any	d	any	any	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
ta	ta	uh	ta	ta	0
∣	∣	sy	∣	∣	0
ken	ken	n1	ken	ken	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
to	to	pc-acp	to	to	0
saye	saye	vvi	say	say	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
against	against	p-acp	against	against	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
his	his	po31	his	his	0
eyes	eyes	n2	eyes	eye	0
to	to	p-acp	to	to	0
daz	daz	n1	daz	daz	0
∣	∣	sy	∣	∣	0
zle	zle	n1	zle	zle	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
clearest	clearest	js	clearest	clear	0
sun-shining	sun-shining	j	sunshining	sunshining	0
;	;	;	;	;	0
wher	wher	c-crq	where	where	0
∣	∣	sy	∣	∣	0
by	by	p-acp	by	by	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
driuen	driuen	vvn	driven	drive	0
to	to	pc-acp	to	to	0
wander	wander	vvi	wander	wander	0
hyther	hyther	av	hither	hither	0
and	and	cc	and	and	0
thyther	thyther	av	thither	thither	0
,	,	,	,	,	0
