GOd	GOd	np1	GOd	God	0
the	the	dt	the	the	0
myghtie	myghtie	j	mighty	mighty	0
gouerner	gouerner	n1	governor	governor	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
thynges	thynges	n2	things	thing	0
,	,	,	,	,	0
lōgety	lōgety	n1	longety	longety	0
∣	∣	sy	∣	∣	0
me	me	pns11	me	i	0
sythens	sythens	a-acp	sythens	since	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
witnessed	witnessed	vvn	witnessed	witness	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
excellēt	excellēt	j	excellent	excellent	0
prophet	prophet	n1	prophet	prophet	0
Moses	Moses	np1	Moses	Moses	0
,	,	,	,	,	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
trāsgressiō	trāsgressiō	n1	transgression	transgression	0
of	of	pp-f	of	of	0
hys	hys	po31	his	his	0
holy	holy	j	holy	holy	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
he	he	pns31	he	he	0
wolde	wolde	vmd	would	will	0
plage	plage	vvi	plague	plague	0
the	the	dt	the	the	0
people	people	n1	people	people	0
wt	wt	p-acp	with	with	0
sondrye	sondrye	j	sundry	sundry	0
,	,	,	,	,	0
&	&	cc	&	and	0
greuouse	greuouse	j	grievous	grievous	0
diseases	diseases	n2	diseases	disease	0
.	.	.	.	.	1
Howbeit	Howbeit	a-acp	Howbeit	howbeit	0
our	our	po12	our	our	0
blin	blin	zz	blin	blin	0
¦	¦	sy	¦	¦	0
denes	denes	n1	denes	denes	0
hath	hath	vhz	hath	have	0
ben	ben	vbn	been	be	0
so	so	av	so	so	0
great	great	j	great	great	0
,	,	,	,	,	0
yt	yt	pn31	that	it	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
multi	multi	fw-la	multi	multi	0
¦	¦	sy	¦	¦	0
tude	tude	n1	tude	tude	0
of	of	pp-f	of	of	0
moste	moste	ds	most	most	0
fylthye	fylthye	j	filthy	filthy	0
,	,	,	,	,	0
&	&	cc	&	and	0
shameful	shameful	j	shameful	shameful	0
bot	bot	zz	bot	bot	0
∣	∣	sy	∣	∣	0
ches	ches	n1	ches	ches	0
,	,	,	,	,	0
sores	sores	n2	sores	sore	0
,	,	,	,	,	0
&	&	cc	&	and	0
other	other	j-jn	other	other	0
pitious	pitious	j	piteous	piteous	0
maladies	maladies	n2	maladies	malady	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
perceaued	perceaued	vvd	perceived	perceive	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
horrible	horrible	j	horrible	horrible	0
a	a	dt	a	a	0
thynge	thynge	n1	thing	thing	0
synne	synne	n1	sin	sin	0
is	is	vbz	is	be	0
,	,	,	,	,	0
&	&	cc	&	and	0
howe	howe	c-crq	how	how	0
present	present	j	present	present	0
ven	ven	c-crq	ven	when	0
∣	∣	sy	∣	∣	0
geaūce	geaūce	n1	geaunce	geaunce	0
the	the	cs	the	than	0
dyspisyng	dyspisyng	vvg	dyspisyng	dyspisyng	0
,	,	,	,	,	0
&	&	cc	&	and	0
neglectyng	neglectyng	vvg	neglecting	neglect	0
of	of	pp-f	of	of	0
goddes	goddes	n2	gods	god	0
dredfull	dredfull	j	dreadful	dreadful	0
cōmaūdemētes	cōmaūdemētes	n2	commandments	commandment	0
,	,	,	,	,	0
bryn	bryn	av	bryn	bryn	0
¦	¦	sy	¦	¦	0
geth	geth	n1	geth	geth	0
vppon	vppon	p-acp	upon	upon	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
no	no	uh-x	no	no	0
not	not	xx	not	not	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
