IDo	IDo	np1	IDo	IDo	0
perceaue	perceaue	vvb	perceive	perceive	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
daylye	daylye	av-j	daily	daily	0
experi	experi	fw-la	experi	experi	0
∣	∣	sy	∣	∣	0
ence	ence	n1	ence	ence	0
do	do	n1	doe	do	0
vnderstād	vnderstād	vvb	understand	understand	0
most	most	av-ds	most	most	0
worshipfull	worshipfull	j	worshipful	worshipful	0
Syr	Syr	n1	Sir	sir	0
:	:	:	:	:	0
how	how	c-crq	how	how	0
men	men	n2	men	man	0
do	do	vdb	do	do	0
erre	erre	vvi	err	err	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
sore	sore	av-j	soar	sore	0
deceaued	deceaued	vvn	deceived	deceive	0
and	and	cc	and	and	0
begi	begi	fw-la	begi	begi	0
led	led	vvd	led	lead	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
election	election	n1	election	election	0
and	and	cc	and	and	0
choyse	choyse	n1	choice	choice	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
wiues	wiues	n2	wives	wife	0
:	:	:	:	:	0
and	and	cc	and	and	0
howe	howe	c-crq	how	how	0
vncurtously	vncurtously	av-j	vncurtously	vncurtous	0
and	and	cc	and	and	0
vngentlye	vngentlye	av-j	ungently	ungent	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
vse	vse	vvi	use	use	0
and	and	cc	and	and	0
intreate	intreate	vvi	entreat	entreat	0
them	them	pno32	them	they	0
,	,	,	,	,	0
that	that	cst	that	that	0
of	of	pp-f	of	of	0
equitie	equitie	n1	equity	equity	0
and	and	cc	and	and	0
ryghte	ryghte	n-jn	right	right	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
most	most	av-ds	most	most	0
fauourably	fauourably	av-j	favourably	favourable	0
and	and	cc	and	and	0
pleasauntly	pleasauntly	av-j	pleasantly	pleasant	0
vsed	vsed	vvn	used	use	0
and	and	cc	and	and	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
why	why	q-crq	why	why	0
?	?	?	?	?	0
what	what	q-crq	what	what	0
thing	thing	n1	thing	thing	0
should	should	vmd	should	shall	0
a	a	dt	a	a	0
man	man	n1	man	man	0
loue	loue	n1	love	love	0
or	or	cc	or	or	0
intreate	intreate	vvi	entreat	entreat	0
more	more	av-dc	more	more	0
amiably	amiably	av-j	amiably	amiable	0
or	or	cc	or	or	0
more	more	av-dc	more	more	0
swetely	swetely	av-j	sweetly	sweet	0
,	,	,	,	,	0
then	then	cs	then	than	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
wyfe	wyfe	n1	wife	wife	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
saye	saye	vvi	say	say	0
,	,	,	,	,	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
fleshe	fleshe	n1	flesh	flesh	0
aud	aud	cc	and	and	0
bloude	bloude	n1	blood	blood	0
?	?	?	?	?	0
theCorin	theCorin	np1	theCorin	theCorin	0
.	.	.	.	.	0
vij	vij	crd	vij	seven	0
.	.	.	.	.	0
whiche	whiche	r-crq	which	which	0
no	no	dx	no	no	0
man	man	n1	man	man	0
(	(	(	(	(	0
except	except	c-acp	except	except	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
very	very	av	very	very	0
brutishe	brutishe	j	brutish	brutish	0
and	and	cc	and	and	0
beastly	beastly	j	beastly	beastly	0
)	)	)	)	)	0
can	can	vmb	can	can	0
or	or	cc	or	or	0
ought	ought	vmd	ought	ought	0
to	to	p-acp	to	to	0
mislyke	mislyke	vvi	mislike	mislike	0
,	,	,	,	,	0
hate	hate	vvb	hate	hate	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
wise	wise	j	wise	wise	0
abhorre	abhorre	vvi	abhor	abhor	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
yet	yet	av	yet	yet	0
how	how	c-crq	how	how	0
these	these	d	these	these	0
poore	poore	j	poor	poor	0
silye	silye	av-j	silye	silye	0
wemen	wemen	n2	women	woman	0
are	are	vbr	are	be	0
handled	handled	vvn	handled	handle	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
theyr	theyr	po32	their	their	0
owne	owne	d	own	own	0
husbandes	husbandes	ng1	husbands	husband	0
misordered	misordered	j-vvn	misordered	misorder	0
