ABout	ABout	p-acp	ABout	about	0
a	a	dt	a	a	0
few	few	d	few	few	0
yeares	yeares	n2	years	year	0
past	past	j	past	past	0
,	,	,	,	,	0
right	right	av-jn	right	right	0
Honorable	Honorable	j	Honourable	honourable	0
,	,	,	,	,	0
re	re	fw-it	re	re	0
∣	∣	sy	∣	∣	0
uerend	uerend	j	verend	verend	0
and	and	cc	and	and	0
worshipfull	worshipfull	j	worshipful	worshipful	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
requested	requested	vvn	requested	request	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
out	out	av	out	out	0
the	the	dt	the	the	0
description	description	n1	description	description	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Excester	Excester	np1	Excester	Excester	0
,	,	,	,	,	0
some	some	d	some	some	0
one	one	crd	one	one	0
(	(	(	(	(	0
then	then	av	then	then	0
liuing	liuing	j-vvg	living	live	0
)	)	)	)	)	0
pretending	pretending	vvg	pretending	pretend	0
and	and	cc	and	and	0
minding	minding	vvg	minding	mind	0
after	after	p-acp	after	after	0
the	the	pno32	thee	they	0
or	or	cc	or	or	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
of	of	pp-f	of	of	0
Ministers	Ministers	n2	Ministers	minister	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
foorth	foorth	av	forth	forth	0
a	a	dt	a	a	0
generall	generall	j	general	general	0
description	description	n1	description	description	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
a	a	dt	a	a	0
Topo	Topo	np1	Topo	Topo	0
∣	∣	sy	∣	∣	0
graphicall	graphicall	j	graphical	graphical	0
and	and	cc	and	and	0
a	a	dt	a	a	0
particular	particular	j	particular	particular	0
discourse	discourse	n1	discourse	discourse	0
of	of	pp-f	of	of	0
euerie	euerie	d	every	every	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
uince	uince	np1	uince	uince	0
,	,	,	,	,	0
citie	citie	n1	city	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
towne	towne	n1	town	town	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
This	This	d	This	this	0
request	request	n1	request	request	0
ten	ten	crd	ten	ten	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
to	to	p-acp	to	to	0
so	so	av	so	so	0
good	good	j	good	good	0
an	an	dt	and	a	0
end	end	n1	end	end	0
,	,	,	,	,	0
liked	liked	vvd	liked	like	0
me	me	pno11	me	i	0
so	so	av	so	so	0
well	well	av	well	well	0
,	,	,	,	,	0
that	that	cst	that	that	0
albeit	albeit	cs	albeit	albeit	0
I	I	pns11	I	i	0
were	were	vbdr	were	be	0
and	and	cc	and	and	0
am	am	vbm	am	be	0
verie	verie	av	very	very	0
vnfit	vnfit	j	unfit	unfit	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
small	small	j	small	small	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
wade	wade	vvi	wade	wade	0
into	into	p-acp	into	into	0
such	such	d	such	such	0
a	a	dt	a	a	0
matter	matter	n1	matter	matter	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
sawe	sawe	vvd	saw	see	0
no	no	dx	no	no	0
man	man	n1	man	man	0
would	would	vmd	would	will	0
take	take	vvi	take	take	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
contented	contented	vvn	contented	content	0
to	to	pc-acp	to	to	0
yeeld	yeeld	vvi	yield	yield	0
therevnto	therevnto	av	thereunto	thereunto	0
.	.	.	.	.	1
And	And	np1	And	And	0
finding	finding	vvg	finding	find	0
no	no	dx	no	no	0
such	such	d	such	such	0
thing	thing	n1	thing	thing	0
before	before	a-acp	before	before	0
doone	doone	vdn	done	do	0
,	,	,	,	,	0
my	my	po11	my	my	0
paines	paines	n2	pains	pain	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
driuen	driuen	vvn	driven	drive	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
diligent	diligent	j	diligent	diligent	0
search	search	n1	search	search	0
and	and	cc	and	and	0
in	in	zz	in	in	0
∣	∣	sy	∣	∣	0
quirie	quirie	n1	quirie	quirie	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
such	such	d	such	such	0
old	old	j	old	old	0
and	and	cc	and	and	0
ancient	ancient	j	ancient	ancient	0
presidents	presidents	n2	presidents	president	0
,	,	,	,	,	0
records	records	n2	records	record	0
and	and	cc	and	and	0
writings	writings	n2-vvg	writings	write	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
best	best	js	best	best	0
furtherance	furtherance	n1	furtherance	furtherance	0
herein	herein	av	herein	herein	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
which	which	r-crq	which	which	0
my	my	po11	my	my	0
trauels	trauels	n2	travels	travel	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
my	my	po11	my	my	0
hap	hap	n1	hap	hap	0
among	among	p-acp	among	among	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
the	the	dt	the	the	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
table	table	n1	table	table	0
within	within	p-acp	within	within	0
your	your	po22	your	your	0
Ca	Ca	zz	Ca	ca	0
∣	∣	sy	∣	∣	0
thedrall	thedrall	n1	thedrall	thedrall	0
church	church	n1	church	church	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
cheefelie	cheefelie	av-jn	chiefly	chief	0
conteined	conteined	vvd	contained	contain	0
a	a	dt	a	a	0
certeine	certeine	j	certain	certain	0
Catalog	Catalog	n1	Catalog	catalogue	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
few	few	d	few	few	0
Bishops	Bishops	n2	Bishops	bishop	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
I	I	pns11	I	i	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
so	so	av	so	so	0
much	much	av-d	much	much	0
reioise	reioise	vvi	rejoice	rejoice	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
sight	sight	n1	sighed	sight	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
throughlie	throughlie	av-j	throughly	through	0
perused	perused	vvn	perused	peruse	0
and	and	cc	and	and	0
considered	considered	vvd	considered	consider	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
sorie	sorie	j	sorry	sorry	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
one	one	crd	one	one	0
man	man	n1	man	man	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
manie	manie	d	many	many	0
yeares	yeares	n2	years	year	0
,	,	,	,	,	0
had	had	vhd	had	have	0
continued	continued	vvn	continued	continue	0
it	it	pn31	it	it	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
length	length	n1	length	length	0
,	,	,	,	,	0
considering	considering	vvg	considering	consider	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
such	such	d	such	such	0
a	a	dt	a	a	0
sympathie	sympathie	n1	sympathy	sympathy	0
and	and	cc	and	and	0
affinitie	affinitie	n1	affinity	affinity	0
,	,	,	,	,	0
betweene	betweene	p-acp	between	between	0
this	this	d	this	this	0
citie	citie	n1	city	city	0
and	and	cc	and	and	0
the	the	dt	the	the	0
church	church	n1	church	church	0
,	,	,	,	,	0
both	both	d	both	both	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
inclosed	inclosed	vvn	enclosed	enclose	0
and	and	cc	and	and	0
inuironed	inuironed	vvn	environed	environ	0
within	within	p-acp	within	within	0
one	one	crd	one	one	0
wall	wall	n1	wall	wall	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
one	one	crd	one	one	0
bodie	bodie	n1	body	body	0
,	,	,	,	,	0
though	though	cs	though	though	0
in	in	p-acp	in	in	0
certeine	certeine	j	certain	certain	0
priuiledges	priuiledges	n2	privileges	privilege	0
distinguished	distinguished	vvn	distinguished	distinguish	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
search	search	n1	search	search	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
one	one	pi	one	one	0
,	,	,	,	,	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
the	the	dt	the	the	0
better	better	av-jc	better	better	0
doo	doo	vdi	do	do	0
the	the	dt	the	the	0
like	like	av-j	like	like	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
resolue	resolue	vvi	resolve	resolve	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
stowe	stowe	zz	stowe	stowe	0
my	my	po11	my	my	0
trauels	trauels	n2	travels	travel	0
in	in	p-acp	in	in	0
both	both	d	both	both	0
alike	alike	av-j	alike	alike	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
greatlie	greatlie	av-j	greatly	great	0
was	was	vbds	was	be	0
I	I	pns11	I	i	0
herein	herein	av	herein	herein	0
discouraged	discouraged	vvn	discouraged	discourage	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
being	being	vbg	being	be	0
an	an	dt	and	a	0
earnest	earnest	j	earnest	earnest	0
sutor	sutor	n1	suitor	suitor	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
companie	companie	n1	company	company	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
some	some	d	some	some	0
helpe	helpe	n1	help	help	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
auncient	auncient	j-jn	ancient	ancient	0
records	records	n2	records	record	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
small	small	j	small	small	0
furtherance	furtherance	n1	furtherance	furtherance	0
;	;	;	;	;	0
some	some	d	some	some	0
being	being	vbg	being	be	0
more	more	av-dc	more	more	0
suspicious	suspicious	j	suspicious	suspicious	0
than	than	cs	than	than	0
needed	needed	vvd	needed	need	0
;	;	;	;	;	0
some	some	d	some	some	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
speake	speake	vvi	speak	speak	0
it	it	pn31	it	it	0
,	,	,	,	,	0
vnder	vnder	p-acp	under	under	0
your	your	po22	your	your	0
patience	patience	n1	patience	patience	0
,	,	,	,	,	0
not	not	xx	not	not	0
vnlike	vnlike	av-j	unlike	unlike	0
Aesops	Aesops	npg1	Aesops	Aesop	0
dogge	dogge	n1	dog	dog	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
would	would	vmd	would	will	0
neither	neither	av-dx	neither	neither	0
eate	eate	vvi	eat	eat	0
haie	haie	uh	hay	hay	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
yet	yet	av	yet	yet	0
suffer	suffer	vvi	suffer	suffer	0
the	the	dt	the	the	0
oxe	oxe	n1	ox	ox	0
to	to	pc-acp	to	to	0
doo	doo	vdi	do	do	0
it	it	pn31	it	it	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
meanes	meanes	n2	means	mean	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
driuen	driuen	vvn	driven	drive	0
to	to	pc-acp	to	to	0
picke	picke	vvi	pick	pick	0
out	out	av	out	out	0
els	els	av	else	else	0
where	where	c-crq	where	where	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
doo	doo	vdb	do	do	0
persuade	persuade	vvi	persuade	persuade	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
so	so	av	so	so	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
imperfect	imperfect	j	imperfect	imperfect	0
.	.	.	.	.	1
Well	Well	uh-av	Well	well	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
doone	doone	vdn	done	do	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
presented	presented	vvn	presented	present	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Maior	Maior	n1	Mayor	mayor	0
and	and	cc	and	and	0
magistrates	magistrates	n2	magistrates	magistrate	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
;	;	;	;	;	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
doone	doone	vdn	done	do	0
concerning	concerning	vvg	concerning	concern	0
your	your	po22	your	your	0
church	church	n1	church	church	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doo	doo	vdi	do	do	0
here	here	av	here	here	0
most	most	av-ds	most	most	0
humblie	humblie	av-j	humbly	humble	0
offer	offer	vvi	offer	offer	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
the	the	dt	the	the	0
effect	effect	n1	effect	effect	0
whereof	whereof	c-crq	whereof	whereof	0
is	is	vbz	is	be	0
;	;	;	;	;	0
The	The	dt	The	the	0
antiquitie	antiquitie	n1	antiquity	antiquity	0
and	and	cc	and	and	0
first	first	ord	first	first	0
foundation	foundation	n1	foundation	foundation	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
cathedrall	cathedrall	n1	cathedral	cathedral	0
church	church	n1	church	church	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
