REuerend	REuerend	n-jn	REuerend	reuerend	0
Sir	Sir	n1	Sir	sir	0
:	:	:	:	:	0
Albeit	Albeit	cs	Albeit	albeit	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
conscious	conscious	j	conscious	conscious	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
inability	inability	n1	inability	inability	0
to	to	pc-acp	to	to	0
answer	answer	vvi	answer	answer	0
the	the	dt	the	the	0
opi	opi	n2	opi	opi	0
∣	∣	sy	∣	∣	0
nion	nion	n1	nion	nion	0
your	your	po22	your	your	0
loue	loue	n1	love	love	0
long	long	av-j	long	long	0
since	since	a-acp	since	since	0
hath	hath	vhz	hath	have	0
conceiued	conceiued	vvn	conceived	conceive	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
culty	culty	n1	culty	culty	0
in	in	p-acp	in	in	0
me	me	pno11	me	i	0
for	for	p-acp	for	for	0
improuements	improuements	n2	improvements	improvement	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Scholler	Scholler	n1	Scholar	scholar	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
cannot	cannot	vmbx	cannot	can	0
Salomons	Salomons	zf	Salomon's	salomon	0
word	word	n1	word	word	0
,	,	,	,	,	0
being	being	vbg	being	be	0
represented	represented	vvn	represented	represent	0
now	now	av	now	now	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
thought	thought	n1	thought	thought	0
(	(	(	(	(	0
Stultus	Stultus	fw-la	Stultus	stultus	0
reputabitur	reputabitur	fw-la	reputabitur	reputabitur	0
sapiens	sapiens	fw-la	sapiens	sapiens	0
si	si	fw-la	si	si	0
ta	ta	fw-fr	ta	ta	0
∣	∣	sy	∣	∣	0
cuerit	cuerit	fw-la	cuerit	cuerit	0
)	)	)	)	)	0
dishearten	dishearten	vvi	dishearten	dishearten	0
me	me	pno11	me	i	0
from	from	p-acp	from	from	0
imparting	imparting	vvg	imparting	impart	0
such	such	d	such	such	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
meditations	meditations	n2	meditations	meditation	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
a	a	dt	a	a	0
good	good	j	good	good	0
while	while	n1	while	while	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
more	more	dc	more	more	0
lately	lately	av-j	lately	late	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
written	written	vvn	written	write	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
satisfie	satisfie	vvi	satisfy	satisfy	0
(	(	(	(	(	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
)	)	)	)	)	0
some	some	d	some	some	0
scru	scru	n2	scru	scru	0
∣	∣	sy	∣	∣	0
pulous	pulous	j	pulous	pulous	0
consciences	consciences	n2	consciences	conscience	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
lawfull	lawfull	j	lawful	lawful	0
and	and	cc	and	and	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
uenient	uenient	j	venient	venient	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
gesture	gesture	n1	gesture	gesture	0
of	of	pp-f	of	of	0
Kneeling	Kneeling	vvg	Kneeling	kneel	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Acte	Acte	n1	Act	act	0
of	of	pp-f	of	of	0
receiuing	receiuing	vvg	receiving	receive	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
Eucharist	Eucharist	n1	Eucharist	eucharist	0
.	.	.	.	.	1
About	About	p-acp	About	about	0
the	the	dt	the	the	0
signe	signe	n1	sign	sign	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Crosse	Crosse	n1	Cross	cross	0
in	in	p-acp	in	in	0
or	or	cc	or	or	0
after	after	a-acp	after	after	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
Sacrament	Sacrament	n1	Sacrament	sacrament	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
filled	filled	vvn	filled	fill	0
many	many	d	many	many	0
sheetes	sheetes	n2	sheets	sheet	0
of	of	pp-f	of	of	0
paper	paper	n1	paper	paper	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
reade	reade	vvi	read	read	0
much	much	d	much	much	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
accurate	accurate	j	accurate	accurate	0
writings	writings	n2	writings	write	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
argument	argument	n1	argument	argument	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
loth	loth	j	loath	loath	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
old	old	j	old	old	0
Adage	Adage	n1	Adage	adage	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
that	that	cst	that	that	0
all	all	d	all	all	0
onely	onely	j	only	only	0
my	my	po11	my	my	0
Cipresse	Cipresse	n1	Cypress	cypress	0
tree	tree	n1	tree	tree	0
:	:	:	:	:	0
I	I	pns11	I	i	0
vndertook	vndertook	vvd	undertook	undertake	0
vpon	vpon	p-acp	upon	upon	0
earnest	earnest	j	earnest	earnest	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
friend	friend	n1	friend	friend	0
(	(	(	(	(	0
more	more	av-dc	more	more	0
profitable	profitable	j	profitable	profitable	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
labours	labours	n2	labours	labour	0
,	,	,	,	,	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
the	the	dt	the	the	0
vanity	vanity	n1	vanity	vanity	0
of	of	pp-f	of	of	0
one	one	pi	one	one	0
who	who	r-crq	who	who	0
gloriously	gloriously	av-j	gloriously	glorious	0
boasts	boasts	vvz	boasts	boast	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
proofe	proofe	n1	proof	proof	0
;	;	;	;	;	0
that	that	cst	that	that	0
the	the	dt	the	the	0
controuerted	controuerted	vvn	controverted	controvert	0
ceremonies	ceremonies	n2	ceremonies	ceremony	0
are	are	vbr	are	be	0
defended	defended	vvn	defended	defend	0
by	by	p-acp	by	by	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
arguments	arguments	n2	arguments	argument	0
,	,	,	,	,	0
then	then	av	then	then	0
are	are	vbr	are	be	0
vsed	vsed	vvn	used	use	0
by	by	p-acp	by	by	0
Papists	Papists	njp2	Papists	papist	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
elder	elder	jc	elder	old	0
Pro	Pro	fw-la	Pro	pro	0
∣	∣	sy	∣	∣	0
testants	testants	n2	testants	testant	0
haue	haue	vhb	have	have	0
bene	bene	vbn	be	be	0
long	long	av-j	long	long	0
since	since	a-acp	since	since	0
answered	answered	vvd	answered	answer	0
.	.	.	.	.	1
Betweene	Betweene	p-acp	Between	between	0
his	his	po31	his	his	0
second	second	ord	second	second	0
(	(	(	(	(	0
though	though	c-acp	though	though	0
Senior	Senior	np1	Senior	Senior	0
Ignoto	Ignoto	np1	Ignoto	Ignoto	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
)	)	)	)	)	0
and	and	cc	and	and	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
the	the	dt	the	the	0
same	same	d	same	same	0
was	was	vbds	was	be	0
drawne	drawne	vvn	drawn	draw	0
so	so	av	so	so	0
oft	oft	av	oft	oft	0
in	in	p-acp	in	in	0
writing	writing	n1	writing	writing	0
con	con	fw-mi	con	con	0
and	and	cc	and	and	0
pro	pro	fw-la	pro	pro	0
,	,	,	,	,	0
that	that	cst	that	that	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
ashamed	ashamed	j	ashamed	ashamed	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
it	it	pn31	it	it	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
peare	peare	n1	pear	pear	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
vpon	vpon	p-acp	upon	upon	0
what	what	r-crq	what	what	0
termes	termes	n2	terms	term	0
I	I	pns11	I	i	0
left	left	vvd	left	leave	0
him	him	pno31	him	he	0
.	.	.	.	.	1
Then	Then	av	Then	then	0
an	an	dt	and	a	0
occasion	occasion	n1	occasion	occasion	0
was	was	vbds	was	be	0
offered	offered	vvn	offered	offer	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
answer	answer	vvi	answer	answer	0
some	some	d	some	some	0
Quaeres	Quaeres	n2	Quaeres	quaere	0
about	about	p-acp	about	about	0
kneeling	kneeling	vvg	kneeling	kneel	0
,	,	,	,	,	0
and	and	cc	and	and	0
afterwardes	afterwardes	av	afterwards	afterwards	0
more	more	av-dc	more	more	0
closely	closely	av-j	closely	close	0
to	to	pc-acp	to	to	0
ioyne	ioyne	vvi	join	join	0
issue	issue	n1	issue	issue	0
for	for	p-acp	for	for	0
repelling	repelling	vvg	repelling	repel	0
all	all	d	all	all	0
the	the	dt	the	the	0
Obiections	Obiections	n2	Objections	objection	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
obserued	obserued	vvn	observed	observe	0
in	in	p-acp	in	in	0
reading	reading	vvg	reading	read	0
,	,	,	,	,	0
and	and	cc	and	and	0
which	which	r-crq	which	which	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
haue	haue	vhb	have	have	0
bin	bin	vbn	been	be	0
vrged	vrged	vvn	urged	urge	0
in	in	p-acp	in	in	0
conferring	conferring	vvg	conferring	confer	0
with	with	p-acp	with	with	0
mee	mee	pno11	me	i	0
.	.	.	.	.	1
My	My	po11	My	my	0
arguments	arguments	n2	arguments	argument	0
and	and	cc	and	and	0
answers	answers	n2	answers	answer	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
,	,	,	,	,	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
fesse	fesse	vvb	fesse	fesse	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
get	get	vvi	get	get	0
no	no	dx	no	no	0
reply	reply	n1	reply	reply	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
not	not	xx	not	not	0
perceiue	perceiue	vvi	perceive	perceive	0
,	,	,	,	,	0
that	that	cst	that	that	0
any	any	d	any	any	0
one	one	pi	one	one	0
formerly	formerly	av-j	formerly	former	0
opposite	opposite	av-jn	opposite	opposite	0
is	is	vbz	is	be	0
willing	willing	j	willing	willing	0
to	to	pc-acp	to	to	0
yeeld	yeeld	vvi	yield	yield	0
himselfe	himselfe	px31	himself	himself	0
perswaded	perswaded	vvn	persuaded	persuade	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
cause	cause	n1	cause	cause	0
partly	partly	av	partly	partly	0
I	I	pns11	I	i	0
present	present	vvb	present	present	0
&	&	cc	&	and	0
submit	submit	vvi	submit	submit	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
reue	reue	vvi	reue	reave	0
∣	∣	sy	∣	∣	0
rend	rend	vvb	rend	rend	0
censure	censure	n1	censure	censure	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
contempt	contempt	n1	contempt	contempt	0
,	,	,	,	,	0
or	or	cc	or	or	0
some	some	d	some	some	0
more	more	dc	more	more	0
lear	lear	j	lear	lear	0
∣	∣	sy	∣	∣	0
ning	ning	n1	ning	ning	0
wermeetest	wermeetest	js	wermeetest	wermeet	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
set	set	vvn	set	set	0
against	against	p-acp	against	against	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Partly	Partly	av	Partly	partly	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
slow	slow	j	slow	slow	0
in	in	p-acp	in	in	0
extemporary	extemporary	j	extemporary	extemporary	0
speech	speech	n1	speech	speech	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
as	as	a-acp	as	as	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
likely	likely	j	likely	likely	0
