IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
ancient	ancient	j	ancient	ancient	0
saying	saying	n-vvg	saying	say	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
diuine	diuine	j-jn	divine	divine	0
Phi	Phi	fw-la	Phi	phi	0
∣	∣	sy	∣	∣	0
losopher	losopher	n1	losopher	losopher	0
,	,	,	,	,	0
that	that	cst	that	that	0
Common-wealths	Common-wealths	n2	Commonwealths	commonwealth	0
are	are	vbr	are	be	0
then	then	av	then	then	0
happie	happie	j	happy	happy	0
and	and	cc	and	and	0
fortunate	fortunate	j	fortunate	fortunate	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
either	either	d	either	either	0
the	the	dt	the	the	0
Wise	Wise	j	Wise	wise	0
and	and	cc	and	and	0
Learned	Learned	j	Learned	learned	0
,	,	,	,	,	0
called	called	vvd	called	call	0
Philosophers	Philosophers	n2	Philosophers	philosopher	0
,	,	,	,	,	0
gouerne	gouerne	vvb	govern	govern	0
them	them	pno32	them	they	0
,	,	,	,	,	0
or	or	cc	or	or	0
their	their	po32	their	their	0
Gouernours	Gouernours	n2	Governors	governor	0
and	and	cc	and	and	0
Rulers	Rulers	n2	Rulers	ruler	0
be	be	vbb	be	be	0
Philosophers	Philosophers	n2	Philosophers	philosopher	0
;	;	;	;	;	0
that	that	d	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
louers	louers	n2	lovers	lover	0
of	of	pp-f	of	of	0
Wisedome	Wisedome	n1	Wisdom	wisdom	0
and	and	cc	and	and	0
Learning	Learning	n1	Learning	learning	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
resemblance	resemblance	n1	resemblance	resemblance	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
Emblematize	Emblematize	vvi	Emblematize	emblematize	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Picture	Picture	n1	Picture	picture	0
of	of	pp-f	of	of	0
Pallas	Pallas	np1	Pallas	Pallas	0
,	,	,	,	,	0
(	(	(	(	(	0
whom	whom	ro-crq	whom	who	0
