Wherein	Wherein	c-crq	Wherein	wherein	0
1.	1.	crd	1.	1.	1
IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
shewed	shewed	vvn	showed	show	0
first	first	ord	first	first	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
safe	safe	j	safe	safe	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
conscien	conscien	n1	conscien	conscien	0
∣	∣	sy	∣	∣	0
ces	ces	fw-fr	ces	ces	0
of	of	pp-f	of	of	0
Catholikes	Catholikes	njp2	Catholics	catholic	0
to	to	pc-acp	to	to	0
adhere	adhere	vvi	adhere	adhere	0
alwaies	alwaies	av	always	always	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Pope	Pope	n1	Pope	pope	0
,	,	,	,	,	0
and	and	cc	and	and	0
neglect	neglect	vvi	neglect	neglect	0
the	the	dt	the	the	0
command	command	n1	command	command	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
temporall	temporall	j	temporal	temporal	0
Prince	Prince	n1	Prince	prince	0
.	.	.	.	.	1
2	2	crd	2	2	0
That	That	d	That	that	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Pope	Pope	n1	Pope	pope	0
should	should	vmd	should	shall	0
exact	exact	vvi	exact	exact	0
from	from	p-acp	from	from	0
Catholikes	Catholikes	njp2	Catholics	catholic	0
,	,	,	,	,	0
that	that	cst	that	that	0
obedience	obedience	n1	obedience	obedience	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
due	due	j-jn	due	due	0
onely	onely	av-j	only	only	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
temporall	temporall	j	temporal	temporal	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
by	by	p-acp	by	by	0
obeying	obeying	vvg	obeying	obey	0
the	the	dt	the	the	0
Pope	Pope	n1	Pope	pope	0
disobey	disobey	vvi	disobey	disobey	0
the	the	dt	the	the	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mand	mand	vvn	manned	man	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
truly	truly	av-j	truly	true	0
traitours	traitours	n2	traitors	traitor	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Prince	Prince	n1	Prince	prince	0
.	.	.	.	.	1
3	3	crd	3	3	0
That	That	d	That	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
possible	possible	j	possible	possible	0
for	for	p-acp	for	for	0
Popes	Popes	n2	Popes	pope	0
to	to	pc-acp	to	to	0
challenge	challenge	vvi	challenge	challenge	0
such	such	d	such	such	0
an	an	dt	and	a	0
obedience	obedience	n1	obedience	obedience	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
de	de	dt	the	the	0
facto	facto	fw-la	facto	facto	0
Pope	Pope	n1	Pope	pope	0
Boniface	Boniface	np1	Boniface	Boniface	0
did	did	vdd	did	do	0
chal	chal	j	chal	chal	0
∣	∣	sy	∣	∣	0
lenge	lenge	n1	lenge	lenge	0
it	it	pn31	it	it	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
King	King	n1	King	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
.	.	.	.	.	1
4	4	crd	4	4	0
That	That	d	That	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
probable	probable	j	probable	probable	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Pope	Pope	n1	Pope	pope	0
that	that	cst	that	that	0
now	now	av	now	now	0
is	is	vbz	is	be	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
condemning	condemning	vvg	condemning	condemn	0
the	the	dt	the	the	0
late	late	j	late	late	0
Oath	Oath	n1	Oath	oath	0
of	of	pp-f	of	of	0
Allegeance	Allegeance	n1	Allegiance	allegiance	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
challen	challen	vvn	challen	challen	0
∣	∣	sy	∣	∣	0
ging	ging	n1	ging	ging	0
a	a	dt	a	a	0
power	power	n1	power	power	0
to	to	pc-acp	to	to	0
depose	depose	vvi	depose	depose	0
temporall	temporall	j	temporal	temporal	0
Princes	Princes	n2	Princes	prince	0
,	,	,	,	,	0
demaundeth	demaundeth	vvz	demandeth	demand	0
of	of	pp-f	of	of	0
English	English	np1	English	English	0
Catholikes	Catholikes	njp2	Catholics	catholic	0
the	the	dt	the	the	0
foresaid	foresaid	j	foresaid	foresaid	0
temporall	temporall	j	temporal	temporal	0
Allegiance	Allegiance	n1	Allegiance	allegiance	0
,	,	,	,	,	0
and	and	cc	and	and	0
vsurpeth	vsurpeth	vvz	usurpeth	usurp	0
that	that	d	that	that	0
authoritie	authoritie	n1	authority	authority	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Christ	Christ	np1	Christ	Christ	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
giuen	giuen	vvn	given	give	0
him	him	pno31	him	he	0
.	.	.	.	.	1
5	5	crd	5	5	0
That	That	d	That	that	0
although	although	cs	although	although	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
granted	granted	vvn	granted	grant	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
bable	bable	n1	babble	babble	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Pope	Pope	n1	Pope	pope	0
hath	hath	vhz	hath	have	0
such	such	d	such	such	0
an	an	dt	and	a	0
authoritie	authoritie	n1	authority	authority	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
so	so	av	so	so	0
long	long	av-j	long	long	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
probable	probable	j	probable	probable	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
titulus	titulus	fw-la	titulus	titulus	0
sine	sine	fw-la	sine	sine	0
re	re	fw-mi	re	re	0
,	,	,	,	,	0
a	a	dt	a	a	0
title	title	n1	title	title	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
can	can	vmb	can	can	0
neuer	neuer	av-x	never	never	0
be	be	vbi	be	be	0
put	put	vvn	put	put	0
in	in	p-acp	in	in	0
execution	execution	n1	execution	execution	0
without	without	p-acp	without	without	0
manifest	manifest	j	manifest	manifest	0
diso	diso	n1	diso	diso	0
∣	∣	sy	∣	∣	0
bedience	bedience	n1	bedience	bedience	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
iniustice	iniustice	n1	injustice	injustice	0
to	to	p-acp	to	to	0
temporall	temporall	j	temporal	temporal	0
Princes	Princes	n2	Princes	prince	0
.	.	.	.	.	1
6	6	crd	6	6	0
That	That	d	That	that	0
the	the	dt	the	the	0
Pope	Pope	n1	Pope	pope	0
neither	neither	av-d	neither	neither	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Iudge	Iudge	n1	Judge	judge	0
of	of	pp-f	of	of	0
temporall	temporall	j	temporal	temporal	0
Princes	Princes	n2	Princes	prince	0
in	in	p-acp	in	in	0
temporall	temporall	j	temporal	temporal	0
causes	causes	n2	causes	cause	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
as	as	p-acp	as	as	0
yet	yet	av	yet	yet	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
authenticall	authenticall	j	authentical	authentical	0
instrument	instrument	n1	instrument	instrument	0
hath	hath	vhz	hath	have	0
defined	defined	vvn	defined	define	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
power	power	n1	power	power	0
to	to	pc-acp	to	to	0
depose	depose	vvi	depose	depose	0
tem	tem	n1	tem	tem	0
∣	∣	sy	∣	∣	0
porall	porall	j	porall	porall	0
Princes	Princes	n2	Princes	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
therefore	therefore	av	therefore	therefore	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
probable	probable	j	probable	probable	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
no	no	xx	not	not	0
such	such	d	such	such	0
power	power	n1	power	power	0
.	.	.	.	.	1
7	7	crd	7	7	0
That	That	d	That	that	0
the	the	dt	the	the	0
manner	manner	n1	manner	manner	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Holinesse	Holinesse	n1	Holiness	holiness	0
proceeding	proceeding	vvg	proceeding	proceed	0
in	in	p-acp	in	in	0
condemning	condemning	vvg	condemning	condemn	0
my	my	po11	my	my	0
bookes	bookes	n2	books	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
commanding	commanding	vvg	commanding	command	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
purge	purge	vvi	purge	purge	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
fallacious	fallacious	j	fallacious	fallacious	0
dealing	dealing	n-vvg	dealing	deal	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Aduersaries	Aduersaries	n2	Adversaries	adversary	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
clearely	clearely	av-j	clearly	clear	0
shew	shew	vvi	show	show	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
consciences	consciences	n2	consciences	conscience	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
per	per	fw-la	per	per	0
