REnowned	REnowned	j-vvn	REnowned	renown	0
and	and	cc	and	and	0
Beloued	Beloued	j-vvn	Beloved	belove	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
and	and	cc	and	and	0
man	man	n1	man	man	0
:	:	:	:	:	0
As	As	c-acp	As	as	0
the	the	dt	the	the	0
Wisemen	Wisemen	n2	Wisemen	wiseman	0
followed	followed	vvd	followed	follow	0
the	the	dt	the	the	0
starre	starre	n1	star	star	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
East	East	n1	East	east	0
,	,	,	,	,	0
so	so	av	so	so	0
haue	haue	vhb	have	have	0
wee	wee	pns12	we	we	0
fol	fol	zz	fol	fol	0
∣	∣	sy	∣	∣	0
lowed	lowed	vvn	lowed	low	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
North	North	n1	North	north	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
appointment	appointment	n1	appointment	appointment	0
wee	wee	pns12	we	we	0
haue	haue	vhb	have	have	0
preacht	preacht	vvd	preached	preach	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
command	command	n1	command	command	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
put	put	vvn	put	put	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
presse	presse	n1	press	press	0
;	;	;	;	;	0
To	To	p-acp	To	to	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
haue	haue	vhi	have	have	0
answered	answered	vvn	answered	answer	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sons	sons	n2	sons	son	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Presbyterian	Presbyterian	j	Presbyterian	presbyterian	0
spi	spi	vvb	spi	spi	0
∣	∣	sy	∣	∣	0
rits	rits	n2	rits	rite	0
lately	lately	av-j	lately	late	0
answered	answered	vvn	answered	answer	0
you	you	pn22	you	you	0
;	;	;	;	;	0
Nolo	Nolo	fw-la	Nolo	nolo	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
flat	flat	j	flat	flat	0
terms	terms	n2	terms	term	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
obey	obey	vvi	obey	obey	0
you	you	pn22	you	you	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
why	why	q-crq	why	why	0
should	should	vmd	should	shall	0
so	so	av	so	so	0
many	many	d	many	many	0
men	men	n2	men	man	0
,	,	,	,	,	0
the	the	dt	the	the	0
choise	choise	n1	choice	choice	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
famous	famous	j	famous	famous	0
Churches	Churches	n2	Churches	church	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
much	much	av-d	much	much	0
greater	greater	jc	greater	great	0
learning	learning	n1	learning	learning	0
of	of	pp-f	of	of	0
more	more	av-dc	more	more	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
excellent	excellent	j	excellent	excellent	0
gifts	gifts	n2	gifts	gift	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
heard	heard	vvn	herd	hear	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
attention	attention	n1	attention	attention	0
only	only	av-j	only	only	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
with	with	p-acp	with	with	0
admiration	admiration	n1	admiration	admiration	0
too	too	av	too	too	0
,	,	,	,	,	0
why	why	c-crq	why	why	0
(	(	(	(	(	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
)	)	)	)	)	0
should	should	vmd	should	shall	0
such	such	d	such	such	0
and	and	cc	and	and	0
so	so	av	so	so	0
manie	manie	d	many	many	0
escape	escape	n1	escape	escape	0
the	the	dt	the	the	0
publishing	publishing	vvg	publishing	publish	0
,	,	,	,	,	0
&	&	cc	&	and	0
I	I	pns11	I	i	0
only	only	av-j	only	only	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
set	set	vvn	set	set	0
vpon	vpon	p-acp	upon	upon	0
the	the	dt	the	the	0
stage	stage	n1	stage	stage	0
?	?	?	?	?	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
aske	aske	vvb	ask	ask	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
found	found	vvn	found	find	0
the	the	dt	the	the	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
Izaak	Izaak	np1	Izaak	Izaak	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
know	know	vvi	know	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
Iacob	Iacob	np1	Iacob	Jacob	0
was	was	vbds	was	be	0
better	better	jc	better	better	0
then	then	cs	then	than	0
E	E	sy	E	e	0
∣	∣	sy	∣	∣	0
sau	sau	uh	sau	sau	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
loued	loued	vvd	loved	love	0
Esau	Esau	np1	Esau	Esau	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
meat	meat	n1	meat	meat	0
which	which	r-crq	which	which	0
hee	hee	pns31	he	he	0
brought	brought	vvd	brought	bring	0
him	him	pno31	him	he	0
,	,	,	,	,	0
so	so	av	so	so	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
knoweth	knoweth	vvz	knoweth	know	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
society	society	n1	society	society	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
like	like	av-j	like	like	0
Rebecca	Rebecca	np1	Rebecca	Rebecca	0
can	can	vmb	can	can	0
make	make	vvi	make	make	0
bet	bet	n1	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
venison	venison	n1	venison	venison	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
kid	kid	n1	kid	kid	0
,	,	,	,	,	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
of	of	pp-f	of	of	0
venison	venison	n1	venison	venison	0
,	,	,	,	,	0
&	&	cc	&	and	0
yet	yet	av	yet	yet	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
thus	thus	av	thus	thus	0
designed	designed	vvn	designed	design	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
;	;	;	;	;	0
therfore	therfore	av	therefore	therefore	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
I	I	pns11	I	i	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
argument	argument	n1	argument	argument	0
,	,	,	,	,	0
euen	euen	av-j	even	even	0
the	the	dt	the	the	0
peace	peace	n1	peace	peace	0
(	(	(	(	(	0
I	I	pns11	I	i	0
spake	spake	vvd	spoke	speak	0
of	of	pp-f	of	of	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
so	so	av	so	so	0
affected	affected	vvd	affected	affect	0
you	you	pn22	you	you	0
;	;	;	;	;	0
especially	especially	av-j	especially	especial	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
in	in	p-acp	in	in	0
Scotland	Scotland	np1	Scotland	Scotland	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
more	more	av-dc	more	more	0
especially	especially	av-j	especially	especial	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
twixt	twixt	p-acp	betwixt	betwixt	0
England	England	np1	England	England	0
&	&	cc	&	and	0
Scotland	Scotland	np1	Scotland	Scotland	0
,	,	,	,	,	0
the	the	dt	the	the	0
very	very	j	very	very	0
meat	meat	n1	meat	meat	0
vn	vn	fw-fr	vn	un	0
∣	∣	sy	∣	∣	0
doubtedly	doubtedly	av-vvn	doubtedly	doubt	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
soule	soule	n1	soul	soul	0
loueth	loueth	vvz	loves	love	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
while	while	cs	while	while	0
I	I	pns11	I	i	0
seeme	seeme	vvb	seem	seem	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
my	my	po11	my	my	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
I	I	pns11	I	i	0
print	print	vvi	print	print	0
vn	vn	fw-fr	vn	un	0
∣	∣	sy	∣	∣	0
awares	awares	av-j-u	awares	awares	0
your	your	po22	your	your	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
praise	praise	n1	praise	praise	0
,	,	,	,	,	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
knowen	knowen	vvn	known	know	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
how	how	c-crq	how	how	0
highly	highly	av-j	highly	high	0
your	your	po22	your	your	0
Highnes	Highnes	n1	Highness	highness	0
apprizeth	apprizeth	vvz	apprizeth	apprize	0
peace	peace	n1	peace	peace	0
;	;	;	;	;	0
