WHereas	WHereas	cs	WHereas	whereas	0
,	,	,	,	,	0
Mr	Mr	n1	Mr	mr.	0
Richard	Richard	np1	Richard	Richard	0
Mounta	Mounta	np1	Mounta	Mounta	0
∣	∣	sy	∣	∣	0
gue	gue	zz	gue	gue	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
written	written	vvn	written	write	0
two	two	crd	two	two	0
Bookes	Bookes	n2	Books	book	0
,	,	,	,	,	0
the	the	dt	the	the	0
one	one	pi	one	one	0
,	,	,	,	,	0
called	called	vvd	called	call	0
A	A	dt	A	a	0
new	new	j	new	new	0
Gagge	Gagge	n1	Gag	gag	0
;	;	;	;	;	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
A	A	dt	A	a	0
iust	iust	j	just	just	0
Appeale	Appeale	vvi	Appeal	appeal	0
:	:	:	:	:	0
Which	Which	r-crq	Which	which	0
ma	ma	n1	ma	man	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
esteemed	esteemed	vvd	esteemed	esteem	0
as	as	p-acp	as	as	0
dange	dange	j	dange	dange	0
∣	∣	sy	∣	∣	0
rous	rous	fw-la	rous	rous	0
vnto	vnto	p-acp	unto	unto	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
State	State	n1	State	state	0
.	.	.	.	.	1
I	I	pns11	I	i	0
esteemed	esteemed	vvd	esteemed	esteem	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
dutie	dutie	n1	duty	duty	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
reade	reade	vvi	read	read	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
satisfie	satisfie	vvi	satisfy	satisfy	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
poynt	poynt	n1	point	point	0
;	;	;	;	;	0
whether	whether	cs	whither	whether	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
so	so	av	so	so	0
faultie	faultie	j	faulty	faulty	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
was	was	vbds	was	be	0
preten	preten	av-j	preten	preten	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
or	or	cc	or	or	0
not	not	xx	not	not	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
read	read	vvn	read	read	0
,	,	,	,	,	0
and	and	cc	and	and	0
well	well	av	well	well	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
sidered	sidered	j	sidered	sidered	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
;	;	;	;	;	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
resolue	resolue	vvi	resolve	resolve	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
deed	deed	n1	deed	deed	0
dangerous	dangerous	j	dangerous	dangerous	0
vnto	vnto	p-acp	unto	unto	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
