TO	TO	p-acp	TO	to	0
promise	promise	n1	promise	promise	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
easiest	easiest	js	easiest	easy	0
mat	mat	n1	mat	mat	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
right	right	av-jn	right	right	0
Noble	Noble	j	Noble	noble	0
Lord	Lord	n1	Lord	lord	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
mo	mo	dc	more	more	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
all	all	d	all	all	0
the	the	dt	the	the	0
difficulty	difficulty	n1	difficulty	difficulty	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
performance	performance	n1	performance	performance	0
.	.	.	.	.	1
How	How	c-crq	How	how	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
gaged	gaged	vvn	gaged	gage	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
honourable	honourable	j	honourable	honourable	0
Parents	Parents	n2	Parents	parent	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
publike	publike	j	public	public	0
acknowledgement	acknowledgement	n1	acknowledgement	acknowledgement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
bond	bond	n1	bound	bond	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
duety	duety	n1	duty	duty	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
many	many	d	many	many	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
uours	uours	n2	uours	uour	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
protestation	protestation	n1	protestation	protestation	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
desire	desire	n1	desire	desire	0
euer	euer	av	ever	ever	0
to	to	pc-acp	to	to	0
witnesse	witnesse	vvi	witness	witness	0
my	my	po11	my	my	0
thankfulnesse	thankfulnesse	n1	thankfulness	thankfulness	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
seeking	seeking	vvg	seeking	seek	0
the	the	dt	the	the	0
aduancement	aduancement	n1	advancement	advancement	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
and	and	cc	and	and	0
their	their	po32	their	their	0
Noble	Noble	j	Noble	noble	0
house	house	n1	house	house	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
well	well	av	well	well	0
knowen	knowen	vvn	known	know	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
.	.	.	.	.	1
Can	Can	vmb	Can	can	0
I	I	pns11	I	i	0
then	then	av	then	then	0
be	be	vbi	be	be	0
blamed	blamed	vvn	blamed	blame	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
studie	studie	vvi	study	study	0
to	to	pc-acp	to	to	0
performe	performe	vvi	perform	perform	0
that	that	cst	that	that	0
vnto	vnto	p-acp	unto	unto	0
their	their	po32	their	their	0
worthy	worthy	j	worthy	worthy	0
progeny	progeny	n1	progeny	progeny	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
