QVINTVS	QVINTVS	np1	QVINTVS	Quintus	0
Curcius	Curcius	np1	Curcius	Curcius	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
famous	famous	j	famous	famous	0
wryter	wryter	n1	writer	writer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greate	greate	j	great	great	0
Battayles	Battayles	n2	Battles	battle	0
that	that	cst	that	that	0
Kyng	Kyng	n1	King	king	0
Alexāder	Alexāder	np1	Alexāder	Alexander	0
,	,	,	,	,	0
the	the	dt	the	the	0
sōne	sōne	n1	son	son	0
of	of	pp-f	of	of	0
Phillippe	Phillippe	np1	Phillippe	Philip	0
of	of	pp-f	of	of	0
Macedone	Macedone	np1	Macedone	Macedon	0
,	,	,	,	,	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
the	the	dt	the	the	0
moost	moost	av-ds	most	most	0
noble	noble	j	noble	noble	0
,	,	,	,	,	0
and	and	cc	and	and	0
ritch	ritch	j	rich	rich	0
Kyng	Kyng	n1	King	king	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Medes	Medes	np2	Medes	Mede	0
and	and	cc	and	and	0
Persi	Persi	fw-la	Persi	persi	0
∣	∣	sy	∣	∣	0
ans	ans	fw-fr	ans	ans	0
,	,	,	,	,	0
called	called	vvn	called	call	0
Darius	Darius	np1	Darius	Darius	0
(	(	(	(	(	0
ryght	ryght	j-jn	right	right	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
shipfull	shipfull	j	shipfull	shipfull	0
sir	sir	n1	sir	sir	0
)	)	)	)	)	0
declareth	declareth	vvz	declareth	declare	0
that	that	d	that	that	0
when	when	c-crq	when	when	0
one	one	pi	one	one	0
Philippe	Philippe	np1	Philippe	Philippe	0
the	the	dt	the	the	0
Phisicion	Phisicion	n1	Physician	physician	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
Kyng	Kyng	n1	King	king	0
Alexander	Alexander	np1	Alexander	Alexander	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
moste	moste	av-ds	most	most	0
trusty	trusty	j	trusty	trusty	0
subiecte	subiecte	n-jn	subject	subject	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
so	so	av	so	so	0
∣	∣	sy	∣	∣	0
dayne	dayne	vvb	dayne	deign	0
chaunce	chaunce	n1	chance	chance	0
,	,	,	,	,	0
the	the	dt	the	the	0
kyng	kyng	n1	king	king	0
fell	fell	vvd	fell	fall	0
sore	sore	av-j	soar	sore	0
sicke	sicke	j	sick	sick	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
heauines	heauines	n1	heaviness	heaviness	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
his	his	po31	his	his	0
royall	royall	j	royal	royal	0
armie	armie	n1	army	army	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
whiche	whiche	r-crq	which	which	0
tyme	tyme	n1	time	time	0
with	with	p-acp	with	with	0
al	al	d	all	all	0
speade	speade	n1	speed	speed	0
,	,	,	,	,	0
this	this	d	this	this	0
phisicion	phisicion	n1	physician	physician	0
did	did	vdd	did	do	0
prepare	prepare	vvi	prepare	prepare	0
a	a	dt	a	a	0
medicine	medicine	n1	medicine	medicine	0
,	,	,	,	,	0
moste	moste	ds	most	most	0
excel	excel	vvb	excel	excel	0
∣	∣	sy	∣	∣	0
lente	lente	vvd	lent	lend	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
soueraine	soueraine	j-jn	sovereign	sovereign	0
Lorde	Lorde	n1	Lord	lord	0
,	,	,	,	,	0
whome	whome	ro-crq	whom	who	0
he	he	pns31	he	he	0
so	so	av	so	so	0
dearly	dearly	av-jn	dearly	dear	0
loued	loued	vvn	loved	love	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
ende	ende	n1	end	end	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
great	great	j	great	great	0
vertue	vertue	n1	virtue	virtue	0
therof	therof	av	thereof	thereof	0
might	might	vmd	might	may	0
preuent	preuent	vvi	prevent	prevent	0
his	his	po31	his	his	0
present	present	j	present	present	0
sicke	sicke	j	sick	sick	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
,	,	,	,	,	0
&	&	cc	&	and	0
imenint	imenint	j	imenint	imenint	0
daūger	daūger	n1	danger	danger	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
mali	mali	fw-la	mali	mali	0
∣	∣	sy	∣	∣	0
cious	cious	j	cious	cious	0
spite	spite	n1	spite	spite	0
,	,	,	,	,	0
that	that	cst	that	that	0
wretched	wretched	j	wretched	wretched	0
enemie	enemie	n1	enemy	enemy	0
whiche	whiche	r-crq	which	which	0
neuer	neuer	av-x	never	never	0
slepeth	slepeth	vvz	sleepeth	sleep	0
but	but	cc-acp	but	but	0
wat	wat	r-crq	what	what	0
∣	∣	sy	∣	∣	0
cheth	cheth	vvz	cheth	ch	0
euer	euer	av	ever	ever	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bringe	bringe	vvi	bring	bring	0
vertue	vertue	n1	virtue	virtue	0
and	and	cc	and	and	0
good	good	j	good	good	0
fame	fame	n1	fame	fame	0
to	to	p-acp	to	to	0
destructiō	destructiō	n1	destruction	destruction	0
Imme	Imme	np1	Imme	Imme	0
∣	∣	sy	∣	∣	0
diatly	diatly	av-j	diatly	diat	0
before	before	c-acp	before	before	0
this	this	d	this	this	0
gentle	gentle	j	gentle	gentle	0
Philip	Philip	n1	Philip	fillip	0
did	did	vdd	did	do	0
presente	presente	vvi	present	present	0
him	him	pno31	him	he	0
selfe	selfe	n1	self	self	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
kyng	kyng	n1	king	king	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
medicine	medicine	n1	medicine	medicine	0
:	:	:	:	:	0
Letters	Letters	n2	Letters	letter	0
were	were	vbdr	were	be	0
sent	sent	vvn	sent	send	0
to	to	p-acp	to	to	0
king	king	n1	king	king	0
Alexander	Alexander	np1	Alexander	Alexander	0
cō	cō	fw-mi	cō	cō	0
∣	∣	sy	∣	∣	0
teining	teining	vvg	teining	tein	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Philip	Philip	n1	Philip	fillip	0
wa	wa	zz	wa	wa	0
corrupted	corrupted	vvn	corrupted	corrupt	0
so	so	av	so	so	0
with	with	p-acp	with	with	0
money	money	n1	money	money	0
from	from	p-acp	from	from	0
king	king	n1	king	king	0
Darius	Darius	np1	Darius	Darius	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
hadde	hadde	vhd	had	have	0
moste	moste	av-ds	most	most	0
deadly	deadly	j	deadly	deadly	0
poyson	poyson	n1	poison	poison	0
and	and	cc	and	and	0
vncu	vncu	fw-la	vncu	vncu	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
venyme	venyme	n1	venom	venom	0
into	into	p-acp	into	into	0
Alexanders	Alexanders	npg1	Alexanders	Alexander	0
medicine	medicine	n1	medicine	medicine	0
