WHether	WHether	q-crq	Whither	whither	0
yee	yee	pn22	ye	you	0
eate	eate	vvb	eat	eat	0
or	or	cc	or	or	0
drinke	drinke	vvi	drink	drink	0
,	,	,	,	,	0
or	or	cc	or	or	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
ye	ye	pn22	you	you	0
doe	doe	vdb	do	do	0
,	,	,	,	,	0
do	do	vdb	do	do	0
all	all	d	all	all	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glorie	glorie	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Apostle	Apostle	n1	Apostle	apostle	0
saith	saith	vvz	says	say	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
remembred	remembred	vvd	remembered	remember	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glorie	glorie	n1	glory	glory	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
creator	creator	n1	creator	creator	0
,	,	,	,	,	0
and	and	cc	and	and	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
church	church	n1	church	church	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
commit	commit	vvi	commit	commit	0
this	this	d	this	this	0
little	little	j	little	little	0
trea	trea	n1	trea	trea	0
∣	∣	sy	∣	∣	0
tise	tise	n1	tise	tise	0
to	to	p-acp	to	to	0
writing	writing	vvg	writing	write	0
,	,	,	,	,	0
preached	preached	vvd	preached	preach	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
buriall	buriall	n1	burial	burial	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
motherinlaw	motherinlaw	n1	motherinlaw	motherinlaw	0
,	,	,	,	,	0
a	a	dt	a	a	0
noble	noble	j	noble	noble	0
Ladie	Ladie	n1	Lady	lady	0
,	,	,	,	,	0
a	a	dt	a	a	0
faith	faith	n1	faith	faith	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
wife	wife	n1	wife	wife	0
,	,	,	,	,	0
a	a	dt	a	a	0
vertuous	vertuous	j	virtuous	virtuous	0
woman	woman	n1	woman	woman	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
godly	godly	j	godly	godly	0
widow	widow	n1	widow	widow	0
.	.	.	.	.	1
And	And	cc	And	and	0
because	because	c-acp	because	because	0
your	your	po22	your	your	0
Ladishippe	Ladishippe	n1	Ladishippe	ladyship	0
(	(	(	(	(	0
whose	whose	rg-crq	whose	who	0
giftes	giftes	n2	gifts	gift	0
of	of	pp-f	of	of	0
bodie	bodie	n1	body	body	0
and	and	cc	and	and	0
minde	minde	n1	mind	mind	0
are	are	vbr	are	be	0
excellent	excellent	j	excellent	excellent	0
)	)	)	)	)	0
heard	heard	vvd	herd	hear	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
attention	attention	n1	attention	attention	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
alwaies	alwaies	av	always	always	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
(	(	(	(	(	0
to	to	p-acp	to	to	0
gods	gods	n2	gods	god	0
praise	praise	vvb	praise	praise	0
and	and	cc	and	and	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
commendation	commendation	n1	commendation	commendation	0
be	be	vbi	be	be	0
it	it	pn31	it	it	0
spoken	spoken	vvn	spoken	speak	0
)	)	)	)	)	0
I	I	pns11	I	i	0
tooke	tooke	vvd	took	take	0
it	it	pn31	it	it	0
meete	meete	j	meet	meet	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
New	New	j	New	new	0
yeares	yeares	ng2	years	year	0
gift	gift	n1	gift	gift	0
,	,	,	,	,	0
and	and	cc	and	and	0
decla	decla	fw-la	decla	decla	0
∣	∣	sy	∣	∣	0
ration	ration	n1	ration	ration	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
thankfull	thankfull	j	thankful	thankful	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
manifold	manifold	j	manifold	manifold	0
courtesies	courtesies	n2	courtesies	courtesy	0
towardes	towardes	p-acp	towards	towards	0
me	me	pno11	me	i	0
.	.	.	.	.	1
And	And	cc	And	and	0
forasmuch	forasmuch	av	forasmuch	forasmuch	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
daies	daies	n2	days	day	0
are	are	vbr	are	be	0
euill	euill	j-jn	evil	evil	0
,	,	,	,	,	0
(	(	(	(	(	0
sinne	sinne	n1	sin	sin	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
bounding	bounding	j-vvg	bounding	bound	0
,	,	,	,	,	0
and	and	cc	and	and	0
charitie	charitie	n1	charity	charity	0
being	being	vbg	being	be	0
cold	cold	j-jn	cold	cold	0
)	)	)	)	)	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
therefore	therefore	av	therefore	therefore	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
the	the	dt	the	the	0
iudgements	iudgements	n2	judgements	judgement	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
dissolute	dissolute	j	dissolute	dissolute	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
age	age	n1	age	age	0
,	,	,	,	,	0
