MAy	MAy	vmb	MAy	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
to	to	p-acp	to	to	0
remem	remem	fw-la	remem	remem	0
∣	∣	sy	∣	∣	0
ber	ber	zz	ber	ber	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
most	most	av-ds	most	most	0
twenty	twenty	crd	twenty	twenty	0
years	years	n2	years	year	0
now	now	av	now	now	0
pas	pas	vvi	pass	pass	0
∣	∣	sy	∣	∣	0
sed	sed	fw-la	sed	sed	0
,	,	,	,	,	0
I	I	pns11	I	i	0
presumed	presumed	vvd	presumed	presume	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
you	you	pn22	you	you	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
locke	locke	n1	lock	lock	0
of	of	pp-f	of	of	0
goates	goates	ng1	goats	goat	0
haire	haire	n1	hair	hair	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
then	then	av	then	then	0
I	I	pns11	I	i	0
tearmed	tearmed	vvd	termed	term	0
it	it	pn31	it	it	0
)	)	)	)	)	0
offe	offe	zz	offe	offe	0
∣	∣	sy	∣	∣	0
red	red	vvn	read	read	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
use	use	n1	use	use	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
tabernacle	tabernacle	n1	tabernacle	tabernacle	0
;	;	;	;	;	0
Exo.	Exo.	np1	Exo.	Exo.	1
35.23	35.23	crd	35.23	35.23	0
glad	glad	j	glad	glad	0
thereby	thereby	av	thereby	thereby	0
to	to	pc-acp	to	to	0
testifie	testifie	vvi	testify	testify	0
mine	mine	po11	mine	my	0
unfained	unfained	j	unfeigned	unfeigned	0
ioy	ioy	n1	joy	joy	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Lordships	Lordships	ng1	Lordship's	lordship	0
happy	happy	j	happy	happy	0
ad	ad	fw-la	ad	ad	0
∣	∣	sy	∣	∣	0
vancement	vancement	n1	vancement	vancement	0
unto	unto	p-acp	unto	unto	0
that	that	d	that	that	0
e	e	fw-la	e	e	0
∣	∣	sy	∣	∣	0
minent	minent	j	minent	minent	0
place	place	n1	place	place	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
now	now	av	now	now	0
for	for	c-acp	for	for	0
so	so	av	so	so	0
many	many	d	many	many	0
years	years	n2	years	year	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
hath	hath	vhz	hath	have	0
(	(	(	(	(	0
through	through	p-acp	through	through	0
Gods	Gods	npg1	Gods	God	0
mercy	mercy	n1	mercy	mercy	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
honour	honour	n1	honour	honour	0
held	held	vvd	held	hold	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
singular	singular	j	singular	singular	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
our	our	po12	our	our	0
Church	Church	n1	Church	church	0
and	and	cc	and	and	0
state	state	n1	state	state	0
.	.	.	.	.	1
The	The	dt	The	the	0
motives	motives	n2	motives	motive	0
invi	invi	fw-la	invi	invi	0
∣	∣	sy	∣	∣	0
ting	ting	n1	ting	thing	0
and	and	cc	and	and	0
emboldening	emboldening	vvg	emboldening	embolden	0
me	me	pno11	me	i	0
thereunto	thereunto	av	thereunto	thereunto	0
were	were	vbdr	were	be	0
;	;	;	;	;	0
first	first	ord	first	first	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
the	the	dt	the	the	0
singular	singular	j	singular	singular	0
love	love	n1	love	love	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
e	e	sy	e	e	0
∣	∣	sy	∣	∣	0
ver	ver	fw-la	ver	ver	0
shewed	shewed	vvd	showed	show	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
pains	pains	n2	pains	pain	0
of	of	pp-f	of	of	0
preaching	preaching	vvg	preaching	preach	0
,	,	,	,	,	0
having	having	vhg	having	have	0
beene	beene	vbn	been	be	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
in	in	p-acp	in	in	0
forward	forward	j	forward	forward	0
,	,	,	,	,	0
and	and	cc	and	and	0
exem	exem	fw-la	exem	exem	0
