HOnourable	HOnourable	j	HOnourable	honourable	0
friends	friends	n2	friends	friend	0
:	:	:	:	:	0
I	I	pns11	I	i	0
Number	Number	vvb	Number	number	0
it	it	pn31	it	it	0
amongst	amongst	p-acp	among	among	0
your	your	po22	your	your	0
many	many	d	many	many	0
fauours	fauours	n2	favours	favour	0
,	,	,	,	,	0
the	the	dt	the	the	0
protecting	protecting	vvg	protecting	protect	0
mine	mine	po11	mine	my	0
Idlenesse	Idlenesse	n1	Idleness	idleness	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
∣	∣	sy	∣	∣	0
not	not	xx	not	not	0
confesse	confesse	vvi	confess	confess	0
them	them	pno32	them	they	0
labours	labours	n2	labours	labour	0
:	:	:	:	:	0
hee	hee	pns31	he	he	0
gest	gest	vvd	gest	guess	0
right	right	av-jn	right	right	0
(	(	(	(	(	0
that	that	cst	that	that	0
sayde	sayde	vvd	said	say	0
,	,	,	,	,	0
I	I	pns11	I	i	0
woulde	woulde	vmd	would	will	0
bee	bee	vbi	be	be	0
glad	glad	j	glad	glad	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
accep	accep	vvi	accept	accept	0
∣	∣	sy	∣	∣	0
table	table	n1	table	table	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
not	not	xx	not	not	0
iudicious	iudicious	j	judicious	judicious	0
∣	∣	sy	∣	∣	0
lie	lie	vvb	lie	lie	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
thinke	thinke	vvi	think	think	0
these	these	d	these	these	0
a	a	dt	a	a	0
fit	fit	j	fit	fit	0
present	present	j	present	present	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
too	too	av	too	too	0
light	light	j	light	light	0
for	for	c-acp	for	for	0
your	your	po22	your	your	0
grauities	grauities	n2	gravities	gravity	0
,	,	,	,	,	0
and	and	cc	and	and	0
too	too	av	too	too	0
meane	meane	j	mean	mean	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
but	but	p-acp	but	but	0
papers	papers	n2	papers	paper	0
:	:	:	:	:	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
as	as	a-acp	as	as	0
lieue	lieue	av-j	lieve	lief	0
leaue	leaue	vvi	leave	leave	0
gratefulnes	gratefulnes	n1	gratefulness	gratefulness	0
to	to	p-acp	to	to	0
words	words	n2	words	word	0
spoken	spoken	vvn	spoken	speak	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
written	written	j-vvn	written	write	0
wordes	wordes	n2	words	word	0
,	,	,	,	,	0
and	and	cc	and	and	0
these	these	d	these	these	0
are	are	vbr	are	be	0
no	no	dx	no	no	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
giue	giue	vvb	give	give	0
,	,	,	,	,	0
or	or	cc	or	or	0
serue	serue	vvi	serve	serve	0
,	,	,	,	,	0
or	or	cc	or	or	0
performe	performe	vvi	perform	perform	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
offices	offices	n2	offices	office	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
glad	glad	j	glad	glad	0
,	,	,	,	,	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
armed	armed	vvn	armed	arm	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
other	other	j-jn	other	other	0
desartes	desartes	n2	deserts	desert	0
,	,	,	,	,	0
besides	besides	p-acp	beside	beside	0
the	the	dt	the	the	0
Widdowes	Widdowes	ng1	Widow's	widow	0
mite	mite	n1	mite	mite	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
tale	tale	n1	tale	tale	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
