BEING	BEING	vbg	BEING	be	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
last	last	ord	last	last	0
ouercome	ouercome	vvn	overcome	overcome	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
honorable	honorable	j	honourable	honourable	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
long	long	j	long	long	0
and	and	cc	and	and	0
earnest	earnest	j	earnest	earnest	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
diuers	diuers	j	diverse	diverse	0
Godly	Godly	j	Godly	godly	0
and	and	cc	and	and	0
wel	wel	av	well	well	0
disposed	disposed	vvn	disposed	dispose	0
chri	chri	fw-la	chri	chri	0
∣	∣	sy	∣	∣	0
stians	stians	n2	stians	stian	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
yeeld	yeeld	vvi	yield	yield	0
my	my	po11	my	my	0
consent	consent	n1	consent	consent	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
publishing	publishing	vvg	publishing	publish	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
to	to	p-acp	to	to	0
hom	hom	av-an	hom	home	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
and	and	cc	and	and	0
simple	simple	j	simple	simple	0
a	a	dt	a	a	0
worke	worke	n1	work	work	0
:	:	:	:	:	0
I	I	pns11	I	i	0
forth	forth	av	forth	forth	0
∣	∣	sy	∣	∣	0
with	with	p-acp	with	with	0
was	was	vbds	was	be	0
resolued	resolued	vvn	resolved	resolve	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
the	the	dt	the	the	0
first	first	ord	first	first	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
labour	labour	n1	labour	labour	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
kinde	kinde	n1	kind	kind	0
