RIGHT	RIGHT	av-jn	RIGHT	right	0
WORSHIPFVLL	WORSHIPFVLL	j	WORSHIPFUL	worshipful	0
,	,	,	,	,	0
The	The	dt	The	the	0
rule	rule	n1	rule	rule	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
more	more	av-dc	more	more	0
old	old	j	old	old	0
than	than	cs	than	than	0
good	good	j	good	good	0
,	,	,	,	,	0
Ingenuum	Ingenuum	fw-la	Ingenuum	ingenuum	0
est	est	fw-la	est	est	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
tr	tr	n1	tr	tr	0
per	per	fw-la	per	per	0
quem	quem	fw-la	quem	quem	0
profcris	profcris	fw-la	profcris	profcris	0
.	.	.	.	.	1
That	That	cst	That	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
ingenuous	ingenuous	j	ingenuous	ingenuous	0
thing	thing	n1	thing	thing	0
to	to	pc-acp	to	to	0
confesse	confesse	vvi	confess	confess	0
by	by	p-acp	by	by	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
reape	reape	vvb	reap	reap	0
profit	profit	n1	profit	profit	0
.	.	.	.	.	1
Hauing	Hauing	vhg	Having	have	0
therefore	therefore	av	therefore	therefore	0
by	by	p-acp	by	by	0
good	good	j	good	good	0
proofe	proofe	n1	proof	proof	0
found	found	vvd	found	find	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
sealed	sealed	vvn	sealed	seal	0
vp	vp	a-acp	up	up	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
:	:	:	:	:	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
beg	beg	vvb	beg	beg	0
no	no	dx	no	no	0
new	new	j	new	new	0
fauours	fauours	n2	favours	favour	0
(	(	(	(	(	0
because	because	c-acp	because	because	0
through	through	p-acp	through	through	0
Gods	Gods	npg1	Gods	God	0
mercy	mercy	n1	mercy	mercy	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
learned	learned	vvn	learned	learn	0
to	to	pc-acp	to	to	0
want	want	vvi	want	want	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
abound	abound	vvi	abound	abound	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
estates	estates	n2	estates	estate	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
content	content	j	content	content	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
me	me	pno11	me	i	0
leaue	leaue	vvi	leave	leave	0
freely	freely	av-j	freely	free	0
to	to	pc-acp	to	to	0
acknowledge	acknowledge	vvi	acknowledge	acknowledge	0
your	your	po22	your	your	0
loue	loue	n1	love	love	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
.	.	.	.	.	1
It	It	pn31	It	it	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
wih	wih	p-acp	with	with	0
∣	∣	sy	∣	∣	0
out	out	av	out	out	0
your	your	po22	your	your	0
charge	charge	n1	charge	charge	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
came	came	vvd	came	come	0
first	first	ord	first	first	0
to	to	pc-acp	to	to	0
settle	settle	vvi	settle	settle	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Coury	Coury	np1	Coury	Coury	0
:	:	:	:	:	0
nei	nei	fw-la	nei	nei	0
