BEeing	BEeing	vbg	Being	be	0
obliged	obliged	vvn	obliged	oblige	0
in	in	p-acp	in	in	0
conscience	conscience	n1	conscience	conscience	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
glorie	glorie	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
edification	edification	n1	edification	edification	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
People	People	n1	People	people	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
this	this	d	this	this	0
my	my	po11	my	my	0
declaration	declaration	n1	declaration	declaration	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
returning	returning	vvg	returning	return	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
true	true	j	true	true	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
these	these	d	these	these	0
reasons	reasons	n2	reasons	reason	0
amongst	amongst	p-acp	among	among	0
others	others	ng2-jn	others	other	0
moued	moued	vvd	moved	move	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
the	the	dt	the	the	0
same	same	d	same	same	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
ho	ho	uh	ho	ho	0
∣	∣	sy	∣	∣	0
nourable	nourable	j	nourable	nourable	0
and	and	cc	and	and	0
Christian	Christian	np1	Christian	Christian	0
People	People	n1	People	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
their	their	po32	their	their	0
reuerend	reuerend	j-jn	reverend	reverend	0
Pastours	Pastours	ng1	Pastors	pastors	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
my	my	po11	my	my	0
sinne	sinne	n1	sin	sin	0
in	in	p-acp	in	in	0
revolting	revolting	j-vvg	revolting	revolt	0
from	from	p-acp	from	from	0
this	this	d	this	this	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
ligion	ligion	n1	ligion	ligion	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
youthlynesse	youthlynesse	n1	youthlynesse	youthlynesse	0
is	is	vbz	is	be	0
so	so	av	so	so	0
grieuous	grieuous	j	grievous	grievous	0
,	,	,	,	,	0
(	(	(	(	(	0
howsoeuer	howsoeuer	c-acp	howsoever	howsoever	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
hath	hath	vhz	hath	have	0
showne	showne	vvn	shown	show	0
mercie	mercie	n1	mercy	mercy	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
knowing	knowing	vvg	knowing	know	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
it	it	pn31	it	it	0
in	in	p-acp	in	in	0
ignorance	ignorance	n1	ignorance	ignorance	0
)	)	)	)	)	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
becomes	becomes	vvz	becomes	become	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
publickly	publickly	av-j	publicly	public	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
my	my	po11	my	my	0
Repentance	Repentance	n1	Repentance	repentance	0
:	:	:	:	:	0
and	and	cc	and	and	0
this	this	d	this	this	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
the	the	dt	the	the	0
readiest	readiest	js	readiest	ready	0
meane	meane	n1	mean	mean	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
purpose	purpose	n1	purpose	purpose	0
.	.	.	.	.	1
Next	Next	ord	Next	next	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
wrong	wrong	n-jn	wrong	wrong	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
na	na	fw-la	na	na	0
∣	∣	sy	∣	∣	0
tiue	tiue	n1	tiue	tiue	0
Countrie	Countrie	n1	Country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
in	in	p-acp	in	in	0
Scotland	Scotland	np1	Scotland	Scotland	0
,	,	,	,	,	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
able	able	j	able	able	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
and	and	cc	and	and	0
speciallie	speciallie	av-j	specially	special	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
done	done	vdn	done	do	0
my	my	po11	my	my	0
uttermost	uttermost	j	uttermost	uttermost	0
endeuour	endeuour	n1	endeavour	endeavour	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
weakned	weakned	vvn	weakened	weaken	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
sundrie	sundrie	j	sundry	sundry	0
professing	professing	vvg	professing	profess	0
the	the	dt	the	the	0
doctrine	doctrine	n1	doctrine	doctrine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
drawne	drawne	vvn	drawn	draw	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Romish	Romish	jp	Romish	romish	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
my	my	po11	my	my	0
ignorance	ignorance	n1	ignorance	ignorance	0
,	,	,	,	,	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
conceite	conceite	n1	conceit	conceit	0
.	.	.	.	.	1
And	And	cc	And	and	0
now	now	av	now	now	0
beeing	beeing	vbg	being	be	0
sen	sen	av	sen	then	0
∣	∣	sy	∣	∣	0
sible	sible	j-u	sible	sible	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
errour	errour	n1	error	error	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
measure	measure	n1	measure	measure	0
,	,	,	,	,	0
the	the	dt	the	the	0
shortest	shortest	js	shortest	short	0
course	course	n1	course	course	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
see	see	vvi	see	see	0
to	to	pc-acp	to	to	0
repaire	repaire	vvi	repair	repair	0
this	this	d	this	this	0
wrong	wrong	n-jn	wrong	wrong	0
,	,	,	,	,	0
was	was	vbds	was	be	0
