DEARLY	DEARLY	np1	DEARLY	Dearly	0
Belo	Belo	np1	Belo	Belo	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
∣	∣	sy	∣	∣	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
be	be	vbb	be	be	0
pri	pri	zz	pri	pri	0
∣	∣	sy	∣	∣	0
uie	uie	vvb	vie	vie	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
defects	defects	n2	defects	defect	0
in	in	p-acp	in	in	0
discharge	discharge	n1	discharge	discharge	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
dutie	dutie	n1	duty	duty	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
required	required	vvd	required	require	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
hands	hands	n2	hands	hand	0
toward	toward	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
hum	hum	uh	hum	humh	0
∣	∣	sy	∣	∣	0
bly	bly	zz	bly	bly	0
beseech	beseech	vvb	beseech	beseech	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
par	par	fw-fr	par	par	0
∣	∣	sy	∣	∣	0
don	don	n1	dONE	don	0
,	,	,	,	,	0
)	)	)	)	)	0
yet	yet	av	yet	yet	0
this	this	d	this	this	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
,	,	,	,	,	0
is	is	vbz	is	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
my	my	po11	my	my	0
comfort	comfort	n1	comfort	comfort	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
not	not	xx	not	not	0
laboured	laboured	vvn	laboured	labour	0
in	in	p-acp	in	in	0
vaine	vaine	j	vain	vain	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
were	were	vbdr	were	be	0
my	my	po11	my	my	0
labours	labours	n2	labours	labour	0
and	and	cc	and	and	0
successe	successe	n1	success	success	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
appeale	appeale	vvi	appeal	appeal	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
consciences	consciences	n2	consciences	conscience	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
yet	yet	av	yet	yet	0
liuing	liuing	vvg	living	live	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
that	that	cst	that	that	0
not	not	xx	not	not	0
a	a	dt	a	a	0
few	few	d	few	few	0
are	are	vbr	are	be	0
now	now	av	now	now	0
at	at	p-acp	at	at	0
rest	rest	n1	rest	rest	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
holy	holy	j	holy	holy	0
liues	liues	n2	lives	life	0
and	and	cc	and	and	0
happy	happy	j	happy	happy	0
ends	ends	n2	ends	end	0
gaue	gaue	vvd	gave	give	0
good	good	j	good	good	0
testimony	testimony	n1	testimony	testimony	0
hereof	hereof	av	hereof	hereof	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
to	to	pc-acp	to	to	0
leaue	leaue	vvi	leave	leave	0
these	these	d	these	these	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
consideration	consideration	n1	consideration	consideration	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
whom	whom	r-crq	whom	who	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
concerne	concerne	vvi	concern	concern	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
