BLessed	BLessed	j-vvn	BLessed	bless	0
is	is	vbz	is	be	0
hee	hee	pns31	he	he	0
(	(	(	(	(	0
sayth	sayth	vvz	say	say	0
Dauid	Dauid	np1	Dauid	David	0
)	)	)	)	)	0
whose	whose	q-crq	whose	who	0
wic	wic	zz	wic	wic	0
∣	∣	sy	∣	∣	0
kednesse	kednesse	n1	kednesse	kednesse	0
is	is	vbz	is	be	0
forgiuen	forgiuen	vvn	forgiven	forgive	0
and	and	cc	and	and	0
whose	whose	r-crq	whose	who	0
sinne	sinne	n1	sin	sin	0
is	is	vbz	is	be	0
couered	couered	vvn	covered	cover	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Here	Here	av	Here	here	0
is	is	vbz	is	be	0
one	one	crd	one	one	0
Medicine	Medicine	n1	Medicine	medicine	0
for	for	p-acp	for	for	0
two	two	crd	two	two	0
maladies	maladies	n2	maladies	malady	0
:	:	:	:	:	0
here	here	av	here	here	0
is	is	vbz	is	be	0
one	one	crd	one	one	0
salue	salue	n1	salve	salve	0
that	that	cst	that	that	0
heales	heales	vvz	heals	heal	0
two	two	crd	two	two	0
sores	sores	n2	sores	sore	0
.	.	.	.	.	1
Sinne	Sinne	n1	Sin	sin	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
testie	testie	j	testy	testy	0
botch	botch	vvb	botch	botch	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
touched	touched	vvn	touched	touch	0
.	.	.	.	.	1
All	All	av-d	All	all	0
are	are	vbr	are	be	0
infected	infected	vvn	infected	infect	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
plague	plague	n1	plague	plague	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
heere	heere	av	here	here	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
diffe	diffe	n1	diffe	diffe	0
∣	∣	sy	∣	∣	0
rence	rence	vvi	rence	rinse	0
,	,	,	,	,	0
some	some	d	some	some	0
see	see	vvb	see	see	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
al	al	d	all	all	0
,	,	,	,	,	0
some	some	d	some	some	0
see	see	vvb	see	see	0
it	it	pn31	it	it	0
too	too	av	too	too	0
much	much	av-d	much	much	0
,	,	,	,	,	0
some	some	d	some	some	0
feele	feele	vvb	feel	feel	0
it	it	pn31	it	it	0
,	,	,	,	,	0
&	&	cc	&	and	0
feare	feare	vvb	fear	fear	0
it	it	pn31	it	it	0
,	,	,	,	,	0
some	some	d	some	some	0
nei	nei	n1	nei	nei	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
feare	feare	n1	fear	fear	0
it	it	pn31	it	it	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
feele	feele	vvi	feel	feel	0
it	it	pn31	it	it	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
some	some	d	some	some	0
