MAny	MAny	av-d	MAny	many	0
commend	commend	vvb	commend	commend	0
the	the	dt	the	the	0
Churches	Churches	ng1	Churches	church	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
few	few	d	few	few	0
imitate	imitate	vvb	imitate	imitate	0
it	it	pn31	it	it	0
,	,	,	,	,	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
cause	cause	n1	cause	cause	0
they	they	pns32	they	they	0
never	never	av	never	never	0
truly	truly	av-j	truly	true	0
knewe	knewe	vvd	knew	know	0
it	it	pn31	it	it	0
;	;	;	;	;	0
so	so	av	so	so	0
∣	∣	sy	∣	∣	0
mewhat	mewhat	av	mewhat	mewhat	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
read	read	vvn	read	read	0
,	,	,	,	,	0
&	&	cc	&	and	0
heard	heard	vvn	herd	hear	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
but	but	p-acp	but	but	0
never	never	av	never	never	0
truly	truly	av-j	truly	true	0
saw	saw	vvd	saw	see	0
it	it	pn31	it	it	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
with	with	p-acp	with	with	0
carnall	carnall	j	carnal	carnal	0
eyes	eyes	n2	eyes	eye	0
they	they	pns32	they	they	0
behold	behold	vvb	behold	behold	0
her	her	po31	her	her	0
spiri	spiri	n1	spiri	spiri	0
∣	∣	sy	∣	∣	0
tuall	tuall	j	tuall	tuall	0
beauty	beauty	n1	beauty	beauty	0
&	&	cc	&	and	0
cannot	cannot	vmbx	cannot	can	0
discerne	discerne	vvi	discern	discern	0
it	it	pn31	it	it	0
.	.	.	.	.	1
An	An	dt	And	a	0
ignorant	ignorant	j	ignorant	ignorant	0
person	person	n1	person	person	0
looking	looking	vvg	looking	look	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
picture	picture	n1	picture	picture	0
of	of	pp-f	of	of	0
Helena	Helena	np1	Helena	Helena	0
drawne	drawne	vvn	drawn	draw	0
by	by	p-acp	by	by	0
Zeuxes	Zeuxes	n2	Zeuxes	zeux	0
,	,	,	,	,	0
sayd	sayd	vvd	said	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
she	she	pns31	she	she	0
seemed	seemed	vvd	seemed	seem	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
so	so	av	so	so	0
fayre	fayre	j	fair	fair	0
.	.	.	.	.	1
Nico	Nico	np1	Nico	Nico	0
∣	∣	sy	∣	∣	0
machus	machus	fw-la	machus	machus	0
,	,	,	,	,	0
the	the	dt	the	the	0
Pamter	Pamter	n1	Painter	painter	0
answered	answered	vvd	answered	answer	0
him	him	pno31	him	he	0
,	,	,	,	,	0
Take	Take	vvb	Take	take	0
my	my	po11	my	my	0
eyes	eyes	n2	eyes	eye	0
&	&	cc	&	and	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
Sume	Sume	vvb	Fume	fume	0
meos	meos	fw-la	meos	meos	0
oculos	oculos	fw-la	oculos	oculos	0
&	&	cc	&	and	0
De	De	fw-fr	De	de	0
am	am	vbm	am	be	0
judica	judica	fw-la	judica	judica	0
∣	∣	sy	∣	∣	0
bis	bis	fw-ge	bis	bis	0
.	.	.	.	.	0
thinke	thinke	vvb	think	think	0
her	her	pno31	her	she	0
a	a	dt	a	a	0
Goddesse	Goddesse	n1	Goddess	goddess	0
.	.	.	.	.	1
The	The	dt	The	the	0
best	best	js	best	best	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
judge	judge	vvi	judge	judge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Churches	Churches	ng1	Churches	church	0
glory	glory	n1	glory	glory	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
it	it	pn31	it	it	0
,	,	,	,	,	0
&	&	cc	&	and	0
within	within	p-acp	within	within	0
our	our	po12	our	our	0
hearts	hearts	n2	hearts	heart	0
to	to	pc-acp	to	to	0
feele	feele	vvi	feel	feel	0
it	it	pn31	it	it	0
,	,	,	,	,	0
Rev.	Rev.	n1	Rev.	rev.	1
2.	2.	crd	2.	2.	0
17.	17.	crd	17.	17.	0
none	none	pix	none	none	0
knowes	knowes	vvz	knows	know	0
the	the	dt	the	the	0
new	new	j	new	new	0
Name	Name	n1	Name	name	0
that	that	cst	that	that	0
Christ	Christ	np1	Christ	Christ	0
writes	writes	vvz	writes	write	0
on	on	p-acp	on	on	0
his	his	png31	his	he	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
receives	receives	vvz	receives	receive	0
it	it	pn31	it	it	0
VVhosoever	VVhosoever	c-crq	Whosoever	whosoever	0
hath	hath	vhz	hath	have	0
once	once	a-acp	once	once	0
