Monseigneur	Monseigneur	np1	Monseigneur	Monseigneur	0
,	,	,	,	,	0
THough	THough	cs	THough	though	0
the	the	dt	the	the	0
State	State	n1	State	state	0
of	of	pp-f	of	of	0
Venice	Venice	np1	Venice	Venice	0
is	is	vbz	is	be	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
day	day	n1	day	day	0
in	in	p-acp	in	in	0
its	its	po31	its	its	0
declension	declension	n1	declension	declension	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
condition	condition	n1	condition	condition	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
it	it	pn31	it	it	0
retains	retains	vvz	retains	retain	0
somthing	somthing	pi	something	something	0
of	of	pp-f	of	of	0
Majesty	Majesty	n1	Majesty	majesty	0
;	;	;	;	;	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
ve	ve	pns12	we	we	0
∣	∣	sy	∣	∣	0
nerable	nerable	j	nerable	nerable	0
for	for	c-acp	for	for	0
an	an	dt	and	a	0
Antiquity	Antiquity	n1	Antiquity	antiquity	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
bove	bove	p-acp	above	above	0
Twelve	Twelve	crd	Twelve	twelve	0
hundred	hundred	crd	hundred	hundred	0
years	years	n2	years	year	0
;	;	;	;	;	0
Il	Il	fw-fr	Il	il	0
∣	∣	sy	∣	∣	0
lustrious	lustrious	j	lustrious	lustrious	0
for	for	c-acp	for	for	0
Christianity	Christianity	np1	Christianity	Christianity	0
which	which	r-crq	which	which	0
it	it	pn31	it	it	0
has	has	vhz	has	have	0
professed	professed	vvn	professed	profess	0
from	from	p-acp	from	from	0
its	its	po31	its	its	0
Cradle	Cradle	n1	Cradle	cradle	0
;	;	;	;	;	0
Famous	Famous	j	Famous	famous	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
it	it	pn31	it	it	0
possess'd	possess'd	vvd	possessed	possess	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Levant	Levant	np1	Levant	Levant	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Wars	Wars	n2	Wars	war	0
it	it	pn31	it	it	0
has	has	vhz	has	have	0
maintain'd	maintain'd	vvn	maintained	maintain	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Turks	Turks	n2	Turks	turk	0
;	;	;	;	;	0
Famous	Famous	j	Famous	famous	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
form	form	n1	from	form	0
of	of	pp-f	of	of	0
its	its	po31	its	its	0
Government	Government	n1	Government	government	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
Master	Master	n1	Master	master	0
∣	∣	sy	∣	∣	0
piece	piece	n1	piece	piece	0
of	of	pp-f	of	of	0
Policy	Policy	n1	Policy	policy	0
;	;	;	;	;	0
and	and	cc	and	and	0
Famous	Famous	j	Famous	famous	0
for	for	p-acp	for	for	0
its	its	po31	its	its	0
ancient	ancient	j	ancient	ancient	0
Allyance	Allyance	n1	Alliance	alliance	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Crown	Crown	n1	Crown	crown	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
has	has	vhz	has	have	0
had	had	vhn	had	have	0
it	it	pn31	it	it	0
somtimes	somtimes	av	sometimes	sometime	0
for	for	p-acp	for	for	0
its	its	po31	its	its	0
Companion	Companion	n1	Companion	companion	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
Arms	Arms	n2	Arms	arm	0
and	and	cc	and	and	0
Victories	Victories	n2	Victories	victory	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
thought	thought	vvn	thought	think	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
these	these	d	these	these	0
Reasons	Reasons	n2	Reasons	reason	0
a	a	dt	a	a	0
sufficient	sufficient	j	sufficient	sufficient	0
recommendation	recommendation	n1	recommendation	recommendation	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
History	History	n1	History	history	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
now	now	av	now	now	0
present	present	j	present	present	0
.	.	.	.	.	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sensible	sensible	j	sensible	sensible	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
,	,	,	,	,	0
I	I	pns11	I	i	0
ought	ought	vmd	ought	ought	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
expose	expose	vvi	expose	expose	0
so	so	av	so	so	0
poor	poor	j	poor	poor	0
a	a	dt	a	a	0
Work	Work	n1	Work	work	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Eyes	Eyes	n2	Eyes	eye	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
Minister	Minister	n1	Minister	minister	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
a	a	dt	a	a	0
person	person	n1	person	person	0
respected	respected	vvn	respected	respect	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
France	France	np1	France	France	0
,	,	,	,	,	0
consecrated	consecrated	vvn	consecrated	consecrate	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Publick	Publick	j	Public	public	0
,	,	,	,	,	0
ought	ought	vmd	ought	ought	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
interrupted	interrupted	vvn	interrupted	interrupt	0
by	by	p-acp	by	by	0
particular	particular	j	particular	particular	0
Affairs	Affairs	n2	Affairs	affair	0
;	;	;	;	;	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
deed	deed	n1	deed	deed	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
ballance	ballance	n1	balance	balance	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
my	my	po11	my	my	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
sire	sire	n1	sire	sire	0
of	of	pp-f	of	of	0
doing	doing	vdg	doing	do	0
somthing	somthing	pi	something	something	0
that	that	cst	that	that	0
might	might	vmd	might	may	0
testify	testify	vvi	testify	testify	0
my	my	po11	my	my	0
Zeal	Zeal	n1	Zeal	zeal	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Lordships	Lordships	ng1	Lordship's	lordship	0
service	service	n1	service	service	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
fear	fear	n1	fear	fear	0
of	of	pp-f	of	of	0
committing	committing	vvg	committing	commit	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
interpreted	interpreted	vvn	interpreted	interpret	0
boldness	boldness	n1	boldness	boldness	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
consider'd	consider'd	vvn	considered	consider	0
your	your	po22	your	your	0
Goodness	Goodness	n1	Goodness	goodness	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
great	great	j	great	great	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
Power	Power	n1	Power	power	0
,	,	,	,	,	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
but	but	cc-acp	but	but	0
hope	hope	vvi	hope	hope	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
would	would	vmd	would	will	0
extend	extend	vvi	extend	extend	0
the	the	dt	the	the	0
effects	effects	n2	effects	effect	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
along	along	p-acp	along	along	0
time	time	n1	time	time	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
a	a	dt	a	a	0
silent	silent	j	silent	silent	0
Ad	Ad	fw-la	Ad	ad	0
∣	∣	sy	∣	∣	0
mirer	mirer	n1	mirer	mirer	0
of	of	pp-f	of	of	0
