SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
AS	AS	p-acp	AS	as	0
by	by	p-acp	by	by	0
manifold	manifold	j	manifold	manifold	0
great	great	j	great	great	0
Favours	Favours	n2	Favours	favour	0
You	You	pn22	You	you	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
Right	Right	j-jn	Right	right	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
the	the	dt	the	the	0
Services	Services	n2	Services	service	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
capable	capable	j	capable	capable	0
of	of	pp-f	of	of	0
paying	paying	vvg	paying	pay	0
You	You	pn22	You	you	0
,	,	,	,	,	0
You	You	pn22	You	you	0
have	have	vhb	have	have	0
yet	yet	av	yet	yet	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
peculiar	peculiar	j	peculiar	peculiar	0
one	one	pi	one	one	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Dedication	Dedication	n1	Dedication	dedication	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
Preached	Preached	vvn	Preached	preach	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
now	now	av	now	now	0
Published	Published	vvn	Published	publish	0
by	by	p-acp	by	by	0
Your	Your	po22	Your	your	0
Com	Com	vvi	Come	come	0
∣	∣	sy	∣	∣	0
mands	mands	vvz	mands	mand	0
.	.	.	.	.	1
This	This	np1	This	This	0
,	,	,	,	,	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
,	,	,	,	,	0
will	will	vmb	will	will	0
in	in	p-acp	in	in	0
part	part	n1	part	part	0
excuse	excuse	vvb	excuse	excuse	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
World	World	n1	World	world	0
for	for	p-acp	for	for	0
troubling	troubling	vvg	troubling	trouble	0
it	it	pn31	it	it	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
plain	plain	j	plain	plain	0
a	a	dt	a	a	0
Discourse	Discourse	n1	Discourse	discourse	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Pious	Pious	j	Pious	pious	0
cogent	cogent	j	cogent	cogent	0
Reason	Reason	n1	Reason	reason	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
which	which	r-crq	which	which	0
You	You	pn22	You	you	0
was	was	vbds	was	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
enforce	enforce	vvi	enforce	enforce	0
Your	Your	po22	Your	your	0
Commands	Commands	vvz	Commands	command	0
,	,	,	,	,	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
doubt	doubt	vvi	doubt	doubt	0
will	will	vmb	will	will	0
do	do	vdi	do	do	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
(	(	(	(	(	0
viz.	viz.	n1	viz.	viz.	0
)	)	)	)	)	1
That	That	cst	That	that	0
You	You	pn22	You	you	0
might	might	vmd	might	may	0
thereby	thereby	av	thereby	thereby	0
have	have	vhi	have	have	0
Copies	Copies	n2	Copies	copy	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
those	those	d	those	those	0
several	several	j	several	several	0
Parishes	Parishes	n2	Parishes	parish	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
Your	Your	po22	Your	your	0
exemplary	exemplary	j	exemplary	exemplary	0
Piety	Piety	n1	Piety	piety	0
hath	hath	vhz	hath	have	0
effectually	effectually	av-j	effectually	effectual	0
provided	provided	vvn	provided	provide	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
daily	daily	j	daily	daily	0
Performance	Performance	n1	Performance	performance	0
of	of	pp-f	of	of	0
publick	publick	j	public	public	0
Prayer	Prayer	n1	Prayer	prayer	0
.	.	.	.	.	1
Whilst	Whilst	cs	While	while	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
Your	Your	po22	Your	your	0
pious	pious	j	pious	pious	0
Zeal	Zeal	n1	Zeal	zeal	0
thus	thus	av	thus	thus	0
worthily	worthily	av-jn	worthily	worthy	0
En	En	fw-fr	En	en	0
∣	∣	sy	∣	∣	0
courages	courages	n2	courages	courage	0
and	and	cc	and	and	0
Promotes	Promotes	vvz	Promotes	promote	0
the	the	dt	the	the	0
Service	Service	n1	Service	service	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
give	give	vvi	give	give	0
many	many	d	many	many	0
and	and	cc	and	and	0
great	great	j	great	great	0
Instances	Instances	n2	Instances	instance	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
well	well	av	well	well	0
know	know	vvb	know	know	0
Your	Your	po22	Your	your	0
singular	singular	j	singular	singular	0
Humility	Humility	n1	Humility	humility	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
permit	permit	vvi	permit	permit	0
me	me	pno11	me	i	0
,	,	,	,	,	0
)	)	)	)	)	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
;	;	;	;	;	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
,	,	,	,	,	0
I	I	pns11	I	i	0
ought	ought	vmd	ought	ought	0
not	not	xx	not	not	0
,	,	,	,	,	0
de	de	fw-la	de	de	0
∣	∣	sy	∣	∣	0
cline	cline	vvb	cline	cline	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
Power	Power	n1	Power	power	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
Your	Your	po22	Your	your	0
Opinion	Opinion	n1	Opinion	opinion	0
may	may	vmb	may	may	0
contribute	contribute	vvi	contribute	contribute	0
something	something	pi	something	something	0
(	(	(	(	(	0
tho'	tho'	cs	though	though	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
little	little	j	little	little	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
so	so	av	so	so	0
excellent	excellent	j	excellent	excellent	0
an	an	dt	and	a	0
End.	End.	n1	End.	end	0
If	If	cs	If	if	0
this	this	d	this	this	0
plain	plain	j	plain	plain	0
Discourse	Discourse	n1	Discourse	discourse	0
,	,	,	,	,	0
adapted	adapted	vvn	adapted	adapt	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
plain	plain	j	plain	plain	0
but	but	p-acp	but	but	0
honest	honest	j	honest	honest	0
People	People	n1	People	people	0
,	,	,	,	,	0
may	may	vmb	may	may	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
blessing	blessing	n1	blessing	blessing	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
)	)	)	)	)	0
work	work	vvb	work	work	0
upon	upon	p-acp	upon	upon	0
any	any	d	any	any	0
such	such	d	such	such	0
,	,	,	,	,	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
Reverence	Reverence	n1	Reverence	reverence	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Houses	Houses	n2	Houses	house	0
of	of	pp-f	of	of	0
Prayer	Prayer	n1	Prayer	prayer	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
Diligence	Diligence	n1	Diligence	diligence	0
and	and	cc	and	and	0
Seriousness	Seriousness	n1	Seriousness	seriousness	0
in	in	p-acp	in	in	0
frequenting	frequenting	vvg	frequenting	frequent	0
them	them	pno32	them	they	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
regard	regard	vvi	regard	regard	0
what	what	r-crq	what	what	0
Opini	Opini	np1	Opini	Opini	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Nice	Nice	j	Nice	nice	0
and	and	cc	and	and	0
