Reverend	Reverend	n-jn	Reverend	reverend	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
THE	THE	dt	THE	the	0
Message	Message	n1	Message	message	0
on	on	p-acp	on	on	0
which	which	r-crq	which	which	0
this	this	d	this	this	0
Epistle	Epistle	n1	Epistle	epistle	0
cometh	cometh	vvz	comes	come	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
is	is	vbz	is	be	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
intreat	intreat	vvi	entreat	entreat	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
Present	Present	vvi	Present	present	0
this	this	d	this	this	0
Treatise	Treatise	n1	Treatise	treatise	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
next	next	ord	next	next	0
Convocation	Convocation	n1	Convocation	convocation	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
endeavour	endeavour	vvi	endeavour	endeavour	0
their	their	po32	their	their	0
publick	publick	j	public	public	0
renuncia	renuncia	fw-it	renuncia	renuncia	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
Foreign	Foreign	j	Foreign	foreign	0
Jurisdiction	Jurisdiction	n1	Jurisdiction	jurisdiction	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
censure	censure	n1	censure	censure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Books	Books	n2	Books	book	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
written	written	vvn	written	write	0
here	here	av	here	here	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
.	.	.	.	.	1
The	The	dt	The	the	0
Reasons	Reasons	n2	Reasons	reason	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
quest	quest	n1	quest	quest	0
are	are	vbr	are	be	0
,	,	,	,	,	0
I	I	pns11	I	i	0
.	.	.	.	.	0
The	The	dt	The	the	0
Canons	Canons	n2	Canons	canon	0
condemn	condemn	vvb	condemn	condemn	0
them	them	pno32	them	they	0
,	,	,	,	,	0
that	that	cst	that	that	0
deny	deny	vvb	deny	deny	0
the	the	dt	the	the	0
Convocation	Convocation	n1	Convocation	convocation	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
Representative	Representative	n1	Representative	representative	0
:	:	:	:	:	0
And	And	cc	And	and	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
written	written	vvn	written	write	0
for	for	p-acp	for	for	0
and	and	cc	and	and	0
promoted	promoted	vvn	promoted	promote	0
this	this	d	this	this	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
and	and	cc	and	and	0
Design	Design	n1	Design	design	0
,	,	,	,	,	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
been	been	vbn	been	be	0
Chief	Chief	j-jn	Chief	chief	0
Men	Men	n2	Men	man	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
have	have	vhb	have	have	0
laboured	laboured	vvn	laboured	labour	0
to	to	pc-acp	to	to	0
fasten	fasten	vvi	fasten	fasten	0
their	their	po32	their	their	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
yet	yet	av	yet	yet	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
Bishop	Bishop	n1	Bishop	bishop	0
Laud	Laud	n1	Laud	laud	0
,	,	,	,	,	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
disclaimed	disclaimed	vvn	disclaimed	disclaim	0
and	and	cc	and	and	0
openly	openly	av-j	openly	open	0
condemned	condemned	vvn	condemned	condemn	0
;	;	;	;	;	0
and	and	cc	and	and	0
took	took	vvd	took	take	0
Foreign	Foreign	j	Foreign	foreign	0
Bishops	Bishops	n2	Bishops	bishop	0
and	and	cc	and	and	0
Councils	Councils	n2	Councils	council	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
Brethren	Brethren	n2	Brothers	brethren	0
and	and	cc	and	and	0
a	a	dt	a	a	0
lau	lau	n1	lau	lau	0
∣	∣	sy	∣	∣	0
dable	dable	vvi	dabble	dabble	0
means	means	n2	means	mean	0
of	of	pp-f	of	of	0
Communion	Communion	n1	Communion	communion	0
,	,	,	,	,	0
while	while	cs	while	while	0
they	they	pns32	they	they	0
did	did	vdd	did	do	0
their	their	po32	their	their	0
proper	proper	j	proper	proper	0
work	work	n1	work	work	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
not	not	xx	not	not	0
by	by	p-acp	by	by	0
Jurisdiction	Jurisdiction	n1	Jurisdiction	jurisdiction	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Governours	Governours	n2	Governors	governor	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
Christian	Christian	np1	Christian	Christian	0
Kings	Kings	n2	Kings	king	0
and	and	cc	and	and	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
as	as	p-acp	as	as	0
their	their	po32	their	their	0
Subjects	Subjects	n2-jn	Subject's	subject	0
.	.	.	.	.	1
And	And	cc	And	and	0
who	who	q-crq	who	who	0
can	can	vmb	can	can	0
be	be	vbi	be	be	0
Ignorant	Ignorant	j	Ignorant	ignorant	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
present	present	j	present	present	0
the	the	dt	the	the	0
Papist	Papist	njp	Papist	papist	0
Bishops	Bishops	n2	Bishops	bishop	0
are	are	vbr	are	be	0
very	very	av	very	very	0
Many	Many	d	Many	many	0
to	to	p-acp	to	to	0
One	One	crd	One	one	0
Protestant	Protestant	n1	Protestant	protestant	0
Bi	Bi	p-acp	By	by	0
∣	∣	sy	∣	∣	0
shop	shop	n1	shop	shop	0
,	,	,	,	,	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
accordingly	accordingly	av-vvg	accordingly	accord	0
carry	carry	vvi	carry	carry	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
Votes	Votes	n2	Votes	vote	0
in	in	p-acp	in	in	0
Councils	Councils	n2	Councils	council	0
:	:	:	:	:	0
And	And	cc	And	and	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Major	Major	j	Major	major	0
Vote	Vote	n1	Vote	vote	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
Collegium	Collegium	np1	Collegium	Collegium	0
Pastorum	Pastorum	np1	Pastorum	Pastorum	0
,	,	,	,	,	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
Chief	Chief	j-jn	Chief	chief	0
Go	Go	vvb	Go	go	0
∣	∣	sy	∣	∣	0
vernment	vernment	n1	vernment	vernment	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Interval	Interval	n1	Interval	interval	0
of	of	pp-f	of	of	0
Coun	Coun	fw-mi	Coun	coun	0
∣	∣	sy	∣	∣	0
cils	cils	n2	cils	cil	0
,	,	,	,	,	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
now	now	av	now	now	0
Subjects	Subjects	n2-jn	Subject's	subject	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Bi	Bi	p-acp	By	by	0
∣	∣	sy	∣	∣	0
shops	shops	n2	shops	shop	0
and	and	cc	and	and	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
:	:	:	:	:	0
And	And	cc	And	and	0
if	if	cs	if	if	0
Roman	Roman	np1	Roman	Roman	0
Petrus	Petrus	np1	Petrus	Petrus	0
Primus	Primus	np1	Primus	Primus	0
must	must	vmb	must	must	0
call	call	vvi	call	call	0
the	the	dt	the	the	0
next	next	ord	next	next	0
Council	Council	n1	Council	council	0
,	,	,	,	,	0
(	(	(	(	(	0
or	or	cc	or	or	0
there	there	pc-acp	there	there	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
none	none	pix	none	none	0
till	till	p-acp	till	till	0
all	all	d	all	all	0
Christian	Christian	njp	Christian	christian	0
Kings	Kings	n2	Kings	king	0
agree	agree	vvb	agree	agree	0
to	to	pc-acp	to	to	0
call	call	vvi	call	call	0
it	it	pn31	it	it	0
)	)	)	)	)	0
the	the	dt	the	the	0
present	present	j	present	present	0
College	College	n1	College	college	0
is	is	vbz	is	be	0
like	like	av-j	like	like	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
long	long	av-j	long	long	0
the	the	dt	the	the	0
Universal	Universal	j-u	Universal	iversal	0
Ari	Ari	fw-la	Ari	ari	0
∣	∣	sy	∣	∣	0
stocracy	stocracy	n1	stocracy	stocracy	0
.	.	.	.	.	1
The	The	dt	The	the	0
Representative	Representative	n1	Representative	representative	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
is	is	vbz	is	be	0
so	so	av	so	so	0
nearly	nearly	av-j	nearly	near	0
concerned	concerned	vvn	concerned	concern	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
great	great	j	great	great	0
Matter	Matter	n1	Matter	matter	0
,	,	,	,	,	0
both	both	av-d	both	both	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
mo	mo	dc	more	more	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
imputation	imputation	n1	imputation	imputation	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Design	Design	n1	Design	design	0
unto	unto	p-acp	unto	unto	0
it	it	pn31	it	it	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
cannot	cannot	vmbx	cannot	can	0
think	think	vvi	think	think	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
lightly	lightly	av-j	lightly	light	0
pass	pass	vvi	pass	pass	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
without	without	p-acp	without	without	0
their	their	po32	their	their	0
censure	censure	n1	censure	censure	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
expe	expe	n1	expe	expe	0
∣	∣	sy	∣	∣	0
cted	cted	vvd	cted	ct	0
because	because	p-acp	because	because	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Owning	Owning	vvg	Owning	own	0
of	of	pp-f	of	of	0
Dr.	Dr.	n1	Dr.	dr.	1
Beveridge's	Beveridge's	ng1	Beveridge's	beveridge	0
Sermon	Sermon	n1	Sermon	sermon	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
here	here	av	here	here	0
examined	examined	vvn	examined	examine	0
.	.	.	.	.	1
Dr.	Dr.	n1	Dr.	dr.	0
Whitby's	Whitby's	npg1	Whitby's	whitby	0
Reconciler	Reconciler	n1	Reconciler	reconciler	0
of	of	pp-f	of	of	0
Prote	Prote	np1	Prote	Prote	0
∣	∣	sy	∣	∣	0
stants	stants	n2	stants	stant	0
escaped	escaped	vvd	escaped	escape	0
not	not	xx	not	not	0
the	the	dt	the	the	0
Oxford	Oxford	np1	Oxford	Oxford	0
cen	cen	n1	cen	cen	0
∣	∣	sy	∣	∣	0
sure	sure	j	sure	sure	0
;	;	;	;	;	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
hope	hope	vvb	hope	hope	0
the	the	dt	the	the	0
Represen	Represen	fw-mi	Represen	represen	0
∣	∣	sy	∣	∣	0
tative	tative	j	tative	tative	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
favourable	favourable	j	favourable	favourable	0
to	to	p-acp	to	to	0
Subjection	Subjection	n1	Subjection	subjection	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
than	than	cs	than	than	0
Reconciling	Reconciling	n-vvg	Reconciling	reconcile	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Foreign	Foreign	j	Foreign	foreign	0
Papists	Papists	njp2	Papists	papist	0
:	:	:	:	:	0
Lest	Lest	cs	Lest	lest	0
they	they	pns32	they	they	0
che	che	fw-it	che	che	0
∣	∣	sy	∣	∣	0
rish	rish	zf	rish	rich	0
the	the	dt	the	the	0
Suspicion	Suspicion	n1	Suspicion	suspicion	0
that	that	cst	that	that	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
much	much	d	much	much	0
Concord	Concord	n1	Concord	concord	0
with	with	p-acp	with	with	0
France	France	np1	France	France	0
in	in	p-acp	in	in	0
Church	Church	n1	Church	church	0
Constitution	Constitution	n1	Constitution	constitution	0
and	and	cc	and	and	0
Govern	Govern	vvi	Govern	govern	0
∣	∣	sy	∣	∣	0
ment	ment	fw-la	ment	ment	0
,	,	,	,	,	0
