Men	Men	np1	Men	Men	0
and	and	cc	and	and	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
AS	AS	p-acp	AS	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
impiety	impiety	n1	impiety	impiety	0
and	and	cc	and	and	0
dishonesty	dishonesty	n1	dishonesty	dishonesty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
some	some	d	some	some	0
comfort	comfort	n1	comfort	comfort	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
Names	Names	n2	Names	name	0
of	of	pp-f	of	of	0
Pi	Pi	zz	Pi	pi	0
∣	∣	sy	∣	∣	0
ety	ety	n1	ety	ety	0
and	and	cc	and	and	0
Honesty	Honesty	n1	Honesty	honesty	0
are	are	vbr	are	be	0
still	still	av	still	still	0
in	in	p-acp	in	in	0
cre	cre	c-acp	credit	ere	0
∣	∣	sy	∣	∣	0
dit	dit	fw-fr	dit	dit	0
,	,	,	,	,	0
and	and	cc	and	and	0
ungodliness	ungodliness	n1	ungodliness	ungodliness	0
and	and	cc	and	and	0
disho	disho	n1	disho	disho	0
∣	∣	sy	∣	∣	0
nesty	nesty	n1	nesty	nesty	0
are	are	vbr	are	be	0
terms	terms	n2	terms	term	0
of	of	pp-f	of	of	0
disgrace	disgrace	n1	disgrace	disgrace	0
;	;	;	;	;	0
so	so	av	so	so	0
that	that	cst	that	that	0
those	those	d	those	those	0
that	that	cst	that	that	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
ungod	ungod	j	ungod	ungod	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
and	and	cc	and	and	0
dishonest	dishonest	j	dishonest	dishonest	0
,	,	,	,	,	0
are	are	vbr	are	be	0
fain	fain	av-j	fain	fain	0
to	to	pc-acp	to	to	0
use	use	vvi	use	use	0
the	the	dt	the	the	0
Mask	Mask	n1	Mask	mask	0
and	and	cc	and	and	0
Vail	Vail	n1	Vail	vail	0
of	of	pp-f	of	of	0
bet	bet	n1	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
names	names	n2	names	name	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
hide	hide	vvi	hide	hide	0
their	their	po32	their	their	0
wic	wic	zz	wic	wic	0
∣	∣	sy	∣	∣	0
kedness	kedness	n1	kedness	kedness	0
;	;	;	;	;	0
so	so	av	so	so	0
also	also	av	also	also	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
some	some	d	some	some	0
comfort	comfort	n1	comfort	comfort	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
uncharitableness	uncharitableness	n1	uncharitableness	uncharitableness	0
and	and	cc	and	and	0
dis	dis	d	dis	this	0
∣	∣	sy	∣	∣	0
cords	cords	n2	cords	cord	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
age	age	n1	age	age	0
,	,	,	,	,	0
that	that	cst	that	that	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
Names	Names	n2	Names	name	0
of	of	pp-f	of	of	0
Love	Love	n1	Love	love	0
and	and	cc	and	and	0
Concord	Concord	n1	Concord	concord	0
ound	ound	vvd	owned	own	0
so	so	av	so	so	0
well	well	av	well	well	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
honou	honou	j	honou	honou	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
furthest	furthest	js	furthest	further	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Things	Things	n2	Things	thing	0
:	:	:	:	:	0
For	For	c-acp	For	for	0
thus	thus	av	thus	thus	0
we	we	pns12	we	we	0
seem	seem	vvb	seem	seem	0
agreed	agreed	vvn	agreed	agree	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
main	main	j	main	main	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
this	this	d	this	this	0
advantage	advantage	n1	advantage	advantage	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
debates	debates	n2	debates	debate	0
,	,	,	,	,	0
that	that	cst	that	that	0
whatever	whatever	r-crq	whatever	whatever	0
